"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-48316","adobe","cvelistV5/cves/2026/48xxx/CVE-2026-48316.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48315","adobe","cvelistV5/cves/2026/48xxx/CVE-2026-48315.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48314","adobe","cvelistV5/cves/2026/48xxx/CVE-2026-48314.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48313","adobe","cvelistV5/cves/2026/48xxx/CVE-2026-48313.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48307","adobe","cvelistV5/cves/2026/48xxx/CVE-2026-48307.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48306","adobe","cvelistV5/cves/2026/48xxx/CVE-2026-48306.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48305","adobe","cvelistV5/cves/2026/48xxx/CVE-2026-48305.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48304","adobe","cvelistV5/cves/2026/48xxx/CVE-2026-48304.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48303","adobe","cvelistV5/cves/2026/48xxx/CVE-2026-48303.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48301","adobe","cvelistV5/cves/2026/48xxx/CVE-2026-48301.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48300","adobe","cvelistV5/cves/2026/48xxx/CVE-2026-48300.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48299","adobe","cvelistV5/cves/2026/48xxx/CVE-2026-48299.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48297","adobe","cvelistV5/cves/2026/48xxx/CVE-2026-48297.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48294","adobe","cvelistV5/cves/2026/48xxx/CVE-2026-48294.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48293","adobe","cvelistV5/cves/2026/48xxx/CVE-2026-48293.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48292","adobe","cvelistV5/cves/2026/48xxx/CVE-2026-48292.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48291","adobe","cvelistV5/cves/2026/48xxx/CVE-2026-48291.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48289","adobe","cvelistV5/cves/2026/48xxx/CVE-2026-48289.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48288","adobe","cvelistV5/cves/2026/48xxx/CVE-2026-48288.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48286","adobe","cvelistV5/cves/2026/48xxx/CVE-2026-48286.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48285","adobe","cvelistV5/cves/2026/48xxx/CVE-2026-48285.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48283","adobe","cvelistV5/cves/2026/48xxx/CVE-2026-48283.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48282","adobe","cvelistV5/cves/2026/48xxx/CVE-2026-48282.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48281","adobe","cvelistV5/cves/2026/48xxx/CVE-2026-48281.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48280","adobe","cvelistV5/cves/2026/48xxx/CVE-2026-48280.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48277","adobe","cvelistV5/cves/2026/48xxx/CVE-2026-48277.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48276","adobe","cvelistV5/cves/2026/48xxx/CVE-2026-48276.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48271","adobe","cvelistV5/cves/2026/48xxx/CVE-2026-48271.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48268","adobe","cvelistV5/cves/2026/48xxx/CVE-2026-48268.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48267","adobe","cvelistV5/cves/2026/48xxx/CVE-2026-48267.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48266","adobe","cvelistV5/cves/2026/48xxx/CVE-2026-48266.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48265","adobe","cvelistV5/cves/2026/48xxx/CVE-2026-48265.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48264","adobe","cvelistV5/cves/2026/48xxx/CVE-2026-48264.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48258","adobe","cvelistV5/cves/2026/48xxx/CVE-2026-48258.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48256","adobe","cvelistV5/cves/2026/48xxx/CVE-2026-48256.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48251","adobe","cvelistV5/cves/2026/48xxx/CVE-2026-48251.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48250","adobe","cvelistV5/cves/2026/48xxx/CVE-2026-48250.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-47993","adobe","cvelistV5/cves/2026/47xxx/CVE-2026-47993.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-47991","adobe","cvelistV5/cves/2026/47xxx/CVE-2026-47991.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-47990","adobe","cvelistV5/cves/2026/47xxx/CVE-2026-47990.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-47989","adobe","cvelistV5/cves/2026/47xxx/CVE-2026-47989.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-47987","adobe","cvelistV5/cves/2026/47xxx/CVE-2026-47987.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-47986","adobe","cvelistV5/cves/2026/47xxx/CVE-2026-47986.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-47985","adobe","cvelistV5/cves/2026/47xxx/CVE-2026-47985.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-47983","adobe","cvelistV5/cves/2026/47xxx/CVE-2026-47983.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-47982","adobe","cvelistV5/cves/2026/47xxx/CVE-2026-47982.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-47981","adobe","cvelistV5/cves/2026/47xxx/CVE-2026-47981.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-47980","adobe","cvelistV5/cves/2026/47xxx/CVE-2026-47980.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-47978","adobe","cvelistV5/cves/2026/47xxx/CVE-2026-47978.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-47977","adobe","cvelistV5/cves/2026/47xxx/CVE-2026-47977.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-47975","adobe","cvelistV5/cves/2026/47xxx/CVE-2026-47975.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-47974","adobe","cvelistV5/cves/2026/47xxx/CVE-2026-47974.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
