"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-8474","airbus","cvelistV5/cves/2026/8xxx/CVE-2026-8474.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-55118","airbus","cvelistV5/cves/2025/55xxx/CVE-2025-55118.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-55117","airbus","cvelistV5/cves/2025/55xxx/CVE-2025-55117.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-55116","airbus","cvelistV5/cves/2025/55xxx/CVE-2025-55116.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-55115","airbus","cvelistV5/cves/2025/55xxx/CVE-2025-55115.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-55114","airbus","cvelistV5/cves/2025/55xxx/CVE-2025-55114.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-55113","airbus","cvelistV5/cves/2025/55xxx/CVE-2025-55113.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-55112","airbus","cvelistV5/cves/2025/55xxx/CVE-2025-55112.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-55111","airbus","cvelistV5/cves/2025/55xxx/CVE-2025-55111.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-55110","airbus","cvelistV5/cves/2025/55xxx/CVE-2025-55110.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-55109","airbus","cvelistV5/cves/2025/55xxx/CVE-2025-55109.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-55108","airbus","cvelistV5/cves/2025/55xxx/CVE-2025-55108.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-7024","airbus","cvelistV5/cves/2025/7xxx/CVE-2025-7024.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2019-18568","airbus","cvelistV5/cves/2019/18xxx/CVE-2019-18568.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2019-18568","airbus","cvelistV5/cves/2019/18xxx/CVE-2019-18568.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2019-18567","airbus","cvelistV5/cves/2019/18xxx/CVE-2019-18567.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2019-12091","airbus","cvelistV5/cves/2019/12xxx/CVE-2019-12091.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
