"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2024-45693","apache","cvelistV5/cves/2024/45xxx/CVE-2024-45693.json","check-duplicate-reference-url","E002","containers.cna.references.2.url","Duplicate reference URL: https://cloudstack.apache.org/blog/security-release-advisory-4.18.2.4-4.19.1.2"
"CVE-2024-45462","apache","cvelistV5/cves/2024/45xxx/CVE-2024-45462.json","check-duplicate-reference-url","E002","containers.cna.references.2.url","Duplicate reference URL: https://cloudstack.apache.org/blog/security-release-advisory-4.18.2.4-4.19.1.2"
"CVE-2024-41172","apache","cvelistV5/cves/2024/41xxx/CVE-2024-41172.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-40898","apache","cvelistV5/cves/2024/40xxx/CVE-2024-40898.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-40725","apache","cvelistV5/cves/2024/40xxx/CVE-2024-40725.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-39863","apache","cvelistV5/cves/2024/39xxx/CVE-2024-39863.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-39676","apache","cvelistV5/cves/2024/39xxx/CVE-2024-39676.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-38379","apache","cvelistV5/cves/2024/38xxx/CVE-2024-38379.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-36471","apache","cvelistV5/cves/2024/36xxx/CVE-2024-36471.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-32114","apache","cvelistV5/cves/2024/32xxx/CVE-2024-32114.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-32007","apache","cvelistV5/cves/2024/32xxx/CVE-2024-32007.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-31979","apache","cvelistV5/cves/2024/31xxx/CVE-2024-31979.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-31411","apache","cvelistV5/cves/2024/31xxx/CVE-2024-31411.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-30471","apache","cvelistV5/cves/2024/30xxx/CVE-2024-30471.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-29868","apache","cvelistV5/cves/2024/29xxx/CVE-2024-29868.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-29070","apache","cvelistV5/cves/2024/29xxx/CVE-2024-29070.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-29008","apache","cvelistV5/cves/2024/29xxx/CVE-2024-29008.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-29007","apache","cvelistV5/cves/2024/29xxx/CVE-2024-29007.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
