"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-43752","apple","cvelistV5/cves/2026/43xxx/CVE-2026-43752.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-43746","apple","cvelistV5/cves/2026/43xxx/CVE-2026-43746.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-43746","apple","cvelistV5/cves/2026/43xxx/CVE-2026-43746.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-43746","apple","cvelistV5/cves/2026/43xxx/CVE-2026-43746.json","check-custom-version-type","E011","containers.cna.affected.2.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-43745","apple","cvelistV5/cves/2026/43xxx/CVE-2026-43745.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-43745","apple","cvelistV5/cves/2026/43xxx/CVE-2026-43745.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-43745","apple","cvelistV5/cves/2026/43xxx/CVE-2026-43745.json","check-custom-version-type","E011","containers.cna.affected.2.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-43743","apple","cvelistV5/cves/2026/43xxx/CVE-2026-43743.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-43743","apple","cvelistV5/cves/2026/43xxx/CVE-2026-43743.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-43742","apple","cvelistV5/cves/2026/43xxx/CVE-2026-43742.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-43742","apple","cvelistV5/cves/2026/43xxx/CVE-2026-43742.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-43742","apple","cvelistV5/cves/2026/43xxx/CVE-2026-43742.json","check-custom-version-type","E011","containers.cna.affected.2.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-43740","apple","cvelistV5/cves/2026/43xxx/CVE-2026-43740.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-43740","apple","cvelistV5/cves/2026/43xxx/CVE-2026-43740.json","check-custom-version-type","E011","containers.cna.affected.2.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-43740","apple","cvelistV5/cves/2026/43xxx/CVE-2026-43740.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-43735","apple","cvelistV5/cves/2026/43xxx/CVE-2026-43735.json","check-custom-version-type","E011","containers.cna.affected.2.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
