"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-21571","atlassian","cvelistV5/cves/2026/21xxx/CVE-2026-21571.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-21570","atlassian","cvelistV5/cves/2026/21xxx/CVE-2026-21570.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-21569","atlassian","cvelistV5/cves/2026/21xxx/CVE-2026-21569.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-22203","atlassian","cvelistV5/cves/2025/22xxx/CVE-2025-22203.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-22202","atlassian","cvelistV5/cves/2025/22xxx/CVE-2025-22202.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-22201","atlassian","cvelistV5/cves/2025/22xxx/CVE-2025-22201.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-22200","atlassian","cvelistV5/cves/2025/22xxx/CVE-2025-22200.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-22199","atlassian","cvelistV5/cves/2025/22xxx/CVE-2025-22199.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-22198","atlassian","cvelistV5/cves/2025/22xxx/CVE-2025-22198.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-22197","atlassian","cvelistV5/cves/2025/22xxx/CVE-2025-22197.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-22196","atlassian","cvelistV5/cves/2025/22xxx/CVE-2025-22196.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-22195","atlassian","cvelistV5/cves/2025/22xxx/CVE-2025-22195.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-22194","atlassian","cvelistV5/cves/2025/22xxx/CVE-2025-22194.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-22193","atlassian","cvelistV5/cves/2025/22xxx/CVE-2025-22193.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-22192","atlassian","cvelistV5/cves/2025/22xxx/CVE-2025-22192.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-22191","atlassian","cvelistV5/cves/2025/22xxx/CVE-2025-22191.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-22190","atlassian","cvelistV5/cves/2025/22xxx/CVE-2025-22190.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-22189","atlassian","cvelistV5/cves/2025/22xxx/CVE-2025-22189.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
