"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2025-12603","azure-access","cvelistV5/cves/2025/12xxx/CVE-2025-12603.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12602","azure-access","cvelistV5/cves/2025/12xxx/CVE-2025-12602.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12601","azure-access","cvelistV5/cves/2025/12xxx/CVE-2025-12601.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12600","azure-access","cvelistV5/cves/2025/12xxx/CVE-2025-12600.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12599","azure-access","cvelistV5/cves/2025/12xxx/CVE-2025-12599.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12554","azure-access","cvelistV5/cves/2025/12xxx/CVE-2025-12554.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12553","azure-access","cvelistV5/cves/2025/12xxx/CVE-2025-12553.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12552","azure-access","cvelistV5/cves/2025/12xxx/CVE-2025-12552.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12517","azure-access","cvelistV5/cves/2025/12xxx/CVE-2025-12517.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12516","azure-access","cvelistV5/cves/2025/12xxx/CVE-2025-12516.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12515","azure-access","cvelistV5/cves/2025/12xxx/CVE-2025-12515.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12479","azure-access","cvelistV5/cves/2025/12xxx/CVE-2025-12479.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12478","azure-access","cvelistV5/cves/2025/12xxx/CVE-2025-12478.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12477","azure-access","cvelistV5/cves/2025/12xxx/CVE-2025-12477.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12476","azure-access","cvelistV5/cves/2025/12xxx/CVE-2025-12476.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12425","azure-access","cvelistV5/cves/2025/12xxx/CVE-2025-12425.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12424","azure-access","cvelistV5/cves/2025/12xxx/CVE-2025-12424.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12423","azure-access","cvelistV5/cves/2025/12xxx/CVE-2025-12423.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12422","azure-access","cvelistV5/cves/2025/12xxx/CVE-2025-12422.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12365","azure-access","cvelistV5/cves/2025/12xxx/CVE-2025-12365.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12364","azure-access","cvelistV5/cves/2025/12xxx/CVE-2025-12364.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12363","azure-access","cvelistV5/cves/2025/12xxx/CVE-2025-12363.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12285","azure-access","cvelistV5/cves/2025/12xxx/CVE-2025-12285.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12284","azure-access","cvelistV5/cves/2025/12xxx/CVE-2025-12284.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12278","azure-access","cvelistV5/cves/2025/12xxx/CVE-2025-12278.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12275","azure-access","cvelistV5/cves/2025/12xxx/CVE-2025-12275.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12221","azure-access","cvelistV5/cves/2025/12xxx/CVE-2025-12221.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12220","azure-access","cvelistV5/cves/2025/12xxx/CVE-2025-12220.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12219","azure-access","cvelistV5/cves/2025/12xxx/CVE-2025-12219.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12218","azure-access","cvelistV5/cves/2025/12xxx/CVE-2025-12218.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12217","azure-access","cvelistV5/cves/2025/12xxx/CVE-2025-12217.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12216","azure-access","cvelistV5/cves/2025/12xxx/CVE-2025-12216.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12176","azure-access","cvelistV5/cves/2025/12xxx/CVE-2025-12176.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12114","azure-access","cvelistV5/cves/2025/12xxx/CVE-2025-12114.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12104","azure-access","cvelistV5/cves/2025/12xxx/CVE-2025-12104.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12031","azure-access","cvelistV5/cves/2025/12xxx/CVE-2025-12031.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12001","azure-access","cvelistV5/cves/2025/12xxx/CVE-2025-12001.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-11925","azure-access","cvelistV5/cves/2025/11xxx/CVE-2025-11925.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-11832","azure-access","cvelistV5/cves/2025/11xxx/CVE-2025-11832.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
