"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-8149","bcorg","cvelistV5/cves/2026/8xxx/CVE-2026-8149.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-5598","bcorg","cvelistV5/cves/2026/5xxx/CVE-2026-5598.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-5588","bcorg","cvelistV5/cves/2026/5xxx/CVE-2026-5588.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-3505","bcorg","cvelistV5/cves/2026/3xxx/CVE-2026-3505.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-0636","bcorg","cvelistV5/cves/2026/0xxx/CVE-2026-0636.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-14813","bcorg","cvelistV5/cves/2025/14xxx/CVE-2025-14813.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12194","bcorg","cvelistV5/cves/2025/12xxx/CVE-2025-12194.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-9341","bcorg","cvelistV5/cves/2025/9xxx/CVE-2025-9341.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-9340","bcorg","cvelistV5/cves/2025/9xxx/CVE-2025-9340.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-9092","bcorg","cvelistV5/cves/2025/9xxx/CVE-2025-9092.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-8916","bcorg","cvelistV5/cves/2025/8xxx/CVE-2025-8916.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-8885","bcorg","cvelistV5/cves/2025/8xxx/CVE-2025-8885.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
