"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2025-12766","blackberry","cvelistV5/cves/2025/12xxx/CVE-2025-12766.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-8090","blackberry","cvelistV5/cves/2025/8xxx/CVE-2025-8090.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-8090","blackberry","cvelistV5/cves/2025/8xxx/CVE-2025-8090.json","check-custom-version-type","E011","containers.cna.affected.2.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-8090","blackberry","cvelistV5/cves/2025/8xxx/CVE-2025-8090.json","check-custom-version-type","E011","containers.cna.affected.1.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-8090","blackberry","cvelistV5/cves/2025/8xxx/CVE-2025-8090.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-8090","blackberry","cvelistV5/cves/2025/8xxx/CVE-2025-8090.json","check-custom-version-type","E011","containers.cna.affected.1.versions.4.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-8090","blackberry","cvelistV5/cves/2025/8xxx/CVE-2025-8090.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-2474","blackberry","cvelistV5/cves/2025/2xxx/CVE-2025-2474.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-51723","blackberry","cvelistV5/cves/2024/51xxx/CVE-2024-51723.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-51722","blackberry","cvelistV5/cves/2024/51xxx/CVE-2024-51722.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-51721","blackberry","cvelistV5/cves/2024/51xxx/CVE-2024-51721.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-51720","blackberry","cvelistV5/cves/2024/51xxx/CVE-2024-51720.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-48858","blackberry","cvelistV5/cves/2024/48xxx/CVE-2024-48858.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-48857","blackberry","cvelistV5/cves/2024/48xxx/CVE-2024-48857.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-48856","blackberry","cvelistV5/cves/2024/48xxx/CVE-2024-48856.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-48855","blackberry","cvelistV5/cves/2024/48xxx/CVE-2024-48855.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-48854","blackberry","cvelistV5/cves/2024/48xxx/CVE-2024-48854.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-35215","blackberry","cvelistV5/cves/2024/35xxx/CVE-2024-35215.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-35215","blackberry","cvelistV5/cves/2024/35xxx/CVE-2024-35215.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-35214","blackberry","cvelistV5/cves/2024/35xxx/CVE-2024-35214.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-35213","blackberry","cvelistV5/cves/2024/35xxx/CVE-2024-35213.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-35213","blackberry","cvelistV5/cves/2024/35xxx/CVE-2024-35213.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-32701","blackberry","cvelistV5/cves/2023/32xxx/CVE-2023-32701.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-32701","blackberry","cvelistV5/cves/2023/32xxx/CVE-2023-32701.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-21523","blackberry","cvelistV5/cves/2023/21xxx/CVE-2023-21523.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-21523","blackberry","cvelistV5/cves/2023/21xxx/CVE-2023-21523.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-21522","blackberry","cvelistV5/cves/2023/21xxx/CVE-2023-21522.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-21522","blackberry","cvelistV5/cves/2023/21xxx/CVE-2023-21522.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-21521","blackberry","cvelistV5/cves/2023/21xxx/CVE-2023-21521.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-21521","blackberry","cvelistV5/cves/2023/21xxx/CVE-2023-21521.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-21520","blackberry","cvelistV5/cves/2023/21xxx/CVE-2023-21520.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-21520","blackberry","cvelistV5/cves/2023/21xxx/CVE-2023-21520.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2022-40669","blackberry","cvelistV5/cves/2022/40xxx/CVE-2022-40669.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-40668","blackberry","cvelistV5/cves/2022/40xxx/CVE-2022-40668.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-40667","blackberry","cvelistV5/cves/2022/40xxx/CVE-2022-40667.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-40666","blackberry","cvelistV5/cves/2022/40xxx/CVE-2022-40666.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-40665","blackberry","cvelistV5/cves/2022/40xxx/CVE-2022-40665.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-37426","blackberry","cvelistV5/cves/2022/37xxx/CVE-2022-37426.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-37425","blackberry","cvelistV5/cves/2022/37xxx/CVE-2022-37425.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-37424","blackberry","cvelistV5/cves/2022/37xxx/CVE-2022-37424.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-32025","blackberry","cvelistV5/cves/2021/32xxx/CVE-2021-32025.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-32024","blackberry","cvelistV5/cves/2021/32xxx/CVE-2021-32024.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-32024","blackberry","cvelistV5/cves/2021/32xxx/CVE-2021-32024.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-32024","blackberry","cvelistV5/cves/2021/32xxx/CVE-2021-32024.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-32023","blackberry","cvelistV5/cves/2021/32xxx/CVE-2021-32023.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-32022","blackberry","cvelistV5/cves/2021/32xxx/CVE-2021-32022.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-32021","blackberry","cvelistV5/cves/2021/32xxx/CVE-2021-32021.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-22156","blackberry","cvelistV5/cves/2021/22xxx/CVE-2021-22156.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-22155","blackberry","cvelistV5/cves/2021/22xxx/CVE-2021-22155.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-22154","blackberry","cvelistV5/cves/2021/22xxx/CVE-2021-22154.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-22153","blackberry","cvelistV5/cves/2021/22xxx/CVE-2021-22153.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-22152","blackberry","cvelistV5/cves/2021/22xxx/CVE-2021-22152.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2020-6933","blackberry","cvelistV5/cves/2020/6xxx/CVE-2020-6933.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2020-6932","blackberry","cvelistV5/cves/2020/6xxx/CVE-2020-6932.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2020-6932","blackberry","cvelistV5/cves/2020/6xxx/CVE-2020-6932.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2019-8999","blackberry","cvelistV5/cves/2019/8xxx/CVE-2019-8999.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2019-8998","blackberry","cvelistV5/cves/2019/8xxx/CVE-2019-8998.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2019-8997","blackberry","cvelistV5/cves/2019/8xxx/CVE-2019-8997.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
