"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2025-60038","bosch","cvelistV5/cves/2025/60xxx/CVE-2025-60038.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-60037","bosch","cvelistV5/cves/2025/60xxx/CVE-2025-60037.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-60036","bosch","cvelistV5/cves/2025/60xxx/CVE-2025-60036.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-60036","bosch","cvelistV5/cves/2025/60xxx/CVE-2025-60036.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-60036","bosch","cvelistV5/cves/2025/60xxx/CVE-2025-60036.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-60035","bosch","cvelistV5/cves/2025/60xxx/CVE-2025-60035.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-60035","bosch","cvelistV5/cves/2025/60xxx/CVE-2025-60035.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-48862","bosch","cvelistV5/cves/2025/48xxx/CVE-2025-48862.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-48862","bosch","cvelistV5/cves/2025/48xxx/CVE-2025-48862.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-48862","bosch","cvelistV5/cves/2025/48xxx/CVE-2025-48862.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-48862","bosch","cvelistV5/cves/2025/48xxx/CVE-2025-48862.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-48861","bosch","cvelistV5/cves/2025/48xxx/CVE-2025-48861.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-48861","bosch","cvelistV5/cves/2025/48xxx/CVE-2025-48861.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-48861","bosch","cvelistV5/cves/2025/48xxx/CVE-2025-48861.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-48861","bosch","cvelistV5/cves/2025/48xxx/CVE-2025-48861.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-48860","bosch","cvelistV5/cves/2025/48xxx/CVE-2025-48860.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-48860","bosch","cvelistV5/cves/2025/48xxx/CVE-2025-48860.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-48860","bosch","cvelistV5/cves/2025/48xxx/CVE-2025-48860.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-48860","bosch","cvelistV5/cves/2025/48xxx/CVE-2025-48860.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-29902","bosch","cvelistV5/cves/2025/29xxx/CVE-2025-29902.json","check-custom-version-type","E011","containers.cna.affected.1.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-29902","bosch","cvelistV5/cves/2025/29xxx/CVE-2025-29902.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-29902","bosch","cvelistV5/cves/2025/29xxx/CVE-2025-29902.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
