"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-0869","brocade","cvelistV5/cves/2026/0xxx/CVE-2026-0869.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-0383","brocade","cvelistV5/cves/2026/0xxx/CVE-2026-0383.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-58383","brocade","cvelistV5/cves/2025/58xxx/CVE-2025-58383.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-58382","brocade","cvelistV5/cves/2025/58xxx/CVE-2025-58382.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-58381","brocade","cvelistV5/cves/2025/58xxx/CVE-2025-58381.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-58380","brocade","cvelistV5/cves/2025/58xxx/CVE-2025-58380.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-58379","brocade","cvelistV5/cves/2025/58xxx/CVE-2025-58379.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12774","brocade","cvelistV5/cves/2025/12xxx/CVE-2025-12774.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12773","brocade","cvelistV5/cves/2025/12xxx/CVE-2025-12773.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12772","brocade","cvelistV5/cves/2025/12xxx/CVE-2025-12772.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12680","brocade","cvelistV5/cves/2025/12xxx/CVE-2025-12680.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12679","brocade","cvelistV5/cves/2025/12xxx/CVE-2025-12679.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-9711","brocade","cvelistV5/cves/2025/9xxx/CVE-2025-9711.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-7398","brocade","cvelistV5/cves/2025/7xxx/CVE-2025-7398.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-7397","brocade","cvelistV5/cves/2025/7xxx/CVE-2025-7397.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-6392","brocade","cvelistV5/cves/2025/6xxx/CVE-2025-6392.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-6391","brocade","cvelistV5/cves/2025/6xxx/CVE-2025-6391.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-6390","brocade","cvelistV5/cves/2025/6xxx/CVE-2025-6390.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-4663","brocade","cvelistV5/cves/2025/4xxx/CVE-2025-4663.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-4662","brocade","cvelistV5/cves/2025/4xxx/CVE-2025-4662.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-4661","brocade","cvelistV5/cves/2025/4xxx/CVE-2025-4661.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-1976","brocade","cvelistV5/cves/2025/1xxx/CVE-2025-1976.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-1053","brocade","cvelistV5/cves/2025/1xxx/CVE-2025-1053.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-29969","brocade","cvelistV5/cves/2024/29xxx/CVE-2024-29969.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-29969","brocade","cvelistV5/cves/2024/29xxx/CVE-2024-29969.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-29968","brocade","cvelistV5/cves/2024/29xxx/CVE-2024-29968.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-29967","brocade","cvelistV5/cves/2024/29xxx/CVE-2024-29967.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-29967","brocade","cvelistV5/cves/2024/29xxx/CVE-2024-29967.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-29966","brocade","cvelistV5/cves/2024/29xxx/CVE-2024-29966.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-29966","brocade","cvelistV5/cves/2024/29xxx/CVE-2024-29966.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-29965","brocade","cvelistV5/cves/2024/29xxx/CVE-2024-29965.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-29965","brocade","cvelistV5/cves/2024/29xxx/CVE-2024-29965.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-29964","brocade","cvelistV5/cves/2024/29xxx/CVE-2024-29964.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-29963","brocade","cvelistV5/cves/2024/29xxx/CVE-2024-29963.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-29963","brocade","cvelistV5/cves/2024/29xxx/CVE-2024-29963.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-29962","brocade","cvelistV5/cves/2024/29xxx/CVE-2024-29962.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-29962","brocade","cvelistV5/cves/2024/29xxx/CVE-2024-29962.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-29961","brocade","cvelistV5/cves/2024/29xxx/CVE-2024-29961.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-29961","brocade","cvelistV5/cves/2024/29xxx/CVE-2024-29961.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-29960","brocade","cvelistV5/cves/2024/29xxx/CVE-2024-29960.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-29960","brocade","cvelistV5/cves/2024/29xxx/CVE-2024-29960.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-29959","brocade","cvelistV5/cves/2024/29xxx/CVE-2024-29959.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-29959","brocade","cvelistV5/cves/2024/29xxx/CVE-2024-29959.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-29958","brocade","cvelistV5/cves/2024/29xxx/CVE-2024-29958.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-29958","brocade","cvelistV5/cves/2024/29xxx/CVE-2024-29958.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-29957","brocade","cvelistV5/cves/2024/29xxx/CVE-2024-29957.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-29957","brocade","cvelistV5/cves/2024/29xxx/CVE-2024-29957.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-29956","brocade","cvelistV5/cves/2024/29xxx/CVE-2024-29956.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-29956","brocade","cvelistV5/cves/2024/29xxx/CVE-2024-29956.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-29955","brocade","cvelistV5/cves/2024/29xxx/CVE-2024-29955.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-29955","brocade","cvelistV5/cves/2024/29xxx/CVE-2024-29955.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-29954","brocade","cvelistV5/cves/2024/29xxx/CVE-2024-29954.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-29953","brocade","cvelistV5/cves/2024/29xxx/CVE-2024-29953.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-29952","brocade","cvelistV5/cves/2024/29xxx/CVE-2024-29952.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-29952","brocade","cvelistV5/cves/2024/29xxx/CVE-2024-29952.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-29951","brocade","cvelistV5/cves/2024/29xxx/CVE-2024-29951.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-29951","brocade","cvelistV5/cves/2024/29xxx/CVE-2024-29951.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-29950","brocade","cvelistV5/cves/2024/29xxx/CVE-2024-29950.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-29950","brocade","cvelistV5/cves/2024/29xxx/CVE-2024-29950.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-10405","brocade","cvelistV5/cves/2024/10xxx/CVE-2024-10405.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-10404","brocade","cvelistV5/cves/2024/10xxx/CVE-2024-10404.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-10403","brocade","cvelistV5/cves/2024/10xxx/CVE-2024-10403.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-7517","brocade","cvelistV5/cves/2024/7xxx/CVE-2024-7517.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-7516","brocade","cvelistV5/cves/2024/7xxx/CVE-2024-7516.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-5462","brocade","cvelistV5/cves/2024/5xxx/CVE-2024-5462.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-5461","brocade","cvelistV5/cves/2024/5xxx/CVE-2024-5461.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
