"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-49238","canonical","cvelistV5/cves/2026/49xxx/CVE-2026-49238.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-49237","canonical","cvelistV5/cves/2026/49xxx/CVE-2026-49237.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-47337","canonical","cvelistV5/cves/2026/47xxx/CVE-2026-47337.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-47336","canonical","cvelistV5/cves/2026/47xxx/CVE-2026-47336.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-47335","canonical","cvelistV5/cves/2026/47xxx/CVE-2026-47335.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-47334","canonical","cvelistV5/cves/2026/47xxx/CVE-2026-47334.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-47333","canonical","cvelistV5/cves/2026/47xxx/CVE-2026-47333.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-47332","canonical","cvelistV5/cves/2026/47xxx/CVE-2026-47332.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-47331","canonical","cvelistV5/cves/2026/47xxx/CVE-2026-47331.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-47330","canonical","cvelistV5/cves/2026/47xxx/CVE-2026-47330.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-47329","canonical","cvelistV5/cves/2026/47xxx/CVE-2026-47329.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-47328","canonical","cvelistV5/cves/2026/47xxx/CVE-2026-47328.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-47327","canonical","cvelistV5/cves/2026/47xxx/CVE-2026-47327.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-47326","canonical","cvelistV5/cves/2026/47xxx/CVE-2026-47326.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-35382","canonical","cvelistV5/cves/2026/35xxx/CVE-2026-35382.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-35381","canonical","cvelistV5/cves/2026/35xxx/CVE-2026-35381.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-35380","canonical","cvelistV5/cves/2026/35xxx/CVE-2026-35380.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-35379","canonical","cvelistV5/cves/2026/35xxx/CVE-2026-35379.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-35378","canonical","cvelistV5/cves/2026/35xxx/CVE-2026-35378.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-35377","canonical","cvelistV5/cves/2026/35xxx/CVE-2026-35377.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-35376","canonical","cvelistV5/cves/2026/35xxx/CVE-2026-35376.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-35375","canonical","cvelistV5/cves/2026/35xxx/CVE-2026-35375.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-35374","canonical","cvelistV5/cves/2026/35xxx/CVE-2026-35374.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-35373","canonical","cvelistV5/cves/2026/35xxx/CVE-2026-35373.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-35372","canonical","cvelistV5/cves/2026/35xxx/CVE-2026-35372.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-35371","canonical","cvelistV5/cves/2026/35xxx/CVE-2026-35371.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-35370","canonical","cvelistV5/cves/2026/35xxx/CVE-2026-35370.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-35369","canonical","cvelistV5/cves/2026/35xxx/CVE-2026-35369.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-35368","canonical","cvelistV5/cves/2026/35xxx/CVE-2026-35368.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-35367","canonical","cvelistV5/cves/2026/35xxx/CVE-2026-35367.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-35366","canonical","cvelistV5/cves/2026/35xxx/CVE-2026-35366.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-35365","canonical","cvelistV5/cves/2026/35xxx/CVE-2026-35365.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-35364","canonical","cvelistV5/cves/2026/35xxx/CVE-2026-35364.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-35363","canonical","cvelistV5/cves/2026/35xxx/CVE-2026-35363.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-35362","canonical","cvelistV5/cves/2026/35xxx/CVE-2026-35362.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-35361","canonical","cvelistV5/cves/2026/35xxx/CVE-2026-35361.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-35360","canonical","cvelistV5/cves/2026/35xxx/CVE-2026-35360.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-35359","canonical","cvelistV5/cves/2026/35xxx/CVE-2026-35359.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-35358","canonical","cvelistV5/cves/2026/35xxx/CVE-2026-35358.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-35357","canonical","cvelistV5/cves/2026/35xxx/CVE-2026-35357.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-35356","canonical","cvelistV5/cves/2026/35xxx/CVE-2026-35356.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-35355","canonical","cvelistV5/cves/2026/35xxx/CVE-2026-35355.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-35354","canonical","cvelistV5/cves/2026/35xxx/CVE-2026-35354.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-35353","canonical","cvelistV5/cves/2026/35xxx/CVE-2026-35353.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-35352","canonical","cvelistV5/cves/2026/35xxx/CVE-2026-35352.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-35351","canonical","cvelistV5/cves/2026/35xxx/CVE-2026-35351.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-35350","canonical","cvelistV5/cves/2026/35xxx/CVE-2026-35350.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-35349","canonical","cvelistV5/cves/2026/35xxx/CVE-2026-35349.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-35348","canonical","cvelistV5/cves/2026/35xxx/CVE-2026-35348.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-35347","canonical","cvelistV5/cves/2026/35xxx/CVE-2026-35347.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-35346","canonical","cvelistV5/cves/2026/35xxx/CVE-2026-35346.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-35345","canonical","cvelistV5/cves/2026/35xxx/CVE-2026-35345.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-35344","canonical","cvelistV5/cves/2026/35xxx/CVE-2026-35344.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-35343","canonical","cvelistV5/cves/2026/35xxx/CVE-2026-35343.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-35342","canonical","cvelistV5/cves/2026/35xxx/CVE-2026-35342.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-35341","canonical","cvelistV5/cves/2026/35xxx/CVE-2026-35341.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-35340","canonical","cvelistV5/cves/2026/35xxx/CVE-2026-35340.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-35339","canonical","cvelistV5/cves/2026/35xxx/CVE-2026-35339.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-35338","canonical","cvelistV5/cves/2026/35xxx/CVE-2026-35338.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-34179","canonical","cvelistV5/cves/2026/34xxx/CVE-2026-34179.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-34178","canonical","cvelistV5/cves/2026/34xxx/CVE-2026-34178.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-34177","canonical","cvelistV5/cves/2026/34xxx/CVE-2026-34177.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-32694","canonical","cvelistV5/cves/2026/32xxx/CVE-2026-32694.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-32693","canonical","cvelistV5/cves/2026/32xxx/CVE-2026-32693.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-32692","canonical","cvelistV5/cves/2026/32xxx/CVE-2026-32692.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-32691","canonical","cvelistV5/cves/2026/32xxx/CVE-2026-32691.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-28385","canonical","cvelistV5/cves/2026/28xxx/CVE-2026-28385.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-28384","canonical","cvelistV5/cves/2026/28xxx/CVE-2026-28384.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-12411","canonical","cvelistV5/cves/2026/12xxx/CVE-2026-12411.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-12249","canonical","cvelistV5/cves/2026/12xxx/CVE-2026-12249.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
