"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-35467","certcc","cvelistV5/cves/2026/35xxx/CVE-2026-35467.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-35466","certcc","cvelistV5/cves/2026/35xxx/CVE-2026-35466.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-10629","certcc","cvelistV5/cves/2026/10xxx/CVE-2026-10629.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-10622","certcc","cvelistV5/cves/2026/10xxx/CVE-2026-10622.json","check-custom-version-type","E011","containers.cna.affected.4.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-10622","certcc","cvelistV5/cves/2026/10xxx/CVE-2026-10622.json","check-custom-version-type","E011","containers.cna.affected.5.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-10622","certcc","cvelistV5/cves/2026/10xxx/CVE-2026-10622.json","check-custom-version-type","E011","containers.cna.affected.3.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-10622","certcc","cvelistV5/cves/2026/10xxx/CVE-2026-10622.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-10622","certcc","cvelistV5/cves/2026/10xxx/CVE-2026-10622.json","check-custom-version-type","E011","containers.cna.affected.6.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-10622","certcc","cvelistV5/cves/2026/10xxx/CVE-2026-10622.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-10622","certcc","cvelistV5/cves/2026/10xxx/CVE-2026-10622.json","check-custom-version-type","E011","containers.cna.affected.2.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-10622","certcc","cvelistV5/cves/2026/10xxx/CVE-2026-10622.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-10621","certcc","cvelistV5/cves/2026/10xxx/CVE-2026-10621.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-10621","certcc","cvelistV5/cves/2026/10xxx/CVE-2026-10621.json","check-custom-version-type","E011","containers.cna.affected.2.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-10621","certcc","cvelistV5/cves/2026/10xxx/CVE-2026-10621.json","check-custom-version-type","E011","containers.cna.affected.5.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-10621","certcc","cvelistV5/cves/2026/10xxx/CVE-2026-10621.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-10621","certcc","cvelistV5/cves/2026/10xxx/CVE-2026-10621.json","check-custom-version-type","E011","containers.cna.affected.4.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-10621","certcc","cvelistV5/cves/2026/10xxx/CVE-2026-10621.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-10621","certcc","cvelistV5/cves/2026/10xxx/CVE-2026-10621.json","check-custom-version-type","E011","containers.cna.affected.6.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-10621","certcc","cvelistV5/cves/2026/10xxx/CVE-2026-10621.json","check-custom-version-type","E011","containers.cna.affected.3.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-10045","certcc","cvelistV5/cves/2026/10xxx/CVE-2026-10045.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9648","certcc","cvelistV5/cves/2026/9xxx/CVE-2026-9648.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9648","certcc","cvelistV5/cves/2026/9xxx/CVE-2026-9648.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-9098","certcc","cvelistV5/cves/2026/9xxx/CVE-2026-9098.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9098","certcc","cvelistV5/cves/2026/9xxx/CVE-2026-9098.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-9097","certcc","cvelistV5/cves/2026/9xxx/CVE-2026-9097.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9097","certcc","cvelistV5/cves/2026/9xxx/CVE-2026-9097.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-9096","certcc","cvelistV5/cves/2026/9xxx/CVE-2026-9096.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-9096","certcc","cvelistV5/cves/2026/9xxx/CVE-2026-9096.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9095","certcc","cvelistV5/cves/2026/9xxx/CVE-2026-9095.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9095","certcc","cvelistV5/cves/2026/9xxx/CVE-2026-9095.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-9094","certcc","cvelistV5/cves/2026/9xxx/CVE-2026-9094.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9094","certcc","cvelistV5/cves/2026/9xxx/CVE-2026-9094.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-9093","certcc","cvelistV5/cves/2026/9xxx/CVE-2026-9093.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9093","certcc","cvelistV5/cves/2026/9xxx/CVE-2026-9093.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-9092","certcc","cvelistV5/cves/2026/9xxx/CVE-2026-9092.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9092","certcc","cvelistV5/cves/2026/9xxx/CVE-2026-9092.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-9091","certcc","cvelistV5/cves/2026/9xxx/CVE-2026-9091.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9091","certcc","cvelistV5/cves/2026/9xxx/CVE-2026-9091.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-9090","certcc","cvelistV5/cves/2026/9xxx/CVE-2026-9090.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
