"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-49433","cisa-cg","cvelistV5/cves/2026/49xxx/CVE-2026-49433.json","check-invalid-self-references","E010","containers.cna.references.2.url","Unnecessary self-reference URL: https://www.cve.org/CVERecord?id=CVE-2026-49433"
"CVE-2026-49433","cisa-cg","cvelistV5/cves/2026/49xxx/CVE-2026-49433.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-49433","cisa-cg","cvelistV5/cves/2026/49xxx/CVE-2026-49433.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-45557","cisa-cg","cvelistV5/cves/2026/45xxx/CVE-2026-45557.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-45557","cisa-cg","cvelistV5/cves/2026/45xxx/CVE-2026-45557.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-45557","cisa-cg","cvelistV5/cves/2026/45xxx/CVE-2026-45557.json","check-invalid-self-references","E010","containers.cna.references.2.url","Unnecessary self-reference URL: https://www.cve.org/CVERecord?id=CVE-2026-45557"
"CVE-2026-44159","cisa-cg","cvelistV5/cves/2026/44xxx/CVE-2026-44159.json","check-invalid-self-references","E010","containers.cna.references.1.url","Unnecessary self-reference URL: https://www.cve.org/CVERecord?id=CVE-2026-44159"
"CVE-2026-44159","cisa-cg","cvelistV5/cves/2026/44xxx/CVE-2026-44159.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-43510","cisa-cg","cvelistV5/cves/2026/43xxx/CVE-2026-43510.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-43510","cisa-cg","cvelistV5/cves/2026/43xxx/CVE-2026-43510.json","check-invalid-self-references","E010","containers.cna.references.3.url","Unnecessary self-reference URL: https://www.cve.org/CVERecord?id=CVE-2026-43510"
"CVE-2026-43510","cisa-cg","cvelistV5/cves/2026/43xxx/CVE-2026-43510.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-35383","cisa-cg","cvelistV5/cves/2026/35xxx/CVE-2026-35383.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-35383","cisa-cg","cvelistV5/cves/2026/35xxx/CVE-2026-35383.json","check-invalid-self-references","E010","containers.cna.references.1.url","Unnecessary self-reference URL: https://www.cve.org/CVERecord?id=CVE-2026-35383"
"CVE-2026-35383","cisa-cg","cvelistV5/cves/2026/35xxx/CVE-2026-35383.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-33268","cisa-cg","cvelistV5/cves/2026/33xxx/CVE-2026-33268.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-33268","cisa-cg","cvelistV5/cves/2026/33xxx/CVE-2026-33268.json","check-invalid-self-references","E010","containers.cna.references.0.url","Unnecessary self-reference URL: https://www.cve.org/CVERecord?id=CVE-2026-33268"
"CVE-2026-33268","cisa-cg","cvelistV5/cves/2026/33xxx/CVE-2026-33268.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-32869","cisa-cg","cvelistV5/cves/2026/32xxx/CVE-2026-32869.json","check-invalid-self-references","E010","containers.cna.references.1.url","Unnecessary self-reference URL: https://www.cve.org/CVERecord?id=CVE-2026-32869"
"CVE-2026-32869","cisa-cg","cvelistV5/cves/2026/32xxx/CVE-2026-32869.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-32869","cisa-cg","cvelistV5/cves/2026/32xxx/CVE-2026-32869.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-32869","cisa-cg","cvelistV5/cves/2026/32xxx/CVE-2026-32869.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-32868","cisa-cg","cvelistV5/cves/2026/32xxx/CVE-2026-32868.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-32868","cisa-cg","cvelistV5/cves/2026/32xxx/CVE-2026-32868.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-32868","cisa-cg","cvelistV5/cves/2026/32xxx/CVE-2026-32868.json","check-invalid-self-references","E010","containers.cna.references.0.url","Unnecessary self-reference URL: https://www.cve.org/CVERecord?id=CVE-2026-32868"
"CVE-2026-32868","cisa-cg","cvelistV5/cves/2026/32xxx/CVE-2026-32868.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-32867","cisa-cg","cvelistV5/cves/2026/32xxx/CVE-2026-32867.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-32867","cisa-cg","cvelistV5/cves/2026/32xxx/CVE-2026-32867.json","check-invalid-self-references","E010","containers.cna.references.1.url","Unnecessary self-reference URL: https://www.cve.org/CVERecord?id=CVE-2026-32867"
"CVE-2026-32867","cisa-cg","cvelistV5/cves/2026/32xxx/CVE-2026-32867.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-32866","cisa-cg","cvelistV5/cves/2026/32xxx/CVE-2026-32866.json","check-invalid-self-references","E010","containers.cna.references.0.url","Unnecessary self-reference URL: https://www.cve.org/CVERecord?id=CVE-2026-32866"
"CVE-2026-32866","cisa-cg","cvelistV5/cves/2026/32xxx/CVE-2026-32866.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-32866","cisa-cg","cvelistV5/cves/2026/32xxx/CVE-2026-32866.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
