"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-14440","cloudflare","cvelistV5/cves/2026/14xxx/CVE-2026-14440.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-1229","cloudflare","cvelistV5/cves/2026/1xxx/CVE-2026-1229.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-4658","cloudflare","cvelistV5/cves/2025/4xxx/CVE-2025-4658.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-3757","cloudflare","cvelistV5/cves/2025/3xxx/CVE-2025-3757.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-0651","cloudflare","cvelistV5/cves/2025/0xxx/CVE-2025-0651.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-1765","cloudflare","cvelistV5/cves/2024/1xxx/CVE-2024-1765.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-1410","cloudflare","cvelistV5/cves/2024/1xxx/CVE-2024-1410.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-0212","cloudflare","cvelistV5/cves/2024/0xxx/CVE-2024-0212.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-7080","cloudflare","cvelistV5/cves/2023/7xxx/CVE-2023-7080.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-7079","cloudflare","cvelistV5/cves/2023/7xxx/CVE-2023-7079.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-7078","cloudflare","cvelistV5/cves/2023/7xxx/CVE-2023-7078.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-6992","cloudflare","cvelistV5/cves/2023/6xxx/CVE-2023-6992.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-6180","cloudflare","cvelistV5/cves/2023/6xxx/CVE-2023-6180.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-4241","cloudflare","cvelistV5/cves/2023/4xxx/CVE-2023-4241.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-3766","cloudflare","cvelistV5/cves/2023/3xxx/CVE-2023-3766.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-3747","cloudflare","cvelistV5/cves/2023/3xxx/CVE-2023-3747.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-3348","cloudflare","cvelistV5/cves/2023/3xxx/CVE-2023-3348.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-3040","cloudflare","cvelistV5/cves/2023/3xxx/CVE-2023-3040.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-3036","cloudflare","cvelistV5/cves/2023/3xxx/CVE-2023-3036.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-2754","cloudflare","cvelistV5/cves/2023/2xxx/CVE-2023-2754.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-2512","cloudflare","cvelistV5/cves/2023/2xxx/CVE-2023-2512.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-1862","cloudflare","cvelistV5/cves/2023/1xxx/CVE-2023-1862.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-1732","cloudflare","cvelistV5/cves/2023/1xxx/CVE-2023-1732.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-1412","cloudflare","cvelistV5/cves/2023/1xxx/CVE-2023-1412.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-1314","cloudflare","cvelistV5/cves/2023/1xxx/CVE-2023-1314.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-1314","cloudflare","cvelistV5/cves/2023/1xxx/CVE-2023-1314.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-0654","cloudflare","cvelistV5/cves/2023/0xxx/CVE-2023-0654.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
