"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-1770","crafter","cvelistV5/cves/2026/1xxx/CVE-2026-1770.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-6384","crafter","cvelistV5/cves/2025/6xxx/CVE-2025-6384.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-0502","crafter","cvelistV5/cves/2025/0xxx/CVE-2025-0502.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-26020","crafter","cvelistV5/cves/2023/26xxx/CVE-2023-26020.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-26020","crafter","cvelistV5/cves/2023/26xxx/CVE-2023-26020.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-4136","crafter","cvelistV5/cves/2023/4xxx/CVE-2023-4136.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-40635","crafter","cvelistV5/cves/2022/40xxx/CVE-2022-40635.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-40635","crafter","cvelistV5/cves/2022/40xxx/CVE-2022-40635.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-40634","crafter","cvelistV5/cves/2022/40xxx/CVE-2022-40634.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-40634","crafter","cvelistV5/cves/2022/40xxx/CVE-2022-40634.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-23267","crafter","cvelistV5/cves/2021/23xxx/CVE-2021-23267.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-23267","crafter","cvelistV5/cves/2021/23xxx/CVE-2021-23267.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-23266","crafter","cvelistV5/cves/2021/23xxx/CVE-2021-23266.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-23266","crafter","cvelistV5/cves/2021/23xxx/CVE-2021-23266.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-23265","crafter","cvelistV5/cves/2021/23xxx/CVE-2021-23265.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-23265","crafter","cvelistV5/cves/2021/23xxx/CVE-2021-23265.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-23264","crafter","cvelistV5/cves/2021/23xxx/CVE-2021-23264.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-23264","crafter","cvelistV5/cves/2021/23xxx/CVE-2021-23264.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-23263","crafter","cvelistV5/cves/2021/23xxx/CVE-2021-23263.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-23263","crafter","cvelistV5/cves/2021/23xxx/CVE-2021-23263.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-23262","crafter","cvelistV5/cves/2021/23xxx/CVE-2021-23262.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-23262","crafter","cvelistV5/cves/2021/23xxx/CVE-2021-23262.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
