"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2018-17280","cspcert","cvelistV5/cves/2018/17xxx/CVE-2018-17280.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2018-17279","cspcert","cvelistV5/cves/2018/17xxx/CVE-2018-17279.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2018-17278","cspcert","cvelistV5/cves/2018/17xxx/CVE-2018-17278.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2018-17277","cspcert","cvelistV5/cves/2018/17xxx/CVE-2018-17277.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2018-17276","cspcert","cvelistV5/cves/2018/17xxx/CVE-2018-17276.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2018-17275","cspcert","cvelistV5/cves/2018/17xxx/CVE-2018-17275.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2018-17274","cspcert","cvelistV5/cves/2018/17xxx/CVE-2018-17274.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2018-17273","cspcert","cvelistV5/cves/2018/17xxx/CVE-2018-17273.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2018-17272","cspcert","cvelistV5/cves/2018/17xxx/CVE-2018-17272.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2018-17271","cspcert","cvelistV5/cves/2018/17xxx/CVE-2018-17271.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2018-17270","cspcert","cvelistV5/cves/2018/17xxx/CVE-2018-17270.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2018-17269","cspcert","cvelistV5/cves/2018/17xxx/CVE-2018-17269.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2018-17268","cspcert","cvelistV5/cves/2018/17xxx/CVE-2018-17268.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2018-17267","cspcert","cvelistV5/cves/2018/17xxx/CVE-2018-17267.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2018-17266","cspcert","cvelistV5/cves/2018/17xxx/CVE-2018-17266.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2018-17265","cspcert","cvelistV5/cves/2018/17xxx/CVE-2018-17265.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2018-17264","cspcert","cvelistV5/cves/2018/17xxx/CVE-2018-17264.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2018-17263","cspcert","cvelistV5/cves/2018/17xxx/CVE-2018-17263.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2018-17262","cspcert","cvelistV5/cves/2018/17xxx/CVE-2018-17262.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2018-17261","cspcert","cvelistV5/cves/2018/17xxx/CVE-2018-17261.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2018-17260","cspcert","cvelistV5/cves/2018/17xxx/CVE-2018-17260.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2018-17259","cspcert","cvelistV5/cves/2018/17xxx/CVE-2018-17259.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2018-17258","cspcert","cvelistV5/cves/2018/17xxx/CVE-2018-17258.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2018-17257","cspcert","cvelistV5/cves/2018/17xxx/CVE-2018-17257.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2018-17256","cspcert","cvelistV5/cves/2018/17xxx/CVE-2018-17256.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
