"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2025-31703","dahua","cvelistV5/cves/2025/31xxx/CVE-2025-31703.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-31702","dahua","cvelistV5/cves/2025/31xxx/CVE-2025-31702.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-31701","dahua","cvelistV5/cves/2025/31xxx/CVE-2025-31701.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-31700","dahua","cvelistV5/cves/2025/31xxx/CVE-2025-31700.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-39950","dahua","cvelistV5/cves/2024/39xxx/CVE-2024-39950.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-39949","dahua","cvelistV5/cves/2024/39xxx/CVE-2024-39949.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-39948","dahua","cvelistV5/cves/2024/39xxx/CVE-2024-39948.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-39947","dahua","cvelistV5/cves/2024/39xxx/CVE-2024-39947.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-39946","dahua","cvelistV5/cves/2024/39xxx/CVE-2024-39946.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-39945","dahua","cvelistV5/cves/2024/39xxx/CVE-2024-39945.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-39944","dahua","cvelistV5/cves/2024/39xxx/CVE-2024-39944.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-45434","dahua","cvelistV5/cves/2022/45xxx/CVE-2022-45434.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-45433","dahua","cvelistV5/cves/2022/45xxx/CVE-2022-45433.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-45432","dahua","cvelistV5/cves/2022/45xxx/CVE-2022-45432.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
