"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2024-22464","dell","cvelistV5/cves/2024/22xxx/CVE-2024-22464.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-22454","dell","cvelistV5/cves/2024/22xxx/CVE-2024-22454.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-22449","dell","cvelistV5/cves/2024/22xxx/CVE-2024-22449.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-22445","dell","cvelistV5/cves/2024/22xxx/CVE-2024-22445.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-22433","dell","cvelistV5/cves/2024/22xxx/CVE-2024-22433.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-22432","dell","cvelistV5/cves/2024/22xxx/CVE-2024-22432.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-22430","dell","cvelistV5/cves/2024/22xxx/CVE-2024-22430.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-22428","dell","cvelistV5/cves/2024/22xxx/CVE-2024-22428.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-22230","dell","cvelistV5/cves/2024/22xxx/CVE-2024-22230.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-22229","dell","cvelistV5/cves/2024/22xxx/CVE-2024-22229.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-22228","dell","cvelistV5/cves/2024/22xxx/CVE-2024-22228.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-22227","dell","cvelistV5/cves/2024/22xxx/CVE-2024-22227.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-22226","dell","cvelistV5/cves/2024/22xxx/CVE-2024-22226.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-22225","dell","cvelistV5/cves/2024/22xxx/CVE-2024-22225.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-22224","dell","cvelistV5/cves/2024/22xxx/CVE-2024-22224.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-22223","dell","cvelistV5/cves/2024/22xxx/CVE-2024-22223.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-22222","dell","cvelistV5/cves/2024/22xxx/CVE-2024-22222.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-22221","dell","cvelistV5/cves/2024/22xxx/CVE-2024-22221.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-0170","dell","cvelistV5/cves/2024/0xxx/CVE-2024-0170.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-0168","dell","cvelistV5/cves/2024/0xxx/CVE-2024-0168.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-0167","dell","cvelistV5/cves/2024/0xxx/CVE-2024-0167.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-0166","dell","cvelistV5/cves/2024/0xxx/CVE-2024-0166.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
