"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-46580","eclipse","cvelistV5/cves/2026/46xxx/CVE-2026-46580.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-44691","eclipse","cvelistV5/cves/2026/44xxx/CVE-2026-44691.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-44688","eclipse","cvelistV5/cves/2026/44xxx/CVE-2026-44688.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-24457","eclipse","cvelistV5/cves/2026/24xxx/CVE-2026-24457.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-22886","eclipse","cvelistV5/cves/2026/22xxx/CVE-2026-22886.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-22551","eclipse","cvelistV5/cves/2026/22xxx/CVE-2026-22551.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-11576","eclipse","cvelistV5/cves/2026/11xxx/CVE-2026-11576.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9158","eclipse","cvelistV5/cves/2026/9xxx/CVE-2026-9158.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-7412","eclipse","cvelistV5/cves/2026/7xxx/CVE-2026-7412.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-7412","eclipse","cvelistV5/cves/2026/7xxx/CVE-2026-7412.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-7411","eclipse","cvelistV5/cves/2026/7xxx/CVE-2026-7411.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-7411","eclipse","cvelistV5/cves/2026/7xxx/CVE-2026-7411.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-6918","eclipse","cvelistV5/cves/2026/6xxx/CVE-2026-6918.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-6860","eclipse","cvelistV5/cves/2026/6xxx/CVE-2026-6860.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-6272","eclipse","cvelistV5/cves/2026/6xxx/CVE-2026-6272.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-5795","eclipse","cvelistV5/cves/2026/5xxx/CVE-2026-5795.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-4983","eclipse","cvelistV5/cves/2026/4xxx/CVE-2026-4983.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-2587","eclipse","cvelistV5/cves/2026/2xxx/CVE-2026-2587.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-2586","eclipse","cvelistV5/cves/2026/2xxx/CVE-2026-2586.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-2332","eclipse","cvelistV5/cves/2026/2xxx/CVE-2026-2332.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-1699","eclipse","cvelistV5/cves/2026/1xxx/CVE-2026-1699.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-1605","eclipse","cvelistV5/cves/2026/1xxx/CVE-2026-1605.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-1188","eclipse","cvelistV5/cves/2026/1xxx/CVE-2026-1188.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-1002","eclipse","cvelistV5/cves/2026/1xxx/CVE-2026-1002.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-0648","eclipse","cvelistV5/cves/2026/0xxx/CVE-2026-0648.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-55102","eclipse","cvelistV5/cves/2025/55xxx/CVE-2025-55102.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-55100","eclipse","cvelistV5/cves/2025/55xxx/CVE-2025-55100.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-55099","eclipse","cvelistV5/cves/2025/55xxx/CVE-2025-55099.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-55098","eclipse","cvelistV5/cves/2025/55xxx/CVE-2025-55098.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-55097","eclipse","cvelistV5/cves/2025/55xxx/CVE-2025-55097.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-55096","eclipse","cvelistV5/cves/2025/55xxx/CVE-2025-55096.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-55095","eclipse","cvelistV5/cves/2025/55xxx/CVE-2025-55095.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-55094","eclipse","cvelistV5/cves/2025/55xxx/CVE-2025-55094.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-55093","eclipse","cvelistV5/cves/2025/55xxx/CVE-2025-55093.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-55092","eclipse","cvelistV5/cves/2025/55xxx/CVE-2025-55092.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-55091","eclipse","cvelistV5/cves/2025/55xxx/CVE-2025-55091.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
