"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2024-37286","elastic","cvelistV5/cves/2024/37xxx/CVE-2024-37286.json","check-affected-product-present","E006","containers.cna.affected","No affected product found"
"CVE-2024-37281","elastic","cvelistV5/cves/2024/37xxx/CVE-2024-37281.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-37281","elastic","cvelistV5/cves/2024/37xxx/CVE-2024-37281.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-23444","elastic","cvelistV5/cves/2024/23xxx/CVE-2024-23444.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-23444","elastic","cvelistV5/cves/2024/23xxx/CVE-2024-23444.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-49923","elastic","cvelistV5/cves/2023/49xxx/CVE-2023-49923.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-46675","elastic","cvelistV5/cves/2023/46xxx/CVE-2023-46675.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-46674","elastic","cvelistV5/cves/2023/46xxx/CVE-2023-46674.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-46673","elastic","cvelistV5/cves/2023/46xxx/CVE-2023-46673.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-46671","elastic","cvelistV5/cves/2023/46xxx/CVE-2023-46671.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2021-22150","elastic","cvelistV5/cves/2021/22xxx/CVE-2021-22150.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
