"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2022-40138","facebook","cvelistV5/cves/2022/40xxx/CVE-2022-40138.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-38216","facebook","cvelistV5/cves/2022/38xxx/CVE-2022-38216.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-36943","facebook","cvelistV5/cves/2022/36xxx/CVE-2022-36943.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-36938","facebook","cvelistV5/cves/2022/36xxx/CVE-2022-36938.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-36934","facebook","cvelistV5/cves/2022/36xxx/CVE-2022-36934.json","check-custom-version-type","E011","containers.cna.affected.2.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-36934","facebook","cvelistV5/cves/2022/36xxx/CVE-2022-36934.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-36934","facebook","cvelistV5/cves/2022/36xxx/CVE-2022-36934.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-36934","facebook","cvelistV5/cves/2022/36xxx/CVE-2022-36934.json","check-custom-version-type","E011","containers.cna.affected.3.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-36312","facebook","cvelistV5/cves/2022/36xxx/CVE-2022-36312.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-36311","facebook","cvelistV5/cves/2022/36xxx/CVE-2022-36311.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-36310","facebook","cvelistV5/cves/2022/36xxx/CVE-2022-36310.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-36309","facebook","cvelistV5/cves/2022/36xxx/CVE-2022-36309.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-36308","facebook","cvelistV5/cves/2022/36xxx/CVE-2022-36308.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-36307","facebook","cvelistV5/cves/2022/36xxx/CVE-2022-36307.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-36306","facebook","cvelistV5/cves/2022/36xxx/CVE-2022-36306.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-35289","facebook","cvelistV5/cves/2022/35xxx/CVE-2022-35289.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-32234","facebook","cvelistV5/cves/2022/32xxx/CVE-2022-32234.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-27810","facebook","cvelistV5/cves/2022/27xxx/CVE-2022-27810.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-27810","facebook","cvelistV5/cves/2022/27xxx/CVE-2022-27810.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-27492","facebook","cvelistV5/cves/2022/27xxx/CVE-2022-27492.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-27492","facebook","cvelistV5/cves/2022/27xxx/CVE-2022-27492.json","check-custom-version-type","E011","containers.cna.affected.3.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-27492","facebook","cvelistV5/cves/2022/27xxx/CVE-2022-27492.json","check-custom-version-type","E011","containers.cna.affected.2.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-27492","facebook","cvelistV5/cves/2022/27xxx/CVE-2022-27492.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-24952","facebook","cvelistV5/cves/2022/24xxx/CVE-2022-24952.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-24951","facebook","cvelistV5/cves/2022/24xxx/CVE-2022-24951.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
