"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-26047","fedora","cvelistV5/cves/2026/26xxx/CVE-2026-26047.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-26047","fedora","cvelistV5/cves/2026/26xxx/CVE-2026-26047.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-26047","fedora","cvelistV5/cves/2026/26xxx/CVE-2026-26047.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-26047","fedora","cvelistV5/cves/2026/26xxx/CVE-2026-26047.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.event","Timeline entry must have an 'event' field"
"CVE-2026-26047","fedora","cvelistV5/cves/2026/26xxx/CVE-2026-26047.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2026-26046","fedora","cvelistV5/cves/2026/26xxx/CVE-2026-26046.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2026-26046","fedora","cvelistV5/cves/2026/26xxx/CVE-2026-26046.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-26046","fedora","cvelistV5/cves/2026/26xxx/CVE-2026-26046.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-26046","fedora","cvelistV5/cves/2026/26xxx/CVE-2026-26046.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.event","Timeline entry must have an 'event' field"
"CVE-2026-26046","fedora","cvelistV5/cves/2026/26xxx/CVE-2026-26046.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-26045","fedora","cvelistV5/cves/2026/26xxx/CVE-2026-26045.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2026-26045","fedora","cvelistV5/cves/2026/26xxx/CVE-2026-26045.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-26045","fedora","cvelistV5/cves/2026/26xxx/CVE-2026-26045.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.event","Timeline entry must have an 'event' field"
"CVE-2026-26045","fedora","cvelistV5/cves/2026/26xxx/CVE-2026-26045.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-26045","fedora","cvelistV5/cves/2026/26xxx/CVE-2026-26045.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-3196","fedora","cvelistV5/cves/2026/3xxx/CVE-2026-3196.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-3196","fedora","cvelistV5/cves/2026/3xxx/CVE-2026-3196.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2026-3196","fedora","cvelistV5/cves/2026/3xxx/CVE-2026-3196.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-3196","fedora","cvelistV5/cves/2026/3xxx/CVE-2026-3196.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.event","Timeline entry must have an 'event' field"
"CVE-2026-3196","fedora","cvelistV5/cves/2026/3xxx/CVE-2026-3196.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-3195","fedora","cvelistV5/cves/2026/3xxx/CVE-2026-3195.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-3195","fedora","cvelistV5/cves/2026/3xxx/CVE-2026-3195.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-3195","fedora","cvelistV5/cves/2026/3xxx/CVE-2026-3195.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2026-3195","fedora","cvelistV5/cves/2026/3xxx/CVE-2026-3195.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.event","Timeline entry must have an 'event' field"
