"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-4819","floragunn","cvelistV5/cves/2026/4xxx/CVE-2026-4819.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-4818","floragunn","cvelistV5/cves/2026/4xxx/CVE-2026-4818.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-4799","floragunn","cvelistV5/cves/2026/4xxx/CVE-2026-4799.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-13653","floragunn","cvelistV5/cves/2025/13xxx/CVE-2025-13653.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12149","floragunn","cvelistV5/cves/2025/12xxx/CVE-2025-12149.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12148","floragunn","cvelistV5/cves/2025/12xxx/CVE-2025-12148.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12147","floragunn","cvelistV5/cves/2025/12xxx/CVE-2025-12147.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2019-13423","floragunn","cvelistV5/cves/2019/13xxx/CVE-2019-13423.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2019-13423","floragunn","cvelistV5/cves/2019/13xxx/CVE-2019-13423.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2019-13423","floragunn","cvelistV5/cves/2019/13xxx/CVE-2019-13423.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2019-13422","floragunn","cvelistV5/cves/2019/13xxx/CVE-2019-13422.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2019-13422","floragunn","cvelistV5/cves/2019/13xxx/CVE-2019-13422.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2019-13422","floragunn","cvelistV5/cves/2019/13xxx/CVE-2019-13422.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2019-13421","floragunn","cvelistV5/cves/2019/13xxx/CVE-2019-13421.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2019-13421","floragunn","cvelistV5/cves/2019/13xxx/CVE-2019-13421.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2019-13420","floragunn","cvelistV5/cves/2019/13xxx/CVE-2019-13420.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2019-13420","floragunn","cvelistV5/cves/2019/13xxx/CVE-2019-13420.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2019-13419","floragunn","cvelistV5/cves/2019/13xxx/CVE-2019-13419.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2019-13419","floragunn","cvelistV5/cves/2019/13xxx/CVE-2019-13419.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2019-13418","floragunn","cvelistV5/cves/2019/13xxx/CVE-2019-13418.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2019-13418","floragunn","cvelistV5/cves/2019/13xxx/CVE-2019-13418.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2019-13417","floragunn","cvelistV5/cves/2019/13xxx/CVE-2019-13417.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2019-13417","floragunn","cvelistV5/cves/2019/13xxx/CVE-2019-13417.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2019-13416","floragunn","cvelistV5/cves/2019/13xxx/CVE-2019-13416.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2019-13415","floragunn","cvelistV5/cves/2019/13xxx/CVE-2019-13415.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
