"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-27534","fortinet","cvelistV5/cves/2026/27xxx/CVE-2026-27534.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-27533","fortinet","cvelistV5/cves/2026/27xxx/CVE-2026-27533.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-27532","fortinet","cvelistV5/cves/2026/27xxx/CVE-2026-27532.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-27531","fortinet","cvelistV5/cves/2026/27xxx/CVE-2026-27531.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-27530","fortinet","cvelistV5/cves/2026/27xxx/CVE-2026-27530.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-27529","fortinet","cvelistV5/cves/2026/27xxx/CVE-2026-27529.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-27528","fortinet","cvelistV5/cves/2026/27xxx/CVE-2026-27528.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-27527","fortinet","cvelistV5/cves/2026/27xxx/CVE-2026-27527.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-27325","fortinet","cvelistV5/cves/2026/27xxx/CVE-2026-27325.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-27324","fortinet","cvelistV5/cves/2026/27xxx/CVE-2026-27324.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-27323","fortinet","cvelistV5/cves/2026/27xxx/CVE-2026-27323.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-27322","fortinet","cvelistV5/cves/2026/27xxx/CVE-2026-27322.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-27321","fortinet","cvelistV5/cves/2026/27xxx/CVE-2026-27321.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-27320","fortinet","cvelistV5/cves/2026/27xxx/CVE-2026-27320.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-27319","fortinet","cvelistV5/cves/2026/27xxx/CVE-2026-27319.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-27318","fortinet","cvelistV5/cves/2026/27xxx/CVE-2026-27318.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-27317","fortinet","cvelistV5/cves/2026/27xxx/CVE-2026-27317.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-27038","fortinet","cvelistV5/cves/2026/27xxx/CVE-2026-27038.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-27037","fortinet","cvelistV5/cves/2026/27xxx/CVE-2026-27037.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-27036","fortinet","cvelistV5/cves/2026/27xxx/CVE-2026-27036.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-27035","fortinet","cvelistV5/cves/2026/27xxx/CVE-2026-27035.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-27034","fortinet","cvelistV5/cves/2026/27xxx/CVE-2026-27034.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-27033","fortinet","cvelistV5/cves/2026/27xxx/CVE-2026-27033.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-27032","fortinet","cvelistV5/cves/2026/27xxx/CVE-2026-27032.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-27031","fortinet","cvelistV5/cves/2026/27xxx/CVE-2026-27031.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-26303","fortinet","cvelistV5/cves/2026/26xxx/CVE-2026-26303.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-26302","fortinet","cvelistV5/cves/2026/26xxx/CVE-2026-26302.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-26301","fortinet","cvelistV5/cves/2026/26xxx/CVE-2026-26301.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-26300","fortinet","cvelistV5/cves/2026/26xxx/CVE-2026-26300.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-26299","fortinet","cvelistV5/cves/2026/26xxx/CVE-2026-26299.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-26298","fortinet","cvelistV5/cves/2026/26xxx/CVE-2026-26298.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-26297","fortinet","cvelistV5/cves/2026/26xxx/CVE-2026-26297.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-26296","fortinet","cvelistV5/cves/2026/26xxx/CVE-2026-26296.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-26295","fortinet","cvelistV5/cves/2026/26xxx/CVE-2026-26295.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-26257","fortinet","cvelistV5/cves/2026/26xxx/CVE-2026-26257.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-26256","fortinet","cvelistV5/cves/2026/26xxx/CVE-2026-26256.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-26255","fortinet","cvelistV5/cves/2026/26xxx/CVE-2026-26255.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-26254","fortinet","cvelistV5/cves/2026/26xxx/CVE-2026-26254.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-26253","fortinet","cvelistV5/cves/2026/26xxx/CVE-2026-26253.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-26252","fortinet","cvelistV5/cves/2026/26xxx/CVE-2026-26252.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-26251","fortinet","cvelistV5/cves/2026/26xxx/CVE-2026-26251.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-26250","fortinet","cvelistV5/cves/2026/26xxx/CVE-2026-26250.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-26249","fortinet","cvelistV5/cves/2026/26xxx/CVE-2026-26249.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-26092","fortinet","cvelistV5/cves/2026/26xxx/CVE-2026-26092.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-26091","fortinet","cvelistV5/cves/2026/26xxx/CVE-2026-26091.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-26090","fortinet","cvelistV5/cves/2026/26xxx/CVE-2026-26090.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-26089","fortinet","cvelistV5/cves/2026/26xxx/CVE-2026-26089.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-26088","fortinet","cvelistV5/cves/2026/26xxx/CVE-2026-26088.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-26087","fortinet","cvelistV5/cves/2026/26xxx/CVE-2026-26087.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-26086","fortinet","cvelistV5/cves/2026/26xxx/CVE-2026-26086.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-26085","fortinet","cvelistV5/cves/2026/26xxx/CVE-2026-26085.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-26044","fortinet","cvelistV5/cves/2026/26xxx/CVE-2026-26044.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-26043","fortinet","cvelistV5/cves/2026/26xxx/CVE-2026-26043.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-26042","fortinet","cvelistV5/cves/2026/26xxx/CVE-2026-26042.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-26041","fortinet","cvelistV5/cves/2026/26xxx/CVE-2026-26041.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-26040","fortinet","cvelistV5/cves/2026/26xxx/CVE-2026-26040.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-26039","fortinet","cvelistV5/cves/2026/26xxx/CVE-2026-26039.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-26038","fortinet","cvelistV5/cves/2026/26xxx/CVE-2026-26038.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-26037","fortinet","cvelistV5/cves/2026/26xxx/CVE-2026-26037.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-26036","fortinet","cvelistV5/cves/2026/26xxx/CVE-2026-26036.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-25981","fortinet","cvelistV5/cves/2026/25xxx/CVE-2026-25981.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-25980","fortinet","cvelistV5/cves/2026/25xxx/CVE-2026-25980.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-25979","fortinet","cvelistV5/cves/2026/25xxx/CVE-2026-25979.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-25978","fortinet","cvelistV5/cves/2026/25xxx/CVE-2026-25978.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-25977","fortinet","cvelistV5/cves/2026/25xxx/CVE-2026-25977.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-25976","fortinet","cvelistV5/cves/2026/25xxx/CVE-2026-25976.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-25975","fortinet","cvelistV5/cves/2026/25xxx/CVE-2026-25975.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-25974","fortinet","cvelistV5/cves/2026/25xxx/CVE-2026-25974.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-25973","fortinet","cvelistV5/cves/2026/25xxx/CVE-2026-25973.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-25845","fortinet","cvelistV5/cves/2026/25xxx/CVE-2026-25845.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-25844","fortinet","cvelistV5/cves/2026/25xxx/CVE-2026-25844.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-25843","fortinet","cvelistV5/cves/2026/25xxx/CVE-2026-25843.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-25842","fortinet","cvelistV5/cves/2026/25xxx/CVE-2026-25842.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-25841","fortinet","cvelistV5/cves/2026/25xxx/CVE-2026-25841.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-25840","fortinet","cvelistV5/cves/2026/25xxx/CVE-2026-25840.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-25839","fortinet","cvelistV5/cves/2026/25xxx/CVE-2026-25839.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-25838","fortinet","cvelistV5/cves/2026/25xxx/CVE-2026-25838.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-25837","fortinet","cvelistV5/cves/2026/25xxx/CVE-2026-25837.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-25698","fortinet","cvelistV5/cves/2026/25xxx/CVE-2026-25698.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-25697","fortinet","cvelistV5/cves/2026/25xxx/CVE-2026-25697.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-25696","fortinet","cvelistV5/cves/2026/25xxx/CVE-2026-25696.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-25695","fortinet","cvelistV5/cves/2026/25xxx/CVE-2026-25695.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-25694","fortinet","cvelistV5/cves/2026/25xxx/CVE-2026-25694.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-25693","fortinet","cvelistV5/cves/2026/25xxx/CVE-2026-25693.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-25692","fortinet","cvelistV5/cves/2026/25xxx/CVE-2026-25692.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-25097","fortinet","cvelistV5/cves/2026/25xxx/CVE-2026-25097.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-25096","fortinet","cvelistV5/cves/2026/25xxx/CVE-2026-25096.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-25095","fortinet","cvelistV5/cves/2026/25xxx/CVE-2026-25095.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-25094","fortinet","cvelistV5/cves/2026/25xxx/CVE-2026-25094.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-25093","fortinet","cvelistV5/cves/2026/25xxx/CVE-2026-25093.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-25092","fortinet","cvelistV5/cves/2026/25xxx/CVE-2026-25092.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-25091","fortinet","cvelistV5/cves/2026/25xxx/CVE-2026-25091.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-25090","fortinet","cvelistV5/cves/2026/25xxx/CVE-2026-25090.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-24867","fortinet","cvelistV5/cves/2026/24xxx/CVE-2026-24867.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-24866","fortinet","cvelistV5/cves/2026/24xxx/CVE-2026-24866.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-24865","fortinet","cvelistV5/cves/2026/24xxx/CVE-2026-24865.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-24864","fortinet","cvelistV5/cves/2026/24xxx/CVE-2026-24864.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-24863","fortinet","cvelistV5/cves/2026/24xxx/CVE-2026-24863.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-24862","fortinet","cvelistV5/cves/2026/24xxx/CVE-2026-24862.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-24861","fortinet","cvelistV5/cves/2026/24xxx/CVE-2026-24861.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-24860","fortinet","cvelistV5/cves/2026/24xxx/CVE-2026-24860.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-24859","fortinet","cvelistV5/cves/2026/24xxx/CVE-2026-24859.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-24649","fortinet","cvelistV5/cves/2026/24xxx/CVE-2026-24649.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-24648","fortinet","cvelistV5/cves/2026/24xxx/CVE-2026-24648.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-24647","fortinet","cvelistV5/cves/2026/24xxx/CVE-2026-24647.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-24646","fortinet","cvelistV5/cves/2026/24xxx/CVE-2026-24646.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-24645","fortinet","cvelistV5/cves/2026/24xxx/CVE-2026-24645.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-24644","fortinet","cvelistV5/cves/2026/24xxx/CVE-2026-24644.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
"CVE-2026-24643","fortinet","cvelistV5/cves/2026/24xxx/CVE-2026-24643.json","check-description-length","E003","containers.cna.rejectedReasons.0","Description too short: Not used"
