"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-49417","freebsd","cvelistV5/cves/2026/49xxx/CVE-2026-49417.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-49416","freebsd","cvelistV5/cves/2026/49xxx/CVE-2026-49416.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-49414","freebsd","cvelistV5/cves/2026/49xxx/CVE-2026-49414.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-49413","freebsd","cvelistV5/cves/2026/49xxx/CVE-2026-49413.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-49412","freebsd","cvelistV5/cves/2026/49xxx/CVE-2026-49412.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-45259","freebsd","cvelistV5/cves/2026/45xxx/CVE-2026-45259.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-45258","freebsd","cvelistV5/cves/2026/45xxx/CVE-2026-45258.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-45257","freebsd","cvelistV5/cves/2026/45xxx/CVE-2026-45257.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-45256","freebsd","cvelistV5/cves/2026/45xxx/CVE-2026-45256.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-45255","freebsd","cvelistV5/cves/2026/45xxx/CVE-2026-45255.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-45254","freebsd","cvelistV5/cves/2026/45xxx/CVE-2026-45254.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-45253","freebsd","cvelistV5/cves/2026/45xxx/CVE-2026-45253.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
