"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-6238","glibc","cvelistV5/cves/2026/6xxx/CVE-2026-6238.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-6238","glibc","cvelistV5/cves/2026/6xxx/CVE-2026-6238.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-5928","glibc","cvelistV5/cves/2026/5xxx/CVE-2026-5928.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-5928","glibc","cvelistV5/cves/2026/5xxx/CVE-2026-5928.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-5450","glibc","cvelistV5/cves/2026/5xxx/CVE-2026-5450.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-5450","glibc","cvelistV5/cves/2026/5xxx/CVE-2026-5450.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-5435","glibc","cvelistV5/cves/2026/5xxx/CVE-2026-5435.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-5435","glibc","cvelistV5/cves/2026/5xxx/CVE-2026-5435.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-5358","glibc","cvelistV5/cves/2026/5xxx/CVE-2026-5358.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-4438","glibc","cvelistV5/cves/2026/4xxx/CVE-2026-4438.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-4438","glibc","cvelistV5/cves/2026/4xxx/CVE-2026-4438.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-4437","glibc","cvelistV5/cves/2026/4xxx/CVE-2026-4437.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-4437","glibc","cvelistV5/cves/2026/4xxx/CVE-2026-4437.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-4046","glibc","cvelistV5/cves/2026/4xxx/CVE-2026-4046.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-4046","glibc","cvelistV5/cves/2026/4xxx/CVE-2026-4046.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-3904","glibc","cvelistV5/cves/2026/3xxx/CVE-2026-3904.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-3904","glibc","cvelistV5/cves/2026/3xxx/CVE-2026-3904.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-0915","glibc","cvelistV5/cves/2026/0xxx/CVE-2026-0915.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
