"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-56842","hackerone","cvelistV5/cves/2026/56xxx/CVE-2026-56842.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-56841","hackerone","cvelistV5/cves/2026/56xxx/CVE-2026-56841.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-55119","hackerone","cvelistV5/cves/2026/55xxx/CVE-2026-55119.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-55118","hackerone","cvelistV5/cves/2026/55xxx/CVE-2026-55118.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-55117","hackerone","cvelistV5/cves/2026/55xxx/CVE-2026-55117.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-55116","hackerone","cvelistV5/cves/2026/55xxx/CVE-2026-55116.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-55115","hackerone","cvelistV5/cves/2026/55xxx/CVE-2026-55115.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-55114","hackerone","cvelistV5/cves/2026/55xxx/CVE-2026-55114.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-55113","hackerone","cvelistV5/cves/2026/55xxx/CVE-2026-55113.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-55112","hackerone","cvelistV5/cves/2026/55xxx/CVE-2026-55112.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-55111","hackerone","cvelistV5/cves/2026/55xxx/CVE-2026-55111.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-55110","hackerone","cvelistV5/cves/2026/55xxx/CVE-2026-55110.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-54409","hackerone","cvelistV5/cves/2026/54xxx/CVE-2026-54409.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-54408","hackerone","cvelistV5/cves/2026/54xxx/CVE-2026-54408.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-54407","hackerone","cvelistV5/cves/2026/54xxx/CVE-2026-54407.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-54406","hackerone","cvelistV5/cves/2026/54xxx/CVE-2026-54406.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-54405","hackerone","cvelistV5/cves/2026/54xxx/CVE-2026-54405.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-54404","hackerone","cvelistV5/cves/2026/54xxx/CVE-2026-54404.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-54403","hackerone","cvelistV5/cves/2026/54xxx/CVE-2026-54403.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-54402","hackerone","cvelistV5/cves/2026/54xxx/CVE-2026-54402.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-54401","hackerone","cvelistV5/cves/2026/54xxx/CVE-2026-54401.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-54400","hackerone","cvelistV5/cves/2026/54xxx/CVE-2026-54400.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-50748","hackerone","cvelistV5/cves/2026/50xxx/CVE-2026-50748.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-50747","hackerone","cvelistV5/cves/2026/50xxx/CVE-2026-50747.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-50746","hackerone","cvelistV5/cves/2026/50xxx/CVE-2026-50746.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-50745","hackerone","cvelistV5/cves/2026/50xxx/CVE-2026-50745.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-50744","hackerone","cvelistV5/cves/2026/50xxx/CVE-2026-50744.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-50742","hackerone","cvelistV5/cves/2026/50xxx/CVE-2026-50742.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-50741","hackerone","cvelistV5/cves/2026/50xxx/CVE-2026-50741.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-50740","hackerone","cvelistV5/cves/2026/50xxx/CVE-2026-50740.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-50739","hackerone","cvelistV5/cves/2026/50xxx/CVE-2026-50739.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48937","hackerone","cvelistV5/cves/2026/48xxx/CVE-2026-48937.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48936","hackerone","cvelistV5/cves/2026/48xxx/CVE-2026-48936.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48935","hackerone","cvelistV5/cves/2026/48xxx/CVE-2026-48935.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48934","hackerone","cvelistV5/cves/2026/48xxx/CVE-2026-48934.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48933","hackerone","cvelistV5/cves/2026/48xxx/CVE-2026-48933.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48931","hackerone","cvelistV5/cves/2026/48xxx/CVE-2026-48931.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48930","hackerone","cvelistV5/cves/2026/48xxx/CVE-2026-48930.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48929","hackerone","cvelistV5/cves/2026/48xxx/CVE-2026-48929.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48928","hackerone","cvelistV5/cves/2026/48xxx/CVE-2026-48928.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48619","hackerone","cvelistV5/cves/2026/48xxx/CVE-2026-48619.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48618","hackerone","cvelistV5/cves/2026/48xxx/CVE-2026-48618.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48617","hackerone","cvelistV5/cves/2026/48xxx/CVE-2026-48617.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48616","hackerone","cvelistV5/cves/2026/48xxx/CVE-2026-48616.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48615","hackerone","cvelistV5/cves/2026/48xxx/CVE-2026-48615.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48613","hackerone","cvelistV5/cves/2026/48xxx/CVE-2026-48613.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48612","hackerone","cvelistV5/cves/2026/48xxx/CVE-2026-48612.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48611","hackerone","cvelistV5/cves/2026/48xxx/CVE-2026-48611.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48610","hackerone","cvelistV5/cves/2026/48xxx/CVE-2026-48610.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-47370","hackerone","cvelistV5/cves/2026/47xxx/CVE-2026-47370.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-47369","hackerone","cvelistV5/cves/2026/47xxx/CVE-2026-47369.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-47368","hackerone","cvelistV5/cves/2026/47xxx/CVE-2026-47368.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-47367","hackerone","cvelistV5/cves/2026/47xxx/CVE-2026-47367.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-47366","hackerone","cvelistV5/cves/2026/47xxx/CVE-2026-47366.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-47365","hackerone","cvelistV5/cves/2026/47xxx/CVE-2026-47365.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-44963","hackerone","cvelistV5/cves/2026/44xxx/CVE-2026-44963.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-44962","hackerone","cvelistV5/cves/2026/44xxx/CVE-2026-44962.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-44961","hackerone","cvelistV5/cves/2026/44xxx/CVE-2026-44961.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-44960","hackerone","cvelistV5/cves/2026/44xxx/CVE-2026-44960.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-44959","hackerone","cvelistV5/cves/2026/44xxx/CVE-2026-44959.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-44958","hackerone","cvelistV5/cves/2026/44xxx/CVE-2026-44958.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-44957","hackerone","cvelistV5/cves/2026/44xxx/CVE-2026-44957.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-44956","hackerone","cvelistV5/cves/2026/44xxx/CVE-2026-44956.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-34917","hackerone","cvelistV5/cves/2026/34xxx/CVE-2026-34917.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-34916","hackerone","cvelistV5/cves/2026/34xxx/CVE-2026-34916.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-34915","hackerone","cvelistV5/cves/2026/34xxx/CVE-2026-34915.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-34914","hackerone","cvelistV5/cves/2026/34xxx/CVE-2026-34914.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-34913","hackerone","cvelistV5/cves/2026/34xxx/CVE-2026-34913.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-34912","hackerone","cvelistV5/cves/2026/34xxx/CVE-2026-34912.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-34911","hackerone","cvelistV5/cves/2026/34xxx/CVE-2026-34911.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-34910","hackerone","cvelistV5/cves/2026/34xxx/CVE-2026-34910.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-34909","hackerone","cvelistV5/cves/2026/34xxx/CVE-2026-34909.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-34908","hackerone","cvelistV5/cves/2026/34xxx/CVE-2026-34908.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-33000","hackerone","cvelistV5/cves/2026/33xxx/CVE-2026-33000.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-32999","hackerone","cvelistV5/cves/2026/32xxx/CVE-2026-32999.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-32998","hackerone","cvelistV5/cves/2026/32xxx/CVE-2026-32998.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-32997","hackerone","cvelistV5/cves/2026/32xxx/CVE-2026-32997.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-32996","hackerone","cvelistV5/cves/2026/32xxx/CVE-2026-32996.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-32995","hackerone","cvelistV5/cves/2026/32xxx/CVE-2026-32995.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-32994","hackerone","cvelistV5/cves/2026/32xxx/CVE-2026-32994.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-32993","hackerone","cvelistV5/cves/2026/32xxx/CVE-2026-32993.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-32992","hackerone","cvelistV5/cves/2026/32xxx/CVE-2026-32992.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-32991","hackerone","cvelistV5/cves/2026/32xxx/CVE-2026-32991.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-29206","hackerone","cvelistV5/cves/2026/29xxx/CVE-2026-29206.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
