"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-12143","harborist","cvelistV5/cves/2026/12xxx/CVE-2026-12143.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9277","harborist","cvelistV5/cves/2026/9xxx/CVE-2026-9277.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-8723","harborist","cvelistV5/cves/2026/8xxx/CVE-2026-8723.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-2391","harborist","cvelistV5/cves/2026/2xxx/CVE-2026-2391.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-15284","harborist","cvelistV5/cves/2025/15xxx/CVE-2025-15284.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-9288","harborist","cvelistV5/cves/2025/9xxx/CVE-2025-9288.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-9287","harborist","cvelistV5/cves/2025/9xxx/CVE-2025-9287.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-7783","harborist","cvelistV5/cves/2025/7xxx/CVE-2025-7783.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-6547","harborist","cvelistV5/cves/2025/6xxx/CVE-2025-6547.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-6545","harborist","cvelistV5/cves/2025/6xxx/CVE-2025-6545.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
