CVE,CNA,File,RuleName,ErrorCode,ErrorText
CVE-2025-39247,hikvision,/home/runner/.cache/cvelint/cvelistV5/cves/2025/39xxx/CVE-2025-39247.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Version V3.0.0"
CVE-2025-39247,hikvision,/home/runner/.cache/cvelint/cvelistV5/cves/2025/39xxx/CVE-2025-39247.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Versions between V2.3.1 and V2.6.2"
CVE-2025-39246,hikvision,/home/runner/.cache/cvelint/cvelistV5/cves/2025/39xxx/CVE-2025-39246.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Versions between V1.4.0 and V2.2.0"
CVE-2025-39245,hikvision,/home/runner/.cache/cvelint/cvelistV5/cves/2025/39xxx/CVE-2025-39245.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Versions between V2.2.1 and V2.3.2"
CVE-2025-39240,hikvision,/home/runner/.cache/cvelint/cvelistV5/cves/2025/39xxx/CVE-2025-39240.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "V1.1.5402 build241014（E2254P02）and the versions prior to it"
CVE-2025-39240,hikvision,/home/runner/.cache/cvelint/cvelistV5/cves/2025/39xxx/CVE-2025-39240.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "V1.1.5402 build241014（E2254P02）and the versions prior to it"
CVE-2025-39240,hikvision,/home/runner/.cache/cvelint/cvelistV5/cves/2025/39xxx/CVE-2025-39240.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "V1.1.5400 build240814（E2254）and the versions prior to it"
CVE-2025-39240,hikvision,/home/runner/.cache/cvelint/cvelistV5/cves/2025/39xxx/CVE-2025-39240.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "V1.1.5402 build241014（E2254P02）and the versions prior to it"
CVE-2025-39240,hikvision,/home/runner/.cache/cvelint/cvelistV5/cves/2025/39xxx/CVE-2025-39240.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "V1.1.5400 build240814（E2254）and the versions prior to it"
CVE-2025-39240,hikvision,/home/runner/.cache/cvelint/cvelistV5/cves/2025/39xxx/CVE-2025-39240.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "V1.1.5400 build240814（E2254）and the versions prior to it"
CVE-2024-47487,hikvision,/home/runner/.cache/cvelint/cvelistV5/cves/2024/47xxx/CVE-2024-47487.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Versions between V2.0.0 and V2.6.0"
CVE-2024-47486,hikvision,/home/runner/.cache/cvelint/cvelistV5/cves/2024/47xxx/CVE-2024-47486.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Versions below V2.2.1 (including V2.2.1)"
CVE-2024-47485,hikvision,/home/runner/.cache/cvelint/cvelistV5/cves/2024/47xxx/CVE-2024-47485.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Versions between V2.0.0 and V2.2.1"
CVE-2024-29949,hikvision,/home/runner/.cache/cvelint/cvelistV5/cves/2024/29xxx/CVE-2024-29949.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Versions after V5.00.000 (including V5.00.000) and before V5.02.006（not including V5.02.006）"
CVE-2024-29949,hikvision,/home/runner/.cache/cvelint/cvelistV5/cves/2024/29xxx/CVE-2024-29949.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Versions after V5.00.000 (including V5.00.000) and before V5.02.006（not including V5.02.006）"
CVE-2024-29949,hikvision,/home/runner/.cache/cvelint/cvelistV5/cves/2024/29xxx/CVE-2024-29949.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Versions after V5.00.000 (including V5.00.000) and before V5.02.006（not including V5.02.006）"
CVE-2024-29949,hikvision,/home/runner/.cache/cvelint/cvelistV5/cves/2024/29xxx/CVE-2024-29949.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Versions after V5.00.000 (including V5.00.000) and before V5.02.006（not including V5.02.006）"
CVE-2024-29949,hikvision,/home/runner/.cache/cvelint/cvelistV5/cves/2024/29xxx/CVE-2024-29949.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Versions after V5.00.000 (including V5.00.000) and before V5.02.006（not including V5.02.006）"
CVE-2024-29949,hikvision,/home/runner/.cache/cvelint/cvelistV5/cves/2024/29xxx/CVE-2024-29949.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Versions after V5.00.000 (including V5.00.000) and before V5.02.006（not including V5.02.006）"
CVE-2024-29949,hikvision,/home/runner/.cache/cvelint/cvelistV5/cves/2024/29xxx/CVE-2024-29949.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "V4.30.096build221220 and the versions prior to it"
CVE-2024-29949,hikvision,/home/runner/.cache/cvelint/cvelistV5/cves/2024/29xxx/CVE-2024-29949.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Versions after V5.00.000 (including V5.00.000) and before V5.02.006（not including V5.02.006）"
CVE-2024-29949,hikvision,/home/runner/.cache/cvelint/cvelistV5/cves/2024/29xxx/CVE-2024-29949.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Versions after V5.00.000 (including V5.00.000) and before V5.02.006（not including V5.02.006）"
CVE-2024-29949,hikvision,/home/runner/.cache/cvelint/cvelistV5/cves/2024/29xxx/CVE-2024-29949.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Versions after V5.00.000 (including V5.00.000) and before V5.02.006（not including V5.02.006）"
CVE-2024-29949,hikvision,/home/runner/.cache/cvelint/cvelistV5/cves/2024/29xxx/CVE-2024-29949.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Versions after V5.00.000 (including V5.00.000) and before V5.01.070（not including V5.01.070）"
CVE-2024-29949,hikvision,/home/runner/.cache/cvelint/cvelistV5/cves/2024/29xxx/CVE-2024-29949.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Versions after V5.00.000 (including V5.00.000) and before V5.02.006（not including V5.02.006）"
CVE-2024-29948,hikvision,/home/runner/.cache/cvelint/cvelistV5/cves/2024/29xxx/CVE-2024-29948.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "V4.76.005 build231012 and the versions prior to it"
CVE-2024-29947,hikvision,/home/runner/.cache/cvelint/cvelistV5/cves/2024/29xxx/CVE-2024-29947.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "V4.30.096build221220 and the versions prior to it"
CVE-2024-29947,hikvision,/home/runner/.cache/cvelint/cvelistV5/cves/2024/29xxx/CVE-2024-29947.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2024-25064,hikvision,/home/runner/.cache/cvelint/cvelistV5/cves/2024/25xxx/CVE-2024-25064.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Versions after V2.0.0 and before V2.5.1"
CVE-2024-25063,hikvision,/home/runner/.cache/cvelint/cvelistV5/cves/2024/25xxx/CVE-2024-25063.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Versions below V2.5.1 (including V2.5.1)"
CVE-2023-28815,hikvision,/home/runner/.cache/cvelint/cvelistV5/cves/2023/28xxx/CVE-2023-28815.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "V1.0.0 - V1.7.0"
CVE-2023-28814,hikvision,/home/runner/.cache/cvelint/cvelistV5/cves/2023/28xxx/CVE-2023-28814.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "V1.0.0 - V1.7.0"
CVE-2023-28813,hikvision,/home/runner/.cache/cvelint/cvelistV5/cves/2023/28xxx/CVE-2023-28813.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "version 1.0.0.78 and the versions prior to it"
CVE-2023-28813,hikvision,/home/runner/.cache/cvelint/cvelistV5/cves/2023/28xxx/CVE-2023-28813.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-28812,hikvision,/home/runner/.cache/cvelint/cvelistV5/cves/2023/28xxx/CVE-2023-28812.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "version 1.0.0.78 and the versions prior to it"
CVE-2023-28811,hikvision,/home/runner/.cache/cvelint/cvelistV5/cves/2023/28xxx/CVE-2023-28811.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Build date before 230821(Version  before  V4.1.60  are not affected)"
CVE-2023-28811,hikvision,/home/runner/.cache/cvelint/cvelistV5/cves/2023/28xxx/CVE-2023-28811.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Build date before 230821(Version  before  V4.1.60  are not affected)"
