"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-44874","hpe","cvelistV5/cves/2026/44xxx/CVE-2026-44874.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-44873","hpe","cvelistV5/cves/2026/44xxx/CVE-2026-44873.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-44872","hpe","cvelistV5/cves/2026/44xxx/CVE-2026-44872.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-44871","hpe","cvelistV5/cves/2026/44xxx/CVE-2026-44871.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-44870","hpe","cvelistV5/cves/2026/44xxx/CVE-2026-44870.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-44869","hpe","cvelistV5/cves/2026/44xxx/CVE-2026-44869.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-44868","hpe","cvelistV5/cves/2026/44xxx/CVE-2026-44868.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-44867","hpe","cvelistV5/cves/2026/44xxx/CVE-2026-44867.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-44866","hpe","cvelistV5/cves/2026/44xxx/CVE-2026-44866.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-44865","hpe","cvelistV5/cves/2026/44xxx/CVE-2026-44865.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-44864","hpe","cvelistV5/cves/2026/44xxx/CVE-2026-44864.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-44863","hpe","cvelistV5/cves/2026/44xxx/CVE-2026-44863.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-44862","hpe","cvelistV5/cves/2026/44xxx/CVE-2026-44862.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-44861","hpe","cvelistV5/cves/2026/44xxx/CVE-2026-44861.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-44860","hpe","cvelistV5/cves/2026/44xxx/CVE-2026-44860.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-44859","hpe","cvelistV5/cves/2026/44xxx/CVE-2026-44859.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-44858","hpe","cvelistV5/cves/2026/44xxx/CVE-2026-44858.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-44857","hpe","cvelistV5/cves/2026/44xxx/CVE-2026-44857.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-44856","hpe","cvelistV5/cves/2026/44xxx/CVE-2026-44856.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-44855","hpe","cvelistV5/cves/2026/44xxx/CVE-2026-44855.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-44854","hpe","cvelistV5/cves/2026/44xxx/CVE-2026-44854.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-44853","hpe","cvelistV5/cves/2026/44xxx/CVE-2026-44853.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-44852","hpe","cvelistV5/cves/2026/44xxx/CVE-2026-44852.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
