"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-41971","huawei","cvelistV5/cves/2026/41xxx/CVE-2026-41971.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-41970","huawei","cvelistV5/cves/2026/41xxx/CVE-2026-41970.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-41969","huawei","cvelistV5/cves/2026/41xxx/CVE-2026-41969.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-41968","huawei","cvelistV5/cves/2026/41xxx/CVE-2026-41968.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-41967","huawei","cvelistV5/cves/2026/41xxx/CVE-2026-41967.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-41966","huawei","cvelistV5/cves/2026/41xxx/CVE-2026-41966.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-41965","huawei","cvelistV5/cves/2026/41xxx/CVE-2026-41965.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-41964","huawei","cvelistV5/cves/2026/41xxx/CVE-2026-41964.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-41963","huawei","cvelistV5/cves/2026/41xxx/CVE-2026-41963.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-41962","huawei","cvelistV5/cves/2026/41xxx/CVE-2026-41962.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-41961","huawei","cvelistV5/cves/2026/41xxx/CVE-2026-41961.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-41960","huawei","cvelistV5/cves/2026/41xxx/CVE-2026-41960.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-34867","huawei","cvelistV5/cves/2026/34xxx/CVE-2026-34867.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-34866","huawei","cvelistV5/cves/2026/34xxx/CVE-2026-34866.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-34865","huawei","cvelistV5/cves/2026/34xxx/CVE-2026-34865.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-34864","huawei","cvelistV5/cves/2026/34xxx/CVE-2026-34864.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-34863","huawei","cvelistV5/cves/2026/34xxx/CVE-2026-34863.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-34862","huawei","cvelistV5/cves/2026/34xxx/CVE-2026-34862.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-34861","huawei","cvelistV5/cves/2026/34xxx/CVE-2026-34861.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-34860","huawei","cvelistV5/cves/2026/34xxx/CVE-2026-34860.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-34859","huawei","cvelistV5/cves/2026/34xxx/CVE-2026-34859.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-34858","huawei","cvelistV5/cves/2026/34xxx/CVE-2026-34858.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-34857","huawei","cvelistV5/cves/2026/34xxx/CVE-2026-34857.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-34856","huawei","cvelistV5/cves/2026/34xxx/CVE-2026-34856.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-34855","huawei","cvelistV5/cves/2026/34xxx/CVE-2026-34855.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
