"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-61389","icscert","cvelistV5/cves/2026/61xxx/CVE-2026-61389.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-61378","icscert","cvelistV5/cves/2026/61xxx/CVE-2026-61378.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-60140","icscert","cvelistV5/cves/2026/60xxx/CVE-2026-60140.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-60073","icscert","cvelistV5/cves/2026/60xxx/CVE-2026-60073.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-60063","icscert","cvelistV5/cves/2026/60xxx/CVE-2026-60063.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-57896","icscert","cvelistV5/cves/2026/57xxx/CVE-2026-57896.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-56445","icscert","cvelistV5/cves/2026/56xxx/CVE-2026-56445.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-56415","icscert","cvelistV5/cves/2026/56xxx/CVE-2026-56415.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-56415","icscert","cvelistV5/cves/2026/56xxx/CVE-2026-56415.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-56413","icscert","cvelistV5/cves/2026/56xxx/CVE-2026-56413.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-56413","icscert","cvelistV5/cves/2026/56xxx/CVE-2026-56413.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-55726","icscert","cvelistV5/cves/2026/55xxx/CVE-2026-55726.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-55726","icscert","cvelistV5/cves/2026/55xxx/CVE-2026-55726.json","check-custom-version-type","E011","containers.cna.affected.2.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
