CVE,CNA,File,RuleName,ErrorCode,ErrorText
CVE-2025-46710,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46710.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThanOrEqual,Invalid version string: "24.2 RTM2"
CVE-2025-46710,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46710.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "1.15 RTM"
CVE-2025-46710,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46710.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "24.3 RTM"
CVE-2025-46709,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46709.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "1.17 RTM"
CVE-2025-46709,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46709.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "1.18 RTM"
CVE-2025-46709,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46709.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "23.2 RTM"
CVE-2025-46709,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46709.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "25.1 RTM2"
CVE-2025-46709,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46709.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThanOrEqual,Invalid version string: "25.1 RTM1"
CVE-2025-46709,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46709.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "1.15 RTM"
CVE-2025-46708,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46708.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThanOrEqual,Invalid version string: "24.1 RTM"
CVE-2025-46708,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46708.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "1.15 RTM"
CVE-2025-46708,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46708.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "1.17 RTM"
CVE-2025-46708,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46708.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "1.18 RTM"
CVE-2025-46708,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46708.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "23.2 RTM"
CVE-2025-46708,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46708.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "24.2 RTM1"
CVE-2025-46707,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46707.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThanOrEqual,Invalid version string: "23.3 RTM"
CVE-2025-46707,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46707.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "24.1 RTM"
CVE-2025-46707,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46707.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "23.2 RTM1"
CVE-2025-46707,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46707.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "1.18 RTM"
CVE-2025-46707,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46707.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "1.17 RTM"
CVE-2025-46707,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46707.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "1.15 RTM"
CVE-2025-25180,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/25xxx/CVE-2025-25180.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "1.17 RTM"
CVE-2025-25180,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/25xxx/CVE-2025-25180.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "25.1 RTM1"
CVE-2025-25180,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/25xxx/CVE-2025-25180.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "1.18 RTM"
CVE-2025-25180,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/25xxx/CVE-2025-25180.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "1.15 RTM"
CVE-2025-25180,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/25xxx/CVE-2025-25180.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThanOrEqual,Invalid version string: "24.3 RTM1"
CVE-2025-25180,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/25xxx/CVE-2025-25180.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "23.2 RTM"
CVE-2025-25179,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/25xxx/CVE-2025-25179.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "1.15 RTM"
CVE-2025-25179,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/25xxx/CVE-2025-25179.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "1.18 RTM"
CVE-2025-25179,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/25xxx/CVE-2025-25179.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "23.2 RTM"
CVE-2025-25179,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/25xxx/CVE-2025-25179.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "1.17 RTM"
CVE-2025-25179,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/25xxx/CVE-2025-25179.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "25.1 RTM"
CVE-2025-25179,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/25xxx/CVE-2025-25179.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThanOrEqual,Invalid version string: "24.3 RTM"
CVE-2025-25178,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/25xxx/CVE-2025-25178.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "25.1 RTM"
CVE-2025-25178,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/25xxx/CVE-2025-25178.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThanOrEqual,Invalid version string: "24.3 RTM"
CVE-2025-25178,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/25xxx/CVE-2025-25178.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "1.15 RTM"
CVE-2025-8109,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/8xxx/CVE-2025-8109.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "1.13 RTM"
CVE-2025-8109,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/8xxx/CVE-2025-8109.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThanOrEqual,Invalid version string: "24.2 RTM2"
CVE-2025-8109,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/8xxx/CVE-2025-8109.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "24.3 RTM"
CVE-2025-6573,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/6xxx/CVE-2025-6573.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "25.1 RTM1"
CVE-2025-6573,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/6xxx/CVE-2025-6573.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "1.18 RTM"
CVE-2025-6573,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/6xxx/CVE-2025-6573.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "23.2 RTM"
CVE-2025-6573,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/6xxx/CVE-2025-6573.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "1.17 RTM"
CVE-2025-6573,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/6xxx/CVE-2025-6573.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "1.15 RTM"
CVE-2025-6573,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/6xxx/CVE-2025-6573.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThanOrEqual,Invalid version string: "24.3 RTM"
CVE-2025-1706,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/1xxx/CVE-2025-1706.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThanOrEqual,Invalid version string: "23.3 RTM"
CVE-2025-1706,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/1xxx/CVE-2025-1706.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThanOrEqual,Invalid version string: "24.3 RTM"
CVE-2025-1706,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/1xxx/CVE-2025-1706.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "25.1 RTM"
CVE-2025-1706,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/1xxx/CVE-2025-1706.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "24.1 RTM"
CVE-2025-1706,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/1xxx/CVE-2025-1706.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "1.15 RTM"
CVE-2025-0835,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/0xxx/CVE-2025-0835.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "23.2 RTM"
CVE-2025-0835,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/0xxx/CVE-2025-0835.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "24.3 RTM"
CVE-2025-0835,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/0xxx/CVE-2025-0835.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThanOrEqual,Invalid version string: "23.1 RTM"
CVE-2025-0835,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/0xxx/CVE-2025-0835.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "1.15 RTM"
CVE-2025-0835,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/0xxx/CVE-2025-0835.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThanOrEqual,Invalid version string: "24.2 RTM2"
CVE-2025-0478,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/0xxx/CVE-2025-0478.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "1.15 RTM"
CVE-2025-0478,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/0xxx/CVE-2025-0478.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "25.1 RTM"
CVE-2025-0478,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/0xxx/CVE-2025-0478.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThanOrEqual,Invalid version string: "24.3 RTM2"
CVE-2025-0468,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/0xxx/CVE-2025-0468.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThanOrEqual,Invalid version string: "24.3 RTM"
CVE-2025-0468,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/0xxx/CVE-2025-0468.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "25.1 RTM"
CVE-2025-0468,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/0xxx/CVE-2025-0468.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "1.15 RTM"
CVE-2025-0467,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/0xxx/CVE-2025-0467.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "25.1 RTM"
CVE-2025-0467,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/0xxx/CVE-2025-0467.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "1.15 RTM"
CVE-2025-0467,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2025/0xxx/CVE-2025-0467.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThanOrEqual,Invalid version string: "24.3 RTM"
CVE-2024-52939,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2024/52xxx/CVE-2024-52939.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "25.1 RTM"
CVE-2024-52939,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2024/52xxx/CVE-2024-52939.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThanOrEqual,Invalid version string: "24.3 RTM"
CVE-2024-52939,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2024/52xxx/CVE-2024-52939.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "1.15 RTM"
CVE-2024-52938,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2024/52xxx/CVE-2024-52938.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "1.15 RTM"
CVE-2024-52938,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2024/52xxx/CVE-2024-52938.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThanOrEqual,Invalid version string: "24.2 RTM2"
CVE-2024-52938,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2024/52xxx/CVE-2024-52938.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "24.3 RTM"
CVE-2024-52937,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2024/52xxx/CVE-2024-52937.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "23.2 RTM2"
CVE-2024-52937,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2024/52xxx/CVE-2024-52937.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThanOrEqual,Invalid version string: "24.2 RTM2"
CVE-2024-52937,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2024/52xxx/CVE-2024-52937.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "24.3 RTM"
CVE-2024-52936,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2024/52xxx/CVE-2024-52936.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "24.3 RTM"
CVE-2024-52936,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2024/52xxx/CVE-2024-52936.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThanOrEqual,Invalid version string: "24.2 RTM2"
CVE-2024-52936,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2024/52xxx/CVE-2024-52936.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "1.15 RTM"
CVE-2024-52935,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2024/52xxx/CVE-2024-52935.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "1.15 RTM"
CVE-2024-52935,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2024/52xxx/CVE-2024-52935.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "24.3 RTM"
CVE-2024-52935,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2024/52xxx/CVE-2024-52935.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThanOrEqual,Invalid version string: "24.2 RTM2"
CVE-2024-47900,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2024/47xxx/CVE-2024-47900.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThanOrEqual,Invalid version string: "24.3 RTM2"
CVE-2024-47900,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2024/47xxx/CVE-2024-47900.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "25.1 RTM"
CVE-2024-47900,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2024/47xxx/CVE-2024-47900.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "1.15 RTM"
CVE-2024-47899,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2024/47xxx/CVE-2024-47899.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "25.1 RTM"
CVE-2024-47899,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2024/47xxx/CVE-2024-47899.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThanOrEqual,Invalid version string: "24.3 RTM2"
CVE-2024-47899,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2024/47xxx/CVE-2024-47899.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "1.17 RTM"
CVE-2024-47898,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2024/47xxx/CVE-2024-47898.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "25.1 RTM"
CVE-2024-47898,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2024/47xxx/CVE-2024-47898.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThanOrEqual,Invalid version string: "24.3 RTM2"
CVE-2024-47898,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2024/47xxx/CVE-2024-47898.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "1.17 RTM"
CVE-2024-47897,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2024/47xxx/CVE-2024-47897.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThanOrEqual,Invalid version string: "24.2 RTM2"
CVE-2024-47897,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2024/47xxx/CVE-2024-47897.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "24.3 RTM"
CVE-2024-47897,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2024/47xxx/CVE-2024-47897.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "23.2 RTM2"
CVE-2024-47896,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2024/47xxx/CVE-2024-47896.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThanOrEqual,Invalid version string: "24.3 RTM"
CVE-2024-47896,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2024/47xxx/CVE-2024-47896.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "25.1 RTM"
CVE-2024-47896,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2024/47xxx/CVE-2024-47896.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "1.15 RTM"
CVE-2024-47895,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2024/47xxx/CVE-2024-47895.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "24.3 RTM"
CVE-2024-47895,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2024/47xxx/CVE-2024-47895.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThanOrEqual,Invalid version string: "24.2 RTM2"
CVE-2024-47895,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2024/47xxx/CVE-2024-47895.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "1.15 RTM"
CVE-2024-47894,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2024/47xxx/CVE-2024-47894.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "1.15 RTM"
CVE-2024-47894,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2024/47xxx/CVE-2024-47894.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThanOrEqual,Invalid version string: "24.2 RTM2"
CVE-2024-47894,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2024/47xxx/CVE-2024-47894.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "24.3 RTM"
CVE-2024-47893,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2024/47xxx/CVE-2024-47893.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThanOrEqual,Invalid version string: "24.3 RTM"
CVE-2024-47893,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2024/47xxx/CVE-2024-47893.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "25.1 RTM"
CVE-2024-47893,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2024/47xxx/CVE-2024-47893.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "1.15 RTM"
CVE-2024-47892,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2024/47xxx/CVE-2024-47892.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThanOrEqual,Invalid version string: "24.2 RTM1"
CVE-2024-47892,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2024/47xxx/CVE-2024-47892.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "24.2 RTM2"
CVE-2024-47892,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2024/47xxx/CVE-2024-47892.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "1.13 RTM"
CVE-2024-47891,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2024/47xxx/CVE-2024-47891.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThanOrEqual,Invalid version string: "24.3 RTM2"
CVE-2024-47891,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2024/47xxx/CVE-2024-47891.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "25.1 RTM"
CVE-2024-47891,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2024/47xxx/CVE-2024-47891.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "1.15 RTM"
CVE-2024-46975,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2024/46xxx/CVE-2024-46975.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThanOrEqual,Invalid version string: "24.3 RTM"
CVE-2024-46975,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2024/46xxx/CVE-2024-46975.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "25.1 RTM"
CVE-2024-46975,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2024/46xxx/CVE-2024-46975.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "1.15 RTM"
CVE-2024-46974,imaginationtech,/home/runner/.cache/cvelint/cvelistV5/cves/2024/46xxx/CVE-2024-46974.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThanOrEqual,Invalid version string: "24.3 RTM"
