"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2023-35121","intel","cvelistV5/cves/2023/35xxx/CVE-2023-35121.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-32663","intel","cvelistV5/cves/2023/32xxx/CVE-2023-32663.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-29162","intel","cvelistV5/cves/2023/29xxx/CVE-2023-29162.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2022-29470","intel","cvelistV5/cves/2022/29xxx/CVE-2022-29470.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2022-28709","intel","cvelistV5/cves/2022/28xxx/CVE-2022-28709.json","check-duplicate-reference-url","E002","containers.cna.references.1.url","Duplicate reference URL: https://www.intel.com/content/www/us/en/security-center/advisory/intel-sa-00593.html"
"CVE-2021-0086","intel","cvelistV5/cves/2021/0xxx/CVE-2021-0086.json","check-duplicate-reference-url","E002","containers.cna.references.4.url","Duplicate reference URL: https://www.intel.com/content/www/us/en/security-center/advisory/intel-sa-00546.html"
"CVE-2020-8674","intel","cvelistV5/cves/2020/8xxx/CVE-2020-8674.json","check-duplicate-reference-url","E002","containers.cna.references.2.url","Duplicate reference URL: https://www.intel.com/content/www/us/en/security-center/advisory/intel-sa-00295.html"
"CVE-2020-0597","intel","cvelistV5/cves/2020/0xxx/CVE-2020-0597.json","check-duplicate-reference-url","E002","containers.cna.references.2.url","Duplicate reference URL: https://www.intel.com/content/www/us/en/security-center/advisory/intel-sa-00295.html"
"CVE-2020-0596","intel","cvelistV5/cves/2020/0xxx/CVE-2020-0596.json","check-duplicate-reference-url","E002","containers.cna.references.2.url","Duplicate reference URL: https://www.intel.com/content/www/us/en/security-center/advisory/intel-sa-00295.html"
"CVE-2020-0595","intel","cvelistV5/cves/2020/0xxx/CVE-2020-0595.json","check-duplicate-reference-url","E002","containers.cna.references.2.url","Duplicate reference URL: https://www.intel.com/content/www/us/en/security-center/advisory/intel-sa-00295.html"
"CVE-2020-0594","intel","cvelistV5/cves/2020/0xxx/CVE-2020-0594.json","check-duplicate-reference-url","E002","containers.cna.references.2.url","Duplicate reference URL: https://www.intel.com/content/www/us/en/security-center/advisory/intel-sa-00295.html"
"CVE-2020-0586","intel","cvelistV5/cves/2020/0xxx/CVE-2020-0586.json","check-duplicate-reference-url","E002","containers.cna.references.2.url","Duplicate reference URL: https://www.intel.com/content/www/us/en/security-center/advisory/intel-sa-00295.html"
"CVE-2020-0566","intel","cvelistV5/cves/2020/0xxx/CVE-2020-0566.json","check-duplicate-reference-url","E002","containers.cna.references.2.url","Duplicate reference URL: https://www.intel.com/content/www/us/en/security-center/advisory/intel-sa-00295.html"
"CVE-2020-0545","intel","cvelistV5/cves/2020/0xxx/CVE-2020-0545.json","check-duplicate-reference-url","E002","containers.cna.references.2.url","Duplicate reference URL: https://www.intel.com/content/www/us/en/security-center/advisory/intel-sa-00295.html"
"CVE-2020-0542","intel","cvelistV5/cves/2020/0xxx/CVE-2020-0542.json","check-duplicate-reference-url","E002","containers.cna.references.2.url","Duplicate reference URL: https://www.intel.com/content/www/us/en/security-center/advisory/intel-sa-00295.html"
"CVE-2020-0541","intel","cvelistV5/cves/2020/0xxx/CVE-2020-0541.json","check-duplicate-reference-url","E002","containers.cna.references.2.url","Duplicate reference URL: https://www.intel.com/content/www/us/en/security-center/advisory/intel-sa-00295.html"
"CVE-2020-0540","intel","cvelistV5/cves/2020/0xxx/CVE-2020-0540.json","check-duplicate-reference-url","E002","containers.cna.references.2.url","Duplicate reference URL: https://www.intel.com/content/www/us/en/security-center/advisory/intel-sa-00295.html"
"CVE-2020-0539","intel","cvelistV5/cves/2020/0xxx/CVE-2020-0539.json","check-duplicate-reference-url","E002","containers.cna.references.2.url","Duplicate reference URL: https://www.intel.com/content/www/us/en/security-center/advisory/intel-sa-00295.html"
"CVE-2020-0538","intel","cvelistV5/cves/2020/0xxx/CVE-2020-0538.json","check-duplicate-reference-url","E002","containers.cna.references.2.url","Duplicate reference URL: https://www.intel.com/content/www/us/en/security-center/advisory/intel-sa-00295.html"
"CVE-2020-0537","intel","cvelistV5/cves/2020/0xxx/CVE-2020-0537.json","check-duplicate-reference-url","E002","containers.cna.references.2.url","Duplicate reference URL: https://www.intel.com/content/www/us/en/security-center/advisory/intel-sa-00295.html"
