"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-53442","jenkins","cvelistV5/cves/2026/53xxx/CVE-2026-53442.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-53441","jenkins","cvelistV5/cves/2026/53xxx/CVE-2026-53441.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-53440","jenkins","cvelistV5/cves/2026/53xxx/CVE-2026-53440.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-53439","jenkins","cvelistV5/cves/2026/53xxx/CVE-2026-53439.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-53438","jenkins","cvelistV5/cves/2026/53xxx/CVE-2026-53438.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-53437","jenkins","cvelistV5/cves/2026/53xxx/CVE-2026-53437.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-53436","jenkins","cvelistV5/cves/2026/53xxx/CVE-2026-53436.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-53435","jenkins","cvelistV5/cves/2026/53xxx/CVE-2026-53435.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48927","jenkins","cvelistV5/cves/2026/48xxx/CVE-2026-48927.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48926","jenkins","cvelistV5/cves/2026/48xxx/CVE-2026-48926.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48925","jenkins","cvelistV5/cves/2026/48xxx/CVE-2026-48925.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48924","jenkins","cvelistV5/cves/2026/48xxx/CVE-2026-48924.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48923","jenkins","cvelistV5/cves/2026/48xxx/CVE-2026-48923.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48922","jenkins","cvelistV5/cves/2026/48xxx/CVE-2026-48922.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48921","jenkins","cvelistV5/cves/2026/48xxx/CVE-2026-48921.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48920","jenkins","cvelistV5/cves/2026/48xxx/CVE-2026-48920.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48919","jenkins","cvelistV5/cves/2026/48xxx/CVE-2026-48919.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48918","jenkins","cvelistV5/cves/2026/48xxx/CVE-2026-48918.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48917","jenkins","cvelistV5/cves/2026/48xxx/CVE-2026-48917.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48916","jenkins","cvelistV5/cves/2026/48xxx/CVE-2026-48916.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-42525","jenkins","cvelistV5/cves/2026/42xxx/CVE-2026-42525.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-42524","jenkins","cvelistV5/cves/2026/42xxx/CVE-2026-42524.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-42523","jenkins","cvelistV5/cves/2026/42xxx/CVE-2026-42523.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-42522","jenkins","cvelistV5/cves/2026/42xxx/CVE-2026-42522.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-42521","jenkins","cvelistV5/cves/2026/42xxx/CVE-2026-42521.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-42520","jenkins","cvelistV5/cves/2026/42xxx/CVE-2026-42520.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-42519","jenkins","cvelistV5/cves/2026/42xxx/CVE-2026-42519.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-33004","jenkins","cvelistV5/cves/2026/33xxx/CVE-2026-33004.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-33003","jenkins","cvelistV5/cves/2026/33xxx/CVE-2026-33003.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-33002","jenkins","cvelistV5/cves/2026/33xxx/CVE-2026-33002.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-33001","jenkins","cvelistV5/cves/2026/33xxx/CVE-2026-33001.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-27100","jenkins","cvelistV5/cves/2026/27xxx/CVE-2026-27100.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-27099","jenkins","cvelistV5/cves/2026/27xxx/CVE-2026-27099.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9674","jenkins","cvelistV5/cves/2026/9xxx/CVE-2026-9674.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-67643","jenkins","cvelistV5/cves/2025/67xxx/CVE-2025-67643.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-67642","jenkins","cvelistV5/cves/2025/67xxx/CVE-2025-67642.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
