"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2024-28890","jpcert","cvelistV5/cves/2024/28xxx/CVE-2024-28890.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-28131","jpcert","cvelistV5/cves/2024/28xxx/CVE-2024-28131.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-21584","jpcert","cvelistV5/cves/2024/21xxx/CVE-2024-21584.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-51436","jpcert","cvelistV5/cves/2023/51xxx/CVE-2023-51436.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-50332","jpcert","cvelistV5/cves/2023/50xxx/CVE-2023-50332.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-47584","jpcert","cvelistV5/cves/2023/47xxx/CVE-2023-47584.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-47580","jpcert","cvelistV5/cves/2023/47xxx/CVE-2023-47580.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-39379","jpcert","cvelistV5/cves/2023/39xxx/CVE-2023-39379.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-37561","jpcert","cvelistV5/cves/2023/37xxx/CVE-2023-37561.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-27385","jpcert","cvelistV5/cves/2023/27xxx/CVE-2023-27385.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
