"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-57054","juniper","cvelistV5/cves/2026/57xxx/CVE-2026-57054.json","check-custom-version-type","E011","containers.cna.affected.0.versions.4.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-57054","juniper","cvelistV5/cves/2026/57xxx/CVE-2026-57054.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-57054","juniper","cvelistV5/cves/2026/57xxx/CVE-2026-57054.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-57054","juniper","cvelistV5/cves/2026/57xxx/CVE-2026-57054.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-57054","juniper","cvelistV5/cves/2026/57xxx/CVE-2026-57054.json","check-custom-version-type","E011","containers.cna.affected.0.versions.5.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-57054","juniper","cvelistV5/cves/2026/57xxx/CVE-2026-57054.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-57032","juniper","cvelistV5/cves/2026/57xxx/CVE-2026-57032.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-57032","juniper","cvelistV5/cves/2026/57xxx/CVE-2026-57032.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-57032","juniper","cvelistV5/cves/2026/57xxx/CVE-2026-57032.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-57032","juniper","cvelistV5/cves/2026/57xxx/CVE-2026-57032.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-57031","juniper","cvelistV5/cves/2026/57xxx/CVE-2026-57031.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-57031","juniper","cvelistV5/cves/2026/57xxx/CVE-2026-57031.json","check-custom-version-type","E011","containers.cna.affected.0.versions.4.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-57031","juniper","cvelistV5/cves/2026/57xxx/CVE-2026-57031.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-57031","juniper","cvelistV5/cves/2026/57xxx/CVE-2026-57031.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-57031","juniper","cvelistV5/cves/2026/57xxx/CVE-2026-57031.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-57030","juniper","cvelistV5/cves/2026/57xxx/CVE-2026-57030.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-57030","juniper","cvelistV5/cves/2026/57xxx/CVE-2026-57030.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-57030","juniper","cvelistV5/cves/2026/57xxx/CVE-2026-57030.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-57030","juniper","cvelistV5/cves/2026/57xxx/CVE-2026-57030.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-57029","juniper","cvelistV5/cves/2026/57xxx/CVE-2026-57029.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-57029","juniper","cvelistV5/cves/2026/57xxx/CVE-2026-57029.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-57029","juniper","cvelistV5/cves/2026/57xxx/CVE-2026-57029.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-57029","juniper","cvelistV5/cves/2026/57xxx/CVE-2026-57029.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-57028","juniper","cvelistV5/cves/2026/57xxx/CVE-2026-57028.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-57027","juniper","cvelistV5/cves/2026/57xxx/CVE-2026-57027.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-57027","juniper","cvelistV5/cves/2026/57xxx/CVE-2026-57027.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-57027","juniper","cvelistV5/cves/2026/57xxx/CVE-2026-57027.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-57027","juniper","cvelistV5/cves/2026/57xxx/CVE-2026-57027.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-57026","juniper","cvelistV5/cves/2026/57xxx/CVE-2026-57026.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-57026","juniper","cvelistV5/cves/2026/57xxx/CVE-2026-57026.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-57026","juniper","cvelistV5/cves/2026/57xxx/CVE-2026-57026.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-57026","juniper","cvelistV5/cves/2026/57xxx/CVE-2026-57026.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-57026","juniper","cvelistV5/cves/2026/57xxx/CVE-2026-57026.json","check-custom-version-type","E011","containers.cna.affected.0.versions.5.versionType","Custom versionType should be avoided per CVE schema documentation"
