"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-24514","kubernetes","cvelistV5/cves/2026/24xxx/CVE-2026-24514.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-24513","kubernetes","cvelistV5/cves/2026/24xxx/CVE-2026-24513.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-24512","kubernetes","cvelistV5/cves/2026/24xxx/CVE-2026-24512.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-4342","kubernetes","cvelistV5/cves/2026/4xxx/CVE-2026-4342.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-3864","kubernetes","cvelistV5/cves/2026/3xxx/CVE-2026-3864.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-3288","kubernetes","cvelistV5/cves/2026/3xxx/CVE-2026-3288.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-1580","kubernetes","cvelistV5/cves/2026/1xxx/CVE-2026-1580.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-24514","kubernetes","cvelistV5/cves/2025/24xxx/CVE-2025-24514.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-24513","kubernetes","cvelistV5/cves/2025/24xxx/CVE-2025-24513.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-15566","kubernetes","cvelistV5/cves/2025/15xxx/CVE-2025-15566.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-13281","kubernetes","cvelistV5/cves/2025/13xxx/CVE-2025-13281.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-13281","kubernetes","cvelistV5/cves/2025/13xxx/CVE-2025-13281.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-13281","kubernetes","cvelistV5/cves/2025/13xxx/CVE-2025-13281.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-13281","kubernetes","cvelistV5/cves/2025/13xxx/CVE-2025-13281.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-13281","kubernetes","cvelistV5/cves/2025/13xxx/CVE-2025-13281.json","check-custom-version-type","E011","containers.cna.affected.0.versions.4.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-13281","kubernetes","cvelistV5/cves/2025/13xxx/CVE-2025-13281.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-9708","kubernetes","cvelistV5/cves/2025/9xxx/CVE-2025-9708.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-7445","kubernetes","cvelistV5/cves/2025/7xxx/CVE-2025-7445.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-7342","kubernetes","cvelistV5/cves/2025/7xxx/CVE-2025-7342.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-5187","kubernetes","cvelistV5/cves/2025/5xxx/CVE-2025-5187.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-5187","kubernetes","cvelistV5/cves/2025/5xxx/CVE-2025-5187.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-5187","kubernetes","cvelistV5/cves/2025/5xxx/CVE-2025-5187.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-5187","kubernetes","cvelistV5/cves/2025/5xxx/CVE-2025-5187.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-4563","kubernetes","cvelistV5/cves/2025/4xxx/CVE-2025-4563.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
