"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2017-3179","marklogic","cvelistV5/cves/2017/3xxx/CVE-2017-3179.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2017-3178","marklogic","cvelistV5/cves/2017/3xxx/CVE-2017-3178.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2017-3177","marklogic","cvelistV5/cves/2017/3xxx/CVE-2017-3177.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2017-3176","marklogic","cvelistV5/cves/2017/3xxx/CVE-2017-3176.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2017-3175","marklogic","cvelistV5/cves/2017/3xxx/CVE-2017-3175.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2017-3174","marklogic","cvelistV5/cves/2017/3xxx/CVE-2017-3174.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2017-3173","marklogic","cvelistV5/cves/2017/3xxx/CVE-2017-3173.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2017-3172","marklogic","cvelistV5/cves/2017/3xxx/CVE-2017-3172.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2017-3171","marklogic","cvelistV5/cves/2017/3xxx/CVE-2017-3171.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2017-3170","marklogic","cvelistV5/cves/2017/3xxx/CVE-2017-3170.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2016-9145","marklogic","cvelistV5/cves/2016/9xxx/CVE-2016-9145.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2016-9144","marklogic","cvelistV5/cves/2016/9xxx/CVE-2016-9144.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2016-9143","marklogic","cvelistV5/cves/2016/9xxx/CVE-2016-9143.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2016-9142","marklogic","cvelistV5/cves/2016/9xxx/CVE-2016-9142.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2016-9141","marklogic","cvelistV5/cves/2016/9xxx/CVE-2016-9141.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
