"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2021-40444","microsoft","cvelistV5/cves/2021/40xxx/CVE-2021-40444.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2021-34527","microsoft","cvelistV5/cves/2021/34xxx/CVE-2021-34527.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2014-6324","microsoft","cvelistV5/cves/2014/6xxx/CVE-2014-6324.json","check-duplicate-reference-url","E002","containers.cna.references.5.url","Duplicate reference URL: http://marc.info/?l=bugtraq&m=142350249315918&w=2"
"CVE-2014-6321","microsoft","cvelistV5/cves/2014/6xxx/CVE-2014-6321.json","check-duplicate-reference-url","E002","containers.cna.references.5.url","Duplicate reference URL: http://marc.info/?l=bugtraq&m=142384364031268&w=2"
"CVE-2009-2495","microsoft","cvelistV5/cves/2009/2xxx/CVE-2009-2495.json","check-duplicate-reference-url","E002","containers.cna.references.10.url","Duplicate reference URL: http://marc.info/?l=bugtraq&m=126592505426855&w=2"
"CVE-2009-2493","microsoft","cvelistV5/cves/2009/2xxx/CVE-2009-2493.json","check-duplicate-reference-url","E002","containers.cna.references.15.url","Duplicate reference URL: http://marc.info/?l=bugtraq&m=126592505426855&w=2"
"CVE-2008-4844","microsoft","cvelistV5/cves/2008/4xxx/CVE-2008-4844.json","check-duplicate-reference-url","E002","containers.cna.references.12.url","Duplicate reference URL: http://marc.info/?l=bugtraq&m=123015308222620&w=2"
"CVE-2008-4250","microsoft","cvelistV5/cves/2008/4xxx/CVE-2008-4250.json","check-duplicate-reference-url","E002","containers.cna.references.7.url","Duplicate reference URL: http://marc.info/?l=bugtraq&m=122703006921213&w=2"
"CVE-2008-4038","microsoft","cvelistV5/cves/2008/4xxx/CVE-2008-4038.json","check-duplicate-reference-url","E002","containers.cna.references.4.url","Duplicate reference URL: http://marc.info/?l=bugtraq&m=122479227205998&w=2"
"CVE-2008-4037","microsoft","cvelistV5/cves/2008/4xxx/CVE-2008-4037.json","check-duplicate-reference-url","E002","containers.cna.references.7.url","Duplicate reference URL: http://marc.info/?l=bugtraq&m=122703006921213&w=2"
"CVE-2008-4036","microsoft","cvelistV5/cves/2008/4xxx/CVE-2008-4036.json","check-duplicate-reference-url","E002","containers.cna.references.4.url","Duplicate reference URL: http://marc.info/?l=bugtraq&m=122479227205998&w=2"
"CVE-2008-4033","microsoft","cvelistV5/cves/2008/4xxx/CVE-2008-4033.json","check-duplicate-reference-url","E002","containers.cna.references.3.url","Duplicate reference URL: http://marc.info/?l=bugtraq&m=122703006921213&w=2"
"CVE-2008-4029","microsoft","cvelistV5/cves/2008/4xxx/CVE-2008-4029.json","check-duplicate-reference-url","E002","containers.cna.references.4.url","Duplicate reference URL: http://marc.info/?l=bugtraq&m=122703006921213&w=2"
"CVE-2008-4023","microsoft","cvelistV5/cves/2008/4xxx/CVE-2008-4023.json","check-duplicate-reference-url","E002","containers.cna.references.4.url","Duplicate reference URL: http://marc.info/?l=bugtraq&m=122479227205998&w=2"
"CVE-2008-4020","microsoft","cvelistV5/cves/2008/4xxx/CVE-2008-4020.json","check-duplicate-reference-url","E002","containers.cna.references.6.url","Duplicate reference URL: http://marc.info/?l=bugtraq&m=122479227205998&w=2"
"CVE-2008-4019","microsoft","cvelistV5/cves/2008/4xxx/CVE-2008-4019.json","check-duplicate-reference-url","E002","containers.cna.references.5.url","Duplicate reference URL: http://marc.info/?l=bugtraq&m=122479227205998&w=2"
"CVE-2008-3479","microsoft","cvelistV5/cves/2008/3xxx/CVE-2008-3479.json","check-duplicate-reference-url","E002","containers.cna.references.3.url","Duplicate reference URL: http://marc.info/?l=bugtraq&m=122479227205998&w=2"
"CVE-2008-3477","microsoft","cvelistV5/cves/2008/3xxx/CVE-2008-3477.json","check-duplicate-reference-url","E002","containers.cna.references.5.url","Duplicate reference URL: http://marc.info/?l=bugtraq&m=122479227205998&w=2"
"CVE-2008-3476","microsoft","cvelistV5/cves/2008/3xxx/CVE-2008-3476.json","check-duplicate-reference-url","E002","containers.cna.references.6.url","Duplicate reference URL: http://marc.info/?l=bugtraq&m=122479227205998&w=2"
"CVE-2008-3475","microsoft","cvelistV5/cves/2008/3xxx/CVE-2008-3475.json","check-duplicate-reference-url","E002","containers.cna.references.8.url","Duplicate reference URL: http://marc.info/?l=bugtraq&m=122479227205998&w=2"
"CVE-2008-3474","microsoft","cvelistV5/cves/2008/3xxx/CVE-2008-3474.json","check-duplicate-reference-url","E002","containers.cna.references.6.url","Duplicate reference URL: http://marc.info/?l=bugtraq&m=122479227205998&w=2"
"CVE-2008-3473","microsoft","cvelistV5/cves/2008/3xxx/CVE-2008-3473.json","check-duplicate-reference-url","E002","containers.cna.references.6.url","Duplicate reference URL: http://marc.info/?l=bugtraq&m=122479227205998&w=2"
