"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-9746","mongodb","cvelistV5/cves/2026/9xxx/CVE-2026-9746.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-9746","mongodb","cvelistV5/cves/2026/9xxx/CVE-2026-9746.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-9746","mongodb","cvelistV5/cves/2026/9xxx/CVE-2026-9746.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-9746","mongodb","cvelistV5/cves/2026/9xxx/CVE-2026-9746.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-9742","mongodb","cvelistV5/cves/2026/9xxx/CVE-2026-9742.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-9742","mongodb","cvelistV5/cves/2026/9xxx/CVE-2026-9742.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-9741","mongodb","cvelistV5/cves/2026/9xxx/CVE-2026-9741.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-9741","mongodb","cvelistV5/cves/2026/9xxx/CVE-2026-9741.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-9741","mongodb","cvelistV5/cves/2026/9xxx/CVE-2026-9741.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-9741","mongodb","cvelistV5/cves/2026/9xxx/CVE-2026-9741.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-9740","mongodb","cvelistV5/cves/2026/9xxx/CVE-2026-9740.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-9740","mongodb","cvelistV5/cves/2026/9xxx/CVE-2026-9740.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-9740","mongodb","cvelistV5/cves/2026/9xxx/CVE-2026-9740.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-9740","mongodb","cvelistV5/cves/2026/9xxx/CVE-2026-9740.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-9735","mongodb","cvelistV5/cves/2026/9xxx/CVE-2026-9735.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-9100","mongodb","cvelistV5/cves/2026/9xxx/CVE-2026-9100.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-9100","mongodb","cvelistV5/cves/2026/9xxx/CVE-2026-9100.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8843","mongodb","cvelistV5/cves/2026/8xxx/CVE-2026-8843.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8843","mongodb","cvelistV5/cves/2026/8xxx/CVE-2026-8843.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8843","mongodb","cvelistV5/cves/2026/8xxx/CVE-2026-8843.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8431","mongodb","cvelistV5/cves/2026/8xxx/CVE-2026-8431.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8336","mongodb","cvelistV5/cves/2026/8xxx/CVE-2026-8336.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8336","mongodb","cvelistV5/cves/2026/8xxx/CVE-2026-8336.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8202","mongodb","cvelistV5/cves/2026/8xxx/CVE-2026-8202.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8202","mongodb","cvelistV5/cves/2026/8xxx/CVE-2026-8202.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8202","mongodb","cvelistV5/cves/2026/8xxx/CVE-2026-8202.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8202","mongodb","cvelistV5/cves/2026/8xxx/CVE-2026-8202.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8201","mongodb","cvelistV5/cves/2026/8xxx/CVE-2026-8201.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8201","mongodb","cvelistV5/cves/2026/8xxx/CVE-2026-8201.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8201","mongodb","cvelistV5/cves/2026/8xxx/CVE-2026-8201.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8201","mongodb","cvelistV5/cves/2026/8xxx/CVE-2026-8201.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8200","mongodb","cvelistV5/cves/2026/8xxx/CVE-2026-8200.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8200","mongodb","cvelistV5/cves/2026/8xxx/CVE-2026-8200.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8200","mongodb","cvelistV5/cves/2026/8xxx/CVE-2026-8200.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8200","mongodb","cvelistV5/cves/2026/8xxx/CVE-2026-8200.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8199","mongodb","cvelistV5/cves/2026/8xxx/CVE-2026-8199.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8199","mongodb","cvelistV5/cves/2026/8xxx/CVE-2026-8199.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8199","mongodb","cvelistV5/cves/2026/8xxx/CVE-2026-8199.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8199","mongodb","cvelistV5/cves/2026/8xxx/CVE-2026-8199.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8063","mongodb","cvelistV5/cves/2026/8xxx/CVE-2026-8063.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8053","mongodb","cvelistV5/cves/2026/8xxx/CVE-2026-8053.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8053","mongodb","cvelistV5/cves/2026/8xxx/CVE-2026-8053.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8053","mongodb","cvelistV5/cves/2026/8xxx/CVE-2026-8053.json","check-custom-version-type","E011","containers.cna.affected.0.versions.5.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8053","mongodb","cvelistV5/cves/2026/8xxx/CVE-2026-8053.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8053","mongodb","cvelistV5/cves/2026/8xxx/CVE-2026-8053.json","check-custom-version-type","E011","containers.cna.affected.0.versions.4.versionType","Custom versionType should be avoided per CVE schema documentation"
