"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-22055","netapp","cvelistV5/cves/2026/22xxx/CVE-2026-22055.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-22055","netapp","cvelistV5/cves/2026/22xxx/CVE-2026-22055.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-22054","netapp","cvelistV5/cves/2026/22xxx/CVE-2026-22054.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-22054","netapp","cvelistV5/cves/2026/22xxx/CVE-2026-22054.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-22052","netapp","cvelistV5/cves/2026/22xxx/CVE-2026-22052.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-22051","netapp","cvelistV5/cves/2026/22xxx/CVE-2026-22051.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-22051","netapp","cvelistV5/cves/2026/22xxx/CVE-2026-22051.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-22051","netapp","cvelistV5/cves/2026/22xxx/CVE-2026-22051.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-22050","netapp","cvelistV5/cves/2026/22xxx/CVE-2026-22050.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-22050","netapp","cvelistV5/cves/2026/22xxx/CVE-2026-22050.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-22050","netapp","cvelistV5/cves/2026/22xxx/CVE-2026-22050.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-22048","netapp","cvelistV5/cves/2026/22xxx/CVE-2026-22048.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-22048","netapp","cvelistV5/cves/2026/22xxx/CVE-2026-22048.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-22048","netapp","cvelistV5/cves/2026/22xxx/CVE-2026-22048.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-26517","netapp","cvelistV5/cves/2025/26xxx/CVE-2025-26517.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-26517","netapp","cvelistV5/cves/2025/26xxx/CVE-2025-26517.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-26517","netapp","cvelistV5/cves/2025/26xxx/CVE-2025-26517.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-26516","netapp","cvelistV5/cves/2025/26xxx/CVE-2025-26516.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-26516","netapp","cvelistV5/cves/2025/26xxx/CVE-2025-26516.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
