CVE,CNA,File,RuleName,ErrorCode,ErrorText
CVE-2019-5739,nodejs,/home/runner/.cache/cvelint/cvelistV5/cves/2019/5xxx/CVE-2019-5739.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "All versions prior to 6.17.0"
CVE-2019-5737,nodejs,/home/runner/.cache/cvelint/cvelistV5/cves/2019/5xxx/CVE-2019-5737.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "All versions prior to 11.10.1"
CVE-2019-5737,nodejs,/home/runner/.cache/cvelint/cvelistV5/cves/2019/5xxx/CVE-2019-5737.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "All versions prior to 10.15.2"
CVE-2019-5737,nodejs,/home/runner/.cache/cvelint/cvelistV5/cves/2019/5xxx/CVE-2019-5737.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "All versions prior to 8.15.1"
CVE-2019-5737,nodejs,/home/runner/.cache/cvelint/cvelistV5/cves/2019/5xxx/CVE-2019-5737.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "All versions prior to 6.17.0"
CVE-2018-12123,nodejs,/home/runner/.cache/cvelint/cvelistV5/cves/2018/12xxx/CVE-2018-12123.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "All versions prior to Node.js 6.15.0, 8.14.0, 10.14.0 and 11.3.0"
CVE-2018-12122,nodejs,/home/runner/.cache/cvelint/cvelistV5/cves/2018/12xxx/CVE-2018-12122.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "All versions prior to Node.js 6.15.0, 8.14.0, 10.14.0 and 11.3.0"
CVE-2018-12121,nodejs,/home/runner/.cache/cvelint/cvelistV5/cves/2018/12xxx/CVE-2018-12121.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "All versions prior to Node.js 6.15.0, 8.14.0, 10.14.0 and 11.3.0"
CVE-2018-12120,nodejs,/home/runner/.cache/cvelint/cvelistV5/cves/2018/12xxx/CVE-2018-12120.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "All versions prior to Node.js 6.15.0"
CVE-2018-12116,nodejs,/home/runner/.cache/cvelint/cvelistV5/cves/2018/12xxx/CVE-2018-12116.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "All versions prior to Node.js 6.15.0 and 8.14.0"
CVE-2018-12115,nodejs,/home/runner/.cache/cvelint/cvelistV5/cves/2018/12xxx/CVE-2018-12115.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "All versions of Node.js prior to 6.14.4, 8.11.4 and 10.9.0"
CVE-2018-7167,nodejs,/home/runner/.cache/cvelint/cvelistV5/cves/2018/7xxx/CVE-2018-7167.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "9.x+"
CVE-2018-7167,nodejs,/home/runner/.cache/cvelint/cvelistV5/cves/2018/7xxx/CVE-2018-7167.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "6.x+"
CVE-2018-7167,nodejs,/home/runner/.cache/cvelint/cvelistV5/cves/2018/7xxx/CVE-2018-7167.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "8.x+"
CVE-2018-7167,nodejs,/home/runner/.cache/cvelint/cvelistV5/cves/2018/7xxx/CVE-2018-7167.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "10.x+"
CVE-2018-7166,nodejs,/home/runner/.cache/cvelint/cvelistV5/cves/2018/7xxx/CVE-2018-7166.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "All versions of Node.js 10 prior to 10.9.0"
CVE-2018-7164,nodejs,/home/runner/.cache/cvelint/cvelistV5/cves/2018/7xxx/CVE-2018-7164.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "10.x+"
CVE-2018-7164,nodejs,/home/runner/.cache/cvelint/cvelistV5/cves/2018/7xxx/CVE-2018-7164.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "9.7.X+"
CVE-2018-7162,nodejs,/home/runner/.cache/cvelint/cvelistV5/cves/2018/7xxx/CVE-2018-7162.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "9.x+"
CVE-2018-7162,nodejs,/home/runner/.cache/cvelint/cvelistV5/cves/2018/7xxx/CVE-2018-7162.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "10.x+"
CVE-2018-7161,nodejs,/home/runner/.cache/cvelint/cvelistV5/cves/2018/7xxx/CVE-2018-7161.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "9.x+"
CVE-2018-7161,nodejs,/home/runner/.cache/cvelint/cvelistV5/cves/2018/7xxx/CVE-2018-7161.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "10.x+"
CVE-2018-7161,nodejs,/home/runner/.cache/cvelint/cvelistV5/cves/2018/7xxx/CVE-2018-7161.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "8.x+"
CVE-2018-7160,nodejs,/home/runner/.cache/cvelint/cvelistV5/cves/2018/7xxx/CVE-2018-7160.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "^6.0.0 || ^8.0.0 || ^9.0.0"
CVE-2017-15897,nodejs,/home/runner/.cache/cvelint/cvelistV5/cves/2017/15xxx/CVE-2017-15897.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "9.0 and higher"
CVE-2017-15897,nodejs,/home/runner/.cache/cvelint/cvelistV5/cves/2017/15xxx/CVE-2017-15897.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "8.0 and higher"
CVE-2017-15896,nodejs,/home/runner/.cache/cvelint/cvelistV5/cves/2017/15xxx/CVE-2017-15896.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "9.0.0 and higher"
CVE-2017-15896,nodejs,/home/runner/.cache/cvelint/cvelistV5/cves/2017/15xxx/CVE-2017-15896.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "8.0.0 and higher"
CVE-2017-15896,nodejs,/home/runner/.cache/cvelint/cvelistV5/cves/2017/15xxx/CVE-2017-15896.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "6.0.0 and higher"
CVE-2017-15896,nodejs,/home/runner/.cache/cvelint/cvelistV5/cves/2017/15xxx/CVE-2017-15896.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "4.0.0 and higher"
