"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-33808","openjs","cvelistV5/cves/2026/33xxx/CVE-2026-33808.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-33807","openjs","cvelistV5/cves/2026/33xxx/CVE-2026-33807.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-33806","openjs","cvelistV5/cves/2026/33xxx/CVE-2026-33806.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-33805","openjs","cvelistV5/cves/2026/33xxx/CVE-2026-33805.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-33804","openjs","cvelistV5/cves/2026/33xxx/CVE-2026-33804.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-12151","openjs","cvelistV5/cves/2026/12xxx/CVE-2026-12151.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-11525","openjs","cvelistV5/cves/2026/11xxx/CVE-2026-11525.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-10796","openjs","cvelistV5/cves/2026/10xxx/CVE-2026-10796.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9697","openjs","cvelistV5/cves/2026/9xxx/CVE-2026-9697.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9679","openjs","cvelistV5/cves/2026/9xxx/CVE-2026-9679.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9678","openjs","cvelistV5/cves/2026/9xxx/CVE-2026-9678.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9675","openjs","cvelistV5/cves/2026/9xxx/CVE-2026-9675.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9595","openjs","cvelistV5/cves/2026/9xxx/CVE-2026-9595.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-8162","openjs","cvelistV5/cves/2026/8xxx/CVE-2026-8162.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-8161","openjs","cvelistV5/cves/2026/8xxx/CVE-2026-8161.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-8159","openjs","cvelistV5/cves/2026/8xxx/CVE-2026-8159.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
