"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-45447","openssl","cvelistV5/cves/2026/45xxx/CVE-2026-45447.json","check-custom-version-type","E011","containers.cna.affected.0.versions.6.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-45447","openssl","cvelistV5/cves/2026/45xxx/CVE-2026-45447.json","check-custom-version-type","E011","containers.cna.affected.0.versions.5.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-42766","openssl","cvelistV5/cves/2026/42xxx/CVE-2026-42766.json","check-custom-version-type","E011","containers.cna.affected.0.versions.6.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-42766","openssl","cvelistV5/cves/2026/42xxx/CVE-2026-42766.json","check-custom-version-type","E011","containers.cna.affected.0.versions.5.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-34180","openssl","cvelistV5/cves/2026/34xxx/CVE-2026-34180.json","check-custom-version-type","E011","containers.cna.affected.0.versions.5.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-34180","openssl","cvelistV5/cves/2026/34xxx/CVE-2026-34180.json","check-custom-version-type","E011","containers.cna.affected.0.versions.6.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-28390","openssl","cvelistV5/cves/2026/28xxx/CVE-2026-28390.json","check-custom-version-type","E011","containers.cna.affected.0.versions.6.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-28390","openssl","cvelistV5/cves/2026/28xxx/CVE-2026-28390.json","check-custom-version-type","E011","containers.cna.affected.0.versions.5.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-28389","openssl","cvelistV5/cves/2026/28xxx/CVE-2026-28389.json","check-custom-version-type","E011","containers.cna.affected.0.versions.6.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-28389","openssl","cvelistV5/cves/2026/28xxx/CVE-2026-28389.json","check-custom-version-type","E011","containers.cna.affected.0.versions.5.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-28388","openssl","cvelistV5/cves/2026/28xxx/CVE-2026-28388.json","check-custom-version-type","E011","containers.cna.affected.0.versions.6.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-28388","openssl","cvelistV5/cves/2026/28xxx/CVE-2026-28388.json","check-custom-version-type","E011","containers.cna.affected.0.versions.5.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-28387","openssl","cvelistV5/cves/2026/28xxx/CVE-2026-28387.json","check-custom-version-type","E011","containers.cna.affected.0.versions.5.versionType","Custom versionType should be avoided per CVE schema documentation"
