"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-62574","oracle","cvelistV5/cves/2026/62xxx/CVE-2026-62574.json","check-cna-rules-v4-descriptions","E016","containers.cna.descriptions","CNA Rules v4.0 MUST: At least one English (en) description must be present for PUBLISHED records"
"CVE-2026-62567","oracle","cvelistV5/cves/2026/62xxx/CVE-2026-62567.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-62567","oracle","cvelistV5/cves/2026/62xxx/CVE-2026-62567.json","check-cna-rules-v4-descriptions","E016","containers.cna.descriptions","CNA Rules v4.0 MUST: At least one English (en) description must be present for PUBLISHED records"
"CVE-2026-62565","oracle","cvelistV5/cves/2026/62xxx/CVE-2026-62565.json","check-cna-rules-v4-descriptions","E016","containers.cna.descriptions","CNA Rules v4.0 MUST: At least one English (en) description must be present for PUBLISHED records"
"CVE-2026-62565","oracle","cvelistV5/cves/2026/62xxx/CVE-2026-62565.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-62563","oracle","cvelistV5/cves/2026/62xxx/CVE-2026-62563.json","check-cna-rules-v4-descriptions","E016","containers.cna.descriptions","CNA Rules v4.0 MUST: At least one English (en) description must be present for PUBLISHED records"
"CVE-2026-62563","oracle","cvelistV5/cves/2026/62xxx/CVE-2026-62563.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-62562","oracle","cvelistV5/cves/2026/62xxx/CVE-2026-62562.json","check-cna-rules-v4-descriptions","E016","containers.cna.descriptions","CNA Rules v4.0 MUST: At least one English (en) description must be present for PUBLISHED records"
"CVE-2026-62562","oracle","cvelistV5/cves/2026/62xxx/CVE-2026-62562.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-62561","oracle","cvelistV5/cves/2026/62xxx/CVE-2026-62561.json","check-cna-rules-v4-descriptions","E016","containers.cna.descriptions","CNA Rules v4.0 MUST: At least one English (en) description must be present for PUBLISHED records"
"CVE-2026-62561","oracle","cvelistV5/cves/2026/62xxx/CVE-2026-62561.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-62560","oracle","cvelistV5/cves/2026/62xxx/CVE-2026-62560.json","check-cna-rules-v4-descriptions","E016","containers.cna.descriptions","CNA Rules v4.0 MUST: At least one English (en) description must be present for PUBLISHED records"
"CVE-2026-62560","oracle","cvelistV5/cves/2026/62xxx/CVE-2026-62560.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-62559","oracle","cvelistV5/cves/2026/62xxx/CVE-2026-62559.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-62559","oracle","cvelistV5/cves/2026/62xxx/CVE-2026-62559.json","check-cna-rules-v4-descriptions","E016","containers.cna.descriptions","CNA Rules v4.0 MUST: At least one English (en) description must be present for PUBLISHED records"
