"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2021-22695","pivotal","cvelistV5/cves/2021/22xxx/CVE-2021-22695.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-22694","pivotal","cvelistV5/cves/2021/22xxx/CVE-2021-22694.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-22693","pivotal","cvelistV5/cves/2021/22xxx/CVE-2021-22693.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-22692","pivotal","cvelistV5/cves/2021/22xxx/CVE-2021-22692.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-22691","pivotal","cvelistV5/cves/2021/22xxx/CVE-2021-22691.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-22690","pivotal","cvelistV5/cves/2021/22xxx/CVE-2021-22690.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-22689","pivotal","cvelistV5/cves/2021/22xxx/CVE-2021-22689.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-22688","pivotal","cvelistV5/cves/2021/22xxx/CVE-2021-22688.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-22687","pivotal","cvelistV5/cves/2021/22xxx/CVE-2021-22687.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-22686","pivotal","cvelistV5/cves/2021/22xxx/CVE-2021-22686.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2020-5495","pivotal","cvelistV5/cves/2020/5xxx/CVE-2020-5495.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2020-5494","pivotal","cvelistV5/cves/2020/5xxx/CVE-2020-5494.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2020-5493","pivotal","cvelistV5/cves/2020/5xxx/CVE-2020-5493.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2020-5492","pivotal","cvelistV5/cves/2020/5xxx/CVE-2020-5492.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2020-5491","pivotal","cvelistV5/cves/2020/5xxx/CVE-2020-5491.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2020-5490","pivotal","cvelistV5/cves/2020/5xxx/CVE-2020-5490.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2020-5489","pivotal","cvelistV5/cves/2020/5xxx/CVE-2020-5489.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
