"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2023-5255","puppet","cvelistV5/cves/2023/5xxx/CVE-2023-5255.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-5255","puppet","cvelistV5/cves/2023/5xxx/CVE-2023-5255.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-5214","puppet","cvelistV5/cves/2023/5xxx/CVE-2023-5214.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-5214","puppet","cvelistV5/cves/2023/5xxx/CVE-2023-5214.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-1894","puppet","cvelistV5/cves/2023/1xxx/CVE-2023-1894.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-3276","puppet","cvelistV5/cves/2022/3xxx/CVE-2022-3276.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-3276","puppet","cvelistV5/cves/2022/3xxx/CVE-2022-3276.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-3275","puppet","cvelistV5/cves/2022/3xxx/CVE-2022-3275.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-3275","puppet","cvelistV5/cves/2022/3xxx/CVE-2022-3275.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-2394","puppet","cvelistV5/cves/2022/2xxx/CVE-2022-2394.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-0675","puppet","cvelistV5/cves/2022/0xxx/CVE-2022-0675.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-0675","puppet","cvelistV5/cves/2022/0xxx/CVE-2022-0675.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-27026","puppet","cvelistV5/cves/2021/27xxx/CVE-2021-27026.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-27025","puppet","cvelistV5/cves/2021/27xxx/CVE-2021-27025.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-27024","puppet","cvelistV5/cves/2021/27xxx/CVE-2021-27024.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-27023","puppet","cvelistV5/cves/2021/27xxx/CVE-2021-27023.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-27022","puppet","cvelistV5/cves/2021/27xxx/CVE-2021-27022.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-27021","puppet","cvelistV5/cves/2021/27xxx/CVE-2021-27021.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-27020","puppet","cvelistV5/cves/2021/27xxx/CVE-2021-27020.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-27019","puppet","cvelistV5/cves/2021/27xxx/CVE-2021-27019.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-27018","puppet","cvelistV5/cves/2021/27xxx/CVE-2021-27018.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2020-7945","puppet","cvelistV5/cves/2020/7xxx/CVE-2020-7945.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2020-7944","puppet","cvelistV5/cves/2020/7xxx/CVE-2020-7944.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2020-7943","puppet","cvelistV5/cves/2020/7xxx/CVE-2020-7943.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2020-7942","puppet","cvelistV5/cves/2020/7xxx/CVE-2020-7942.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2019-10695","puppet","cvelistV5/cves/2019/10xxx/CVE-2019-10695.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2019-10694","puppet","cvelistV5/cves/2019/10xxx/CVE-2019-10694.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2018-11752","puppet","cvelistV5/cves/2018/11xxx/CVE-2018-11752.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2018-11751","puppet","cvelistV5/cves/2018/11xxx/CVE-2018-11751.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2018-11750","puppet","cvelistV5/cves/2018/11xxx/CVE-2018-11750.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2018-11749","puppet","cvelistV5/cves/2018/11xxx/CVE-2018-11749.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2018-11748","puppet","cvelistV5/cves/2018/11xxx/CVE-2018-11748.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2018-11747","puppet","cvelistV5/cves/2018/11xxx/CVE-2018-11747.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
