"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-11764","rami.io","cvelistV5/cves/2026/11xxx/CVE-2026-11764.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9712","rami.io","cvelistV5/cves/2026/9xxx/CVE-2026-9712.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-5600","rami.io","cvelistV5/cves/2026/5xxx/CVE-2026-5600.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-5599","rami.io","cvelistV5/cves/2026/5xxx/CVE-2026-5599.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-5599","rami.io","cvelistV5/cves/2026/5xxx/CVE-2026-5599.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-4982","rami.io","cvelistV5/cves/2026/4xxx/CVE-2026-4982.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-4982","rami.io","cvelistV5/cves/2026/4xxx/CVE-2026-4982.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-2452","rami.io","cvelistV5/cves/2026/2xxx/CVE-2026-2452.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-2451","rami.io","cvelistV5/cves/2026/2xxx/CVE-2026-2451.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-2415","rami.io","cvelistV5/cves/2026/2xxx/CVE-2026-2415.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-14882","rami.io","cvelistV5/cves/2025/14xxx/CVE-2025-14882.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-14881","rami.io","cvelistV5/cves/2025/14xxx/CVE-2025-14881.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-13742","rami.io","cvelistV5/cves/2025/13xxx/CVE-2025-13742.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-9575","rami.io","cvelistV5/cves/2024/9xxx/CVE-2024-9575.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-8113","rami.io","cvelistV5/cves/2024/8xxx/CVE-2024-8113.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-8113","rami.io","cvelistV5/cves/2024/8xxx/CVE-2024-8113.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
