"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-9155","rapid7","cvelistV5/cves/2026/9xxx/CVE-2026-9155.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-9155","rapid7","cvelistV5/cves/2026/9xxx/CVE-2026-9155.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-9154","rapid7","cvelistV5/cves/2026/9xxx/CVE-2026-9154.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-9154","rapid7","cvelistV5/cves/2026/9xxx/CVE-2026-9154.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-9153","rapid7","cvelistV5/cves/2026/9xxx/CVE-2026-9153.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-9153","rapid7","cvelistV5/cves/2026/9xxx/CVE-2026-9153.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8666","rapid7","cvelistV5/cves/2026/8xxx/CVE-2026-8666.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8666","rapid7","cvelistV5/cves/2026/8xxx/CVE-2026-8666.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8665","rapid7","cvelistV5/cves/2026/8xxx/CVE-2026-8665.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8665","rapid7","cvelistV5/cves/2026/8xxx/CVE-2026-8665.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8664","rapid7","cvelistV5/cves/2026/8xxx/CVE-2026-8664.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
