"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-33362","runZero","cvelistV5/cves/2026/33xxx/CVE-2026-33362.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-33361","runZero","cvelistV5/cves/2026/33xxx/CVE-2026-33361.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-33357","runZero","cvelistV5/cves/2026/33xxx/CVE-2026-33357.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-33356","runZero","cvelistV5/cves/2026/33xxx/CVE-2026-33356.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-10303","runZero","cvelistV5/cves/2026/10xxx/CVE-2026-10303.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-6688","runZero","cvelistV5/cves/2026/6xxx/CVE-2026-6688.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-6687","runZero","cvelistV5/cves/2026/6xxx/CVE-2026-6687.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-6686","runZero","cvelistV5/cves/2026/6xxx/CVE-2026-6686.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-6685","runZero","cvelistV5/cves/2026/6xxx/CVE-2026-6685.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-6684","runZero","cvelistV5/cves/2026/6xxx/CVE-2026-6684.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-6683","runZero","cvelistV5/cves/2026/6xxx/CVE-2026-6683.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-6682","runZero","cvelistV5/cves/2026/6xxx/CVE-2026-6682.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
