"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2025-41258","sba-research","cvelistV5/cves/2025/41xxx/CVE-2025-41258.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-41257","sba-research","cvelistV5/cves/2025/41xxx/CVE-2025-41257.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-41256","sba-research","cvelistV5/cves/2025/41xxx/CVE-2025-41256.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-41255","sba-research","cvelistV5/cves/2025/41xxx/CVE-2025-41255.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-13919","sba-research","cvelistV5/cves/2024/13xxx/CVE-2024-13919.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-13919","sba-research","cvelistV5/cves/2024/13xxx/CVE-2024-13919.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-13918","sba-research","cvelistV5/cves/2024/13xxx/CVE-2024-13918.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-13918","sba-research","cvelistV5/cves/2024/13xxx/CVE-2024-13918.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-5676","sba-research","cvelistV5/cves/2024/5xxx/CVE-2024-5676.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-5676","sba-research","cvelistV5/cves/2024/5xxx/CVE-2024-5676.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-5658","sba-research","cvelistV5/cves/2024/5xxx/CVE-2024-5658.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-5658","sba-research","cvelistV5/cves/2024/5xxx/CVE-2024-5658.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-5657","sba-research","cvelistV5/cves/2024/5xxx/CVE-2024-5657.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-5657","sba-research","cvelistV5/cves/2024/5xxx/CVE-2024-5657.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
