"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2025-50125","schneider","cvelistV5/cves/2025/50xxx/CVE-2025-50125.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-50124","schneider","cvelistV5/cves/2025/50xxx/CVE-2025-50124.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-50123","schneider","cvelistV5/cves/2025/50xxx/CVE-2025-50123.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-50122","schneider","cvelistV5/cves/2025/50xxx/CVE-2025-50122.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-50121","schneider","cvelistV5/cves/2025/50xxx/CVE-2025-50121.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-11567","schneider","cvelistV5/cves/2025/11xxx/CVE-2025-11567.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-11566","schneider","cvelistV5/cves/2025/11xxx/CVE-2025-11566.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-11565","schneider","cvelistV5/cves/2025/11xxx/CVE-2025-11565.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-6788","schneider","cvelistV5/cves/2025/6xxx/CVE-2025-6788.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-6788","schneider","cvelistV5/cves/2025/6xxx/CVE-2025-6788.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-6788","schneider","cvelistV5/cves/2025/6xxx/CVE-2025-6788.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-6788","schneider","cvelistV5/cves/2025/6xxx/CVE-2025-6788.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-6788","schneider","cvelistV5/cves/2025/6xxx/CVE-2025-6788.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-6788","schneider","cvelistV5/cves/2025/6xxx/CVE-2025-6788.json","check-custom-version-type","E011","containers.cna.affected.1.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-6438","schneider","cvelistV5/cves/2025/6xxx/CVE-2025-6438.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-2229","schneider","cvelistV5/cves/2024/2xxx/CVE-2024-2229.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
