"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2011-2974","sgi","cvelistV5/cves/2011/2xxx/CVE-2011-2974.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2011-2973","sgi","cvelistV5/cves/2011/2xxx/CVE-2011-2973.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2011-2972","sgi","cvelistV5/cves/2011/2xxx/CVE-2011-2972.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2011-2971","sgi","cvelistV5/cves/2011/2xxx/CVE-2011-2971.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2011-2970","sgi","cvelistV5/cves/2011/2xxx/CVE-2011-2970.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2011-2969","sgi","cvelistV5/cves/2011/2xxx/CVE-2011-2969.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2011-2968","sgi","cvelistV5/cves/2011/2xxx/CVE-2011-2968.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2011-2967","sgi","cvelistV5/cves/2011/2xxx/CVE-2011-2967.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2011-2966","sgi","cvelistV5/cves/2011/2xxx/CVE-2011-2966.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2011-2965","sgi","cvelistV5/cves/2011/2xxx/CVE-2011-2965.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2010-1700","sgi","cvelistV5/cves/2010/1xxx/CVE-2010-1700.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2010-1699","sgi","cvelistV5/cves/2010/1xxx/CVE-2010-1699.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2010-1698","sgi","cvelistV5/cves/2010/1xxx/CVE-2010-1698.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2010-1697","sgi","cvelistV5/cves/2010/1xxx/CVE-2010-1697.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2010-1696","sgi","cvelistV5/cves/2010/1xxx/CVE-2010-1696.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2010-1695","sgi","cvelistV5/cves/2010/1xxx/CVE-2010-1695.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2010-1694","sgi","cvelistV5/cves/2010/1xxx/CVE-2010-1694.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2010-1693","sgi","cvelistV5/cves/2010/1xxx/CVE-2010-1693.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2010-1692","sgi","cvelistV5/cves/2010/1xxx/CVE-2010-1692.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2010-1691","sgi","cvelistV5/cves/2010/1xxx/CVE-2010-1691.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2009-3929","sgi","cvelistV5/cves/2009/3xxx/CVE-2009-3929.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2009-3928","sgi","cvelistV5/cves/2009/3xxx/CVE-2009-3928.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2009-3927","sgi","cvelistV5/cves/2009/3xxx/CVE-2009-3927.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2009-3926","sgi","cvelistV5/cves/2009/3xxx/CVE-2009-3926.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2009-3925","sgi","cvelistV5/cves/2009/3xxx/CVE-2009-3925.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2009-2710","sgi","cvelistV5/cves/2009/2xxx/CVE-2009-2710.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2009-2709","sgi","cvelistV5/cves/2009/2xxx/CVE-2009-2709.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2009-2708","sgi","cvelistV5/cves/2009/2xxx/CVE-2009-2708.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2009-2707","sgi","cvelistV5/cves/2009/2xxx/CVE-2009-2707.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2009-2706","sgi","cvelistV5/cves/2009/2xxx/CVE-2009-2706.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2007-0993","sgi","cvelistV5/cves/2007/0xxx/CVE-2007-0993.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2007-0992","sgi","cvelistV5/cves/2007/0xxx/CVE-2007-0992.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2007-0991","sgi","cvelistV5/cves/2007/0xxx/CVE-2007-0991.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2007-0990","sgi","cvelistV5/cves/2007/0xxx/CVE-2007-0990.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2007-0989","sgi","cvelistV5/cves/2007/0xxx/CVE-2007-0989.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
