"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2024-21571","snyk","cvelistV5/cves/2024/21xxx/CVE-2024-21571.json","check-invalid-self-references","E010","containers.cna.references","No valid reference found"
"CVE-2024-21571","snyk","cvelistV5/cves/2024/21xxx/CVE-2024-21571.json","check-invalid-self-references","E010","containers.cna.references.0.url","Unnecessary self-reference URL: https://www.cve.org/CVERecord?id=CVE-2024-21571"
"CVE-2023-26158","snyk","cvelistV5/cves/2023/26xxx/CVE-2023-26158.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-26133","snyk","cvelistV5/cves/2023/26xxx/CVE-2023-26133.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-26131","snyk","cvelistV5/cves/2023/26xxx/CVE-2023-26131.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-26126","snyk","cvelistV5/cves/2023/26xxx/CVE-2023-26126.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-26113","snyk","cvelistV5/cves/2023/26xxx/CVE-2023-26113.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-26111","snyk","cvelistV5/cves/2023/26xxx/CVE-2023-26111.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-26110","snyk","cvelistV5/cves/2023/26xxx/CVE-2023-26110.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-26109","snyk","cvelistV5/cves/2023/26xxx/CVE-2023-26109.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-26107","snyk","cvelistV5/cves/2023/26xxx/CVE-2023-26107.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-26106","snyk","cvelistV5/cves/2023/26xxx/CVE-2023-26106.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
