"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2024-29011","sonicwall","cvelistV5/cves/2024/29xxx/CVE-2024-29011.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-29010","sonicwall","cvelistV5/cves/2024/29xxx/CVE-2024-29010.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-22394","sonicwall","cvelistV5/cves/2024/22xxx/CVE-2024-22394.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-44218","sonicwall","cvelistV5/cves/2023/44xxx/CVE-2023-44218.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-44217","sonicwall","cvelistV5/cves/2023/44xxx/CVE-2023-44217.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-41715","sonicwall","cvelistV5/cves/2023/41xxx/CVE-2023-41715.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-39280","sonicwall","cvelistV5/cves/2023/39xxx/CVE-2023-39280.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-39278","sonicwall","cvelistV5/cves/2023/39xxx/CVE-2023-39278.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-39277","sonicwall","cvelistV5/cves/2023/39xxx/CVE-2023-39277.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-39276","sonicwall","cvelistV5/cves/2023/39xxx/CVE-2023-39276.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-34137","sonicwall","cvelistV5/cves/2023/34xxx/CVE-2023-34137.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-34135","sonicwall","cvelistV5/cves/2023/34xxx/CVE-2023-34135.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-34134","sonicwall","cvelistV5/cves/2023/34xxx/CVE-2023-34134.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-34130","sonicwall","cvelistV5/cves/2023/34xxx/CVE-2023-34130.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-34129","sonicwall","cvelistV5/cves/2023/34xxx/CVE-2023-34129.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-34125","sonicwall","cvelistV5/cves/2023/34xxx/CVE-2023-34125.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-34123","sonicwall","cvelistV5/cves/2023/34xxx/CVE-2023-34123.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
