"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2025-24507","symantec","cvelistV5/cves/2025/24xxx/CVE-2025-24507.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-24506","symantec","cvelistV5/cves/2025/24xxx/CVE-2025-24506.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-24505","symantec","cvelistV5/cves/2025/24xxx/CVE-2025-24505.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-24504","symantec","cvelistV5/cves/2025/24xxx/CVE-2025-24504.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-24503","symantec","cvelistV5/cves/2025/24xxx/CVE-2025-24503.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-24502","symantec","cvelistV5/cves/2025/24xxx/CVE-2025-24502.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-24501","symantec","cvelistV5/cves/2025/24xxx/CVE-2025-24501.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-24500","symantec","cvelistV5/cves/2025/24xxx/CVE-2025-24500.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-3599","symantec","cvelistV5/cves/2025/3xxx/CVE-2025-3599.json","check-affected-product-present","E006","containers.cna.affected","No affected product found"
"CVE-2025-0893","symantec","cvelistV5/cves/2025/0xxx/CVE-2025-0893.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-23958","symantec","cvelistV5/cves/2023/23xxx/CVE-2023-23958.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-23958","symantec","cvelistV5/cves/2023/23xxx/CVE-2023-23958.json","check-affected-product-present","E006","containers.cna.affected","No affected product found"
