"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-3091","synology","cvelistV5/cves/2026/3xxx/CVE-2026-3091.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-2237","synology","cvelistV5/cves/2026/2xxx/CVE-2026-2237.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-66593","synology","cvelistV5/cves/2025/66xxx/CVE-2025-66593.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-66592","synology","cvelistV5/cves/2025/66xxx/CVE-2025-66592.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-54160","synology","cvelistV5/cves/2025/54xxx/CVE-2025-54160.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-54159","synology","cvelistV5/cves/2025/54xxx/CVE-2025-54159.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-54158","synology","cvelistV5/cves/2025/54xxx/CVE-2025-54158.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-30028","synology","cvelistV5/cves/2025/30xxx/CVE-2025-30028.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-29846","synology","cvelistV5/cves/2025/29xxx/CVE-2025-29846.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-29845","synology","cvelistV5/cves/2025/29xxx/CVE-2025-29845.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-29844","synology","cvelistV5/cves/2025/29xxx/CVE-2025-29844.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-29843","synology","cvelistV5/cves/2025/29xxx/CVE-2025-29843.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-14713","synology","cvelistV5/cves/2025/14xxx/CVE-2025-14713.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-13593","synology","cvelistV5/cves/2025/13xxx/CVE-2025-13593.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-13392","synology","cvelistV5/cves/2025/13xxx/CVE-2025-13392.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-13167","synology","cvelistV5/cves/2025/13xxx/CVE-2025-13167.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12686","synology","cvelistV5/cves/2025/12xxx/CVE-2025-12686.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-10466","synology","cvelistV5/cves/2025/10xxx/CVE-2025-10466.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-8074","synology","cvelistV5/cves/2025/8xxx/CVE-2025-8074.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-4679","synology","cvelistV5/cves/2025/4xxx/CVE-2025-4679.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-2848","synology","cvelistV5/cves/2025/2xxx/CVE-2025-2848.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-1021","synology","cvelistV5/cves/2025/1xxx/CVE-2025-1021.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-53288","synology","cvelistV5/cves/2024/53xxx/CVE-2024-53288.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-53287","synology","cvelistV5/cves/2024/53xxx/CVE-2024-53287.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-53286","synology","cvelistV5/cves/2024/53xxx/CVE-2024-53286.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-53285","synology","cvelistV5/cves/2024/53xxx/CVE-2024-53285.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-53284","synology","cvelistV5/cves/2024/53xxx/CVE-2024-53284.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-53283","synology","cvelistV5/cves/2024/53xxx/CVE-2024-53283.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-53282","synology","cvelistV5/cves/2024/53xxx/CVE-2024-53282.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-53281","synology","cvelistV5/cves/2024/53xxx/CVE-2024-53281.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-53280","synology","cvelistV5/cves/2024/53xxx/CVE-2024-53280.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-53279","synology","cvelistV5/cves/2024/53xxx/CVE-2024-53279.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-50631","synology","cvelistV5/cves/2024/50xxx/CVE-2024-50631.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-50630","synology","cvelistV5/cves/2024/50xxx/CVE-2024-50630.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-50629","synology","cvelistV5/cves/2024/50xxx/CVE-2024-50629.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-47273","synology","cvelistV5/cves/2024/47xxx/CVE-2024-47273.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-47272","synology","cvelistV5/cves/2024/47xxx/CVE-2024-47272.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-47271","synology","cvelistV5/cves/2024/47xxx/CVE-2024-47271.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-47270","synology","cvelistV5/cves/2024/47xxx/CVE-2024-47270.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-47269","synology","cvelistV5/cves/2024/47xxx/CVE-2024-47269.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-47268","synology","cvelistV5/cves/2024/47xxx/CVE-2024-47268.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-47267","synology","cvelistV5/cves/2024/47xxx/CVE-2024-47267.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-47266","synology","cvelistV5/cves/2024/47xxx/CVE-2024-47266.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-47265","synology","cvelistV5/cves/2024/47xxx/CVE-2024-47265.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-47264","synology","cvelistV5/cves/2024/47xxx/CVE-2024-47264.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-47263","synology","cvelistV5/cves/2024/47xxx/CVE-2024-47263.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-45539","synology","cvelistV5/cves/2024/45xxx/CVE-2024-45539.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-45538","synology","cvelistV5/cves/2024/45xxx/CVE-2024-45538.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-39352","synology","cvelistV5/cves/2024/39xxx/CVE-2024-39352.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-39351","synology","cvelistV5/cves/2024/39xxx/CVE-2024-39351.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-39350","synology","cvelistV5/cves/2024/39xxx/CVE-2024-39350.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-39349","synology","cvelistV5/cves/2024/39xxx/CVE-2024-39349.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-39348","synology","cvelistV5/cves/2024/39xxx/CVE-2024-39348.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-39347","synology","cvelistV5/cves/2024/39xxx/CVE-2024-39347.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-29241","synology","cvelistV5/cves/2024/29xxx/CVE-2024-29241.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
