"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-15804","twcert","cvelistV5/cves/2026/15xxx/CVE-2026-15804.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-15804","twcert","cvelistV5/cves/2026/15xxx/CVE-2026-15804.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-14809","twcert","cvelistV5/cves/2026/14xxx/CVE-2026-14809.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-14808","twcert","cvelistV5/cves/2026/14xxx/CVE-2026-14808.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-14807","twcert","cvelistV5/cves/2026/14xxx/CVE-2026-14807.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-14162","twcert","cvelistV5/cves/2026/14xxx/CVE-2026-14162.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-14161","twcert","cvelistV5/cves/2026/14xxx/CVE-2026-14161.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-12581","twcert","cvelistV5/cves/2026/12xxx/CVE-2026-12581.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-12580","twcert","cvelistV5/cves/2026/12xxx/CVE-2026-12580.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-12060","twcert","cvelistV5/cves/2026/12xxx/CVE-2026-12060.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-12059","twcert","cvelistV5/cves/2026/12xxx/CVE-2026-12059.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-11849","twcert","cvelistV5/cves/2026/11xxx/CVE-2026-11849.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-11848","twcert","cvelistV5/cves/2026/11xxx/CVE-2026-11848.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-11847","twcert","cvelistV5/cves/2026/11xxx/CVE-2026-11847.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-11846","twcert","cvelistV5/cves/2026/11xxx/CVE-2026-11846.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-11845","twcert","cvelistV5/cves/2026/11xxx/CVE-2026-11845.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-11844","twcert","cvelistV5/cves/2026/11xxx/CVE-2026-11844.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-10597","twcert","cvelistV5/cves/2026/10xxx/CVE-2026-10597.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-10075","twcert","cvelistV5/cves/2026/10xxx/CVE-2026-10075.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
