"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2024-22270","vmware","cvelistV5/cves/2024/22xxx/CVE-2024-22270.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-22269","vmware","cvelistV5/cves/2024/22xxx/CVE-2024-22269.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-22268","vmware","cvelistV5/cves/2024/22xxx/CVE-2024-22268.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-22267","vmware","cvelistV5/cves/2024/22xxx/CVE-2024-22267.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-22266","vmware","cvelistV5/cves/2024/22xxx/CVE-2024-22266.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-22258","vmware","cvelistV5/cves/2024/22xxx/CVE-2024-22258.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-22255","vmware","cvelistV5/cves/2024/22xxx/CVE-2024-22255.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-22254","vmware","cvelistV5/cves/2024/22xxx/CVE-2024-22254.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-22251","vmware","cvelistV5/cves/2024/22xxx/CVE-2024-22251.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-22248","vmware","cvelistV5/cves/2024/22xxx/CVE-2024-22248.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-22247","vmware","cvelistV5/cves/2024/22xxx/CVE-2024-22247.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-22246","vmware","cvelistV5/cves/2024/22xxx/CVE-2024-22246.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-22241","vmware","cvelistV5/cves/2024/22xxx/CVE-2024-22241.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-22240","vmware","cvelistV5/cves/2024/22xxx/CVE-2024-22240.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-22239","vmware","cvelistV5/cves/2024/22xxx/CVE-2024-22239.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-22238","vmware","cvelistV5/cves/2024/22xxx/CVE-2024-22238.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-22237","vmware","cvelistV5/cves/2024/22xxx/CVE-2024-22237.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-22236","vmware","cvelistV5/cves/2024/22xxx/CVE-2024-22236.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-34063","vmware","cvelistV5/cves/2023/34xxx/CVE-2023-34063.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-34062","vmware","cvelistV5/cves/2023/34xxx/CVE-2023-34062.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-34061","vmware","cvelistV5/cves/2023/34xxx/CVE-2023-34061.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-34057","vmware","cvelistV5/cves/2023/34xxx/CVE-2023-34057.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-34054","vmware","cvelistV5/cves/2023/34xxx/CVE-2023-34054.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-34052","vmware","cvelistV5/cves/2023/34xxx/CVE-2023-34052.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-34051","vmware","cvelistV5/cves/2023/34xxx/CVE-2023-34051.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-34050","vmware","cvelistV5/cves/2023/34xxx/CVE-2023-34050.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-34047","vmware","cvelistV5/cves/2023/34xxx/CVE-2023-34047.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-34042","vmware","cvelistV5/cves/2023/34xxx/CVE-2023-34042.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-34041","vmware","cvelistV5/cves/2023/34xxx/CVE-2023-34041.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-34040","vmware","cvelistV5/cves/2023/34xxx/CVE-2023-34040.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-34038","vmware","cvelistV5/cves/2023/34xxx/CVE-2023-34038.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
