"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-55967","wolfSSL","cvelistV5/cves/2026/55xxx/CVE-2026-55967.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-55964","wolfSSL","cvelistV5/cves/2026/55xxx/CVE-2026-55964.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-55962","wolfSSL","cvelistV5/cves/2026/55xxx/CVE-2026-55962.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-55961","wolfSSL","cvelistV5/cves/2026/55xxx/CVE-2026-55961.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-55960","wolfSSL","cvelistV5/cves/2026/55xxx/CVE-2026-55960.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-55958","wolfSSL","cvelistV5/cves/2026/55xxx/CVE-2026-55958.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-12340","wolfSSL","cvelistV5/cves/2026/12xxx/CVE-2026-12340.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-11999","wolfSSL","cvelistV5/cves/2026/11xxx/CVE-2026-11999.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-11703","wolfSSL","cvelistV5/cves/2026/11xxx/CVE-2026-11703.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-11310","wolfSSL","cvelistV5/cves/2026/11xxx/CVE-2026-11310.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-10592","wolfSSL","cvelistV5/cves/2026/10xxx/CVE-2026-10592.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-10512","wolfSSL","cvelistV5/cves/2026/10xxx/CVE-2026-10512.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-10098","wolfSSL","cvelistV5/cves/2026/10xxx/CVE-2026-10098.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-10097","wolfSSL","cvelistV5/cves/2026/10xxx/CVE-2026-10097.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-8720","wolfSSL","cvelistV5/cves/2026/8xxx/CVE-2026-8720.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-7532","wolfSSL","cvelistV5/cves/2026/7xxx/CVE-2026-7532.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-7531","wolfSSL","cvelistV5/cves/2026/7xxx/CVE-2026-7531.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-7511","wolfSSL","cvelistV5/cves/2026/7xxx/CVE-2026-7511.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-6731","wolfSSL","cvelistV5/cves/2026/6xxx/CVE-2026-6731.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-6681","wolfSSL","cvelistV5/cves/2026/6xxx/CVE-2026-6681.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-6679","wolfSSL","cvelistV5/cves/2026/6xxx/CVE-2026-6679.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-6678","wolfSSL","cvelistV5/cves/2026/6xxx/CVE-2026-6678.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-6450","wolfSSL","cvelistV5/cves/2026/6xxx/CVE-2026-6450.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-6412","wolfSSL","cvelistV5/cves/2026/6xxx/CVE-2026-6412.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-6331","wolfSSL","cvelistV5/cves/2026/6xxx/CVE-2026-6331.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-6330","wolfSSL","cvelistV5/cves/2026/6xxx/CVE-2026-6330.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-6329","wolfSSL","cvelistV5/cves/2026/6xxx/CVE-2026-6329.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-6325","wolfSSL","cvelistV5/cves/2026/6xxx/CVE-2026-6325.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-6291","wolfSSL","cvelistV5/cves/2026/6xxx/CVE-2026-6291.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-6094","wolfSSL","cvelistV5/cves/2026/6xxx/CVE-2026-6094.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-6092","wolfSSL","cvelistV5/cves/2026/6xxx/CVE-2026-6092.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-6091","wolfSSL","cvelistV5/cves/2026/6xxx/CVE-2026-6091.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-5778","wolfSSL","cvelistV5/cves/2026/5xxx/CVE-2026-5778.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-5772","wolfSSL","cvelistV5/cves/2026/5xxx/CVE-2026-5772.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-5507","wolfSSL","cvelistV5/cves/2026/5xxx/CVE-2026-5507.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-5504","wolfSSL","cvelistV5/cves/2026/5xxx/CVE-2026-5504.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
