CVE,CNA,File,RuleName,ErrorCode,ErrorText
CVE-2023-4258,zephyr,/home/runner/.cache/cvelint/cvelistV5/cves/2023/4xxx/CVE-2023-4258.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-1901,zephyr,/home/runner/.cache/cvelint/cvelistV5/cves/2023/1xxx/CVE-2023-1901.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2021-3581,zephyr,/home/runner/.cache/cvelint/cvelistV5/cves/2021/3xxx/CVE-2021-3581.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: ">=2.5.0"
CVE-2021-3510,zephyr,/home/runner/.cache/cvelint/cvelistV5/cves/2021/3xxx/CVE-2021-3510.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: ">1.14.0"
CVE-2021-3510,zephyr,/home/runner/.cache/cvelint/cvelistV5/cves/2021/3xxx/CVE-2021-3510.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: ">2.5.0"
CVE-2021-3330,zephyr,/home/runner/.cache/cvelint/cvelistV5/cves/2021/3xxx/CVE-2021-3330.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: ">=2.4.0"
CVE-2021-3323,zephyr,/home/runner/.cache/cvelint/cvelistV5/cves/2021/3xxx/CVE-2021-3323.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: ">=2.4.0"
CVE-2021-3322,zephyr,/home/runner/.cache/cvelint/cvelistV5/cves/2021/3xxx/CVE-2021-3322.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: ">=2.4.0"
CVE-2021-3321,zephyr,/home/runner/.cache/cvelint/cvelistV5/cves/2021/3xxx/CVE-2021-3321.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: ">=2.4.0"
CVE-2021-3319,zephyr,/home/runner/.cache/cvelint/cvelistV5/cves/2021/3xxx/CVE-2021-3319.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "> v2.4.0"
CVE-2017-14202,zephyr,/home/runner/.cache/cvelint/cvelistV5/cves/2017/14xxx/CVE-2017-14202.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "prior to 1.14.0"
CVE-2017-14201,zephyr,/home/runner/.cache/cvelint/cvelistV5/cves/2017/14xxx/CVE-2017-14201.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "prior to 1.14.0"
