CVE,CNA,File,RuleName,ErrorCode,ErrorText
CVE-2025-59727,fortinet,cvelistV5/cves/2025/59xxx/CVE-2025-59727.json,check-description-length,E003,containers.cna.rejectedReasons.0,Description too short: Not used
CVE-2025-59726,fortinet,cvelistV5/cves/2025/59xxx/CVE-2025-59726.json,check-description-length,E003,containers.cna.rejectedReasons.0,Description too short: Not used
CVE-2025-59725,fortinet,cvelistV5/cves/2025/59xxx/CVE-2025-59725.json,check-description-length,E003,containers.cna.rejectedReasons.0,Description too short: Not used
CVE-2025-59724,fortinet,cvelistV5/cves/2025/59xxx/CVE-2025-59724.json,check-description-length,E003,containers.cna.rejectedReasons.0,Description too short: Not used
CVE-2025-59723,fortinet,cvelistV5/cves/2025/59xxx/CVE-2025-59723.json,check-description-length,E003,containers.cna.rejectedReasons.0,Description too short: Not used
CVE-2025-59722,fortinet,cvelistV5/cves/2025/59xxx/CVE-2025-59722.json,check-description-length,E003,containers.cna.rejectedReasons.0,Description too short: Not used
CVE-2025-59721,fortinet,cvelistV5/cves/2025/59xxx/CVE-2025-59721.json,check-description-length,E003,containers.cna.rejectedReasons.0,Description too short: Not used
CVE-2025-59720,fortinet,cvelistV5/cves/2025/59xxx/CVE-2025-59720.json,check-description-length,E003,containers.cna.rejectedReasons.0,Description too short: Not used
CVE-2025-59678,fortinet,cvelistV5/cves/2025/59xxx/CVE-2025-59678.json,check-description-length,E003,containers.cna.rejectedReasons.0,Description too short: Not used
CVE-2025-59677,fortinet,cvelistV5/cves/2025/59xxx/CVE-2025-59677.json,check-description-length,E003,containers.cna.rejectedReasons.0,Description too short: Not used
CVE-2025-59676,fortinet,cvelistV5/cves/2025/59xxx/CVE-2025-59676.json,check-description-length,E003,containers.cna.rejectedReasons.0,Description too short: Not used
CVE-2025-59675,fortinet,cvelistV5/cves/2025/59xxx/CVE-2025-59675.json,check-description-length,E003,containers.cna.rejectedReasons.0,Description too short: Not used
CVE-2025-59674,fortinet,cvelistV5/cves/2025/59xxx/CVE-2025-59674.json,check-description-length,E003,containers.cna.rejectedReasons.0,Description too short: Not used
CVE-2025-59673,fortinet,cvelistV5/cves/2025/59xxx/CVE-2025-59673.json,check-description-length,E003,containers.cna.rejectedReasons.0,Description too short: Not used
CVE-2025-59672,fortinet,cvelistV5/cves/2025/59xxx/CVE-2025-59672.json,check-description-length,E003,containers.cna.rejectedReasons.0,Description too short: Not used
CVE-2025-59671,fortinet,cvelistV5/cves/2025/59xxx/CVE-2025-59671.json,check-description-length,E003,containers.cna.rejectedReasons.0,Description too short: Not used
CVE-2025-59670,fortinet,cvelistV5/cves/2025/59xxx/CVE-2025-59670.json,check-description-length,E003,containers.cna.rejectedReasons.0,Description too short: Not used
CVE-2025-59270,cisa-cg,cvelistV5/cves/2025/59xxx/CVE-2025-59270.json,check-invalid-self-references,E010,containers.cna.references.3.url,Unnecessary self-reference URL: https://www.cve.org/CVERecord?id=CVE-2025-59270
CVE-2025-58912,fortinet,cvelistV5/cves/2025/58xxx/CVE-2025-58912.json,check-description-length,E003,containers.cna.rejectedReasons.0,Description too short: Not used
CVE-2025-58911,fortinet,cvelistV5/cves/2025/58xxx/CVE-2025-58911.json,check-description-length,E003,containers.cna.rejectedReasons.0,Description too short: Not used
CVE-2025-58910,fortinet,cvelistV5/cves/2025/58xxx/CVE-2025-58910.json,check-description-length,E003,containers.cna.rejectedReasons.0,Description too short: Not used
CVE-2025-58909,fortinet,cvelistV5/cves/2025/58xxx/CVE-2025-58909.json,check-description-length,E003,containers.cna.rejectedReasons.0,Description too short: Not used
CVE-2025-58908,fortinet,cvelistV5/cves/2025/58xxx/CVE-2025-58908.json,check-description-length,E003,containers.cna.rejectedReasons.0,Description too short: Not used
CVE-2025-58907,fortinet,cvelistV5/cves/2025/58xxx/CVE-2025-58907.json,check-description-length,E003,containers.cna.rejectedReasons.0,Description too short: Not used
CVE-2025-58906,fortinet,cvelistV5/cves/2025/58xxx/CVE-2025-58906.json,check-description-length,E003,containers.cna.rejectedReasons.0,Description too short: Not used
CVE-2025-58905,fortinet,cvelistV5/cves/2025/58xxx/CVE-2025-58905.json,check-description-length,E003,containers.cna.rejectedReasons.0,Description too short: Not used
CVE-2025-58904,fortinet,cvelistV5/cves/2025/58xxx/CVE-2025-58904.json,check-description-length,E003,containers.cna.rejectedReasons.0,Description too short: Not used
CVE-2025-58701,fortinet,cvelistV5/cves/2025/58xxx/CVE-2025-58701.json,check-description-length,E003,containers.cna.rejectedReasons.0,Description too short: Not used
CVE-2025-58700,fortinet,cvelistV5/cves/2025/58xxx/CVE-2025-58700.json,check-description-length,E003,containers.cna.rejectedReasons.0,Description too short: Not used
CVE-2025-58699,fortinet,cvelistV5/cves/2025/58xxx/CVE-2025-58699.json,check-description-length,E003,containers.cna.rejectedReasons.0,Description too short: Not used
CVE-2025-58698,fortinet,cvelistV5/cves/2025/58xxx/CVE-2025-58698.json,check-description-length,E003,containers.cna.rejectedReasons.0,Description too short: Not used
CVE-2025-58697,fortinet,cvelistV5/cves/2025/58xxx/CVE-2025-58697.json,check-description-length,E003,containers.cna.rejectedReasons.0,Description too short: Not used
CVE-2025-58696,fortinet,cvelistV5/cves/2025/58xxx/CVE-2025-58696.json,check-description-length,E003,containers.cna.rejectedReasons.0,Description too short: Not used
CVE-2025-58695,fortinet,cvelistV5/cves/2025/58xxx/CVE-2025-58695.json,check-description-length,E003,containers.cna.rejectedReasons.0,Description too short: Not used
CVE-2025-58694,fortinet,cvelistV5/cves/2025/58xxx/CVE-2025-58694.json,check-description-length,E003,containers.cna.rejectedReasons.0,Description too short: Not used
CVE-2025-58462,cisa-cg,cvelistV5/cves/2025/58xxx/CVE-2025-58462.json,check-invalid-self-references,E010,containers.cna.references.1.url,Unnecessary self-reference URL: https://www.cve.org/CVERecord?id=CVE-2025-58462
CVE-2025-58421,fortinet,cvelistV5/cves/2025/58xxx/CVE-2025-58421.json,check-description-length,E003,containers.cna.rejectedReasons.0,Description too short: Not used
CVE-2025-58420,fortinet,cvelistV5/cves/2025/58xxx/CVE-2025-58420.json,check-description-length,E003,containers.cna.rejectedReasons.0,Description too short: Not used
CVE-2025-58419,fortinet,cvelistV5/cves/2025/58xxx/CVE-2025-58419.json,check-description-length,E003,containers.cna.rejectedReasons.0,Description too short: Not used
CVE-2025-58418,fortinet,cvelistV5/cves/2025/58xxx/CVE-2025-58418.json,check-description-length,E003,containers.cna.rejectedReasons.0,Description too short: Not used
CVE-2025-58417,fortinet,cvelistV5/cves/2025/58xxx/CVE-2025-58417.json,check-description-length,E003,containers.cna.rejectedReasons.0,Description too short: Not used
CVE-2025-58416,fortinet,cvelistV5/cves/2025/58xxx/CVE-2025-58416.json,check-description-length,E003,containers.cna.rejectedReasons.0,Description too short: Not used
CVE-2025-58415,fortinet,cvelistV5/cves/2025/58xxx/CVE-2025-58415.json,check-description-length,E003,containers.cna.rejectedReasons.0,Description too short: Not used
CVE-2025-58414,fortinet,cvelistV5/cves/2025/58xxx/CVE-2025-58414.json,check-description-length,E003,containers.cna.rejectedReasons.0,Description too short: Not used
CVE-2025-58333,fortinet,cvelistV5/cves/2025/58xxx/CVE-2025-58333.json,check-description-length,E003,containers.cna.rejectedReasons.0,Description too short: Not used
CVE-2025-58332,fortinet,cvelistV5/cves/2025/58xxx/CVE-2025-58332.json,check-description-length,E003,containers.cna.rejectedReasons.0,Description too short: Not used
CVE-2025-58331,fortinet,cvelistV5/cves/2025/58xxx/CVE-2025-58331.json,check-description-length,E003,containers.cna.rejectedReasons.0,Description too short: Not used
CVE-2025-58330,fortinet,cvelistV5/cves/2025/58xxx/CVE-2025-58330.json,check-description-length,E003,containers.cna.rejectedReasons.0,Description too short: Not used
CVE-2025-58329,fortinet,cvelistV5/cves/2025/58xxx/CVE-2025-58329.json,check-description-length,E003,containers.cna.rejectedReasons.0,Description too short: Not used
CVE-2025-58328,fortinet,cvelistV5/cves/2025/58xxx/CVE-2025-58328.json,check-description-length,E003,containers.cna.rejectedReasons.0,Description too short: Not used
CVE-2025-58327,fortinet,cvelistV5/cves/2025/58xxx/CVE-2025-58327.json,check-description-length,E003,containers.cna.rejectedReasons.0,Description too short: Not used
CVE-2025-58326,fortinet,cvelistV5/cves/2025/58xxx/CVE-2025-58326.json,check-description-length,E003,containers.cna.rejectedReasons.0,Description too short: Not used
CVE-2025-58043,fortinet,cvelistV5/cves/2025/58xxx/CVE-2025-58043.json,check-description-length,E003,containers.cna.rejectedReasons.0,Description too short: Not used
