CVE,CNA,File,RuleName,ErrorCode,ErrorText
CVE-2023-41330,GitHub_M,cvelistV5/cves/2023/41xxx/CVE-2023-41330.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-41180,apache,cvelistV5/cves/2023/41xxx/CVE-2023-41180.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-41057,GitHub_M,cvelistV5/cves/2023/41xxx/CVE-2023-41057.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-41051,GitHub_M,cvelistV5/cves/2023/41xxx/CVE-2023-41051.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-41044,GitHub_M,cvelistV5/cves/2023/41xxx/CVE-2023-41044.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-41041,GitHub_M,cvelistV5/cves/2023/41xxx/CVE-2023-41041.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-41040,GitHub_M,cvelistV5/cves/2023/41xxx/CVE-2023-41040.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-41039,GitHub_M,cvelistV5/cves/2023/41xxx/CVE-2023-41039.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-41028,XI,cvelistV5/cves/2023/41xxx/CVE-2023-41028.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-40743,apache,cvelistV5/cves/2023/40xxx/CVE-2023-40743.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-40735,VULSec,cvelistV5/cves/2023/40xxx/CVE-2023-40735.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-40710,Dragos,cvelistV5/cves/2023/40xxx/CVE-2023-40710.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-40591,GitHub_M,cvelistV5/cves/2023/40xxx/CVE-2023-40591.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-40590,GitHub_M,cvelistV5/cves/2023/40xxx/CVE-2023-40590.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-40586,GitHub_M,cvelistV5/cves/2023/40xxx/CVE-2023-40586.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-40571,GitHub_M,cvelistV5/cves/2023/40xxx/CVE-2023-40571.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-40370,ibm,cvelistV5/cves/2023/40xxx/CVE-2023-40370.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-40312,OpenNMS,cvelistV5/cves/2023/40xxx/CVE-2023-40312.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-40311,OpenNMS,cvelistV5/cves/2023/40xxx/CVE-2023-40311.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-40273,apache,cvelistV5/cves/2023/40xxx/CVE-2023-40273.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-40272,apache,cvelistV5/cves/2023/40xxx/CVE-2023-40272.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-40254,krcert,cvelistV5/cves/2023/40xxx/CVE-2023-40254.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-40253,krcert,cvelistV5/cves/2023/40xxx/CVE-2023-40253.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-40252,krcert,cvelistV5/cves/2023/40xxx/CVE-2023-40252.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-40251,krcert,cvelistV5/cves/2023/40xxx/CVE-2023-40251.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-40195,apache,cvelistV5/cves/2023/40xxx/CVE-2023-40195.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-40184,GitHub_M,cvelistV5/cves/2023/40xxx/CVE-2023-40184.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-40178,GitHub_M,cvelistV5/cves/2023/40xxx/CVE-2023-40178.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-40174,GitHub_M,cvelistV5/cves/2023/40xxx/CVE-2023-40174.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-40060,SolarWinds,cvelistV5/cves/2023/40xxx/CVE-2023-40060.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-40037,apache,cvelistV5/cves/2023/40xxx/CVE-2023-40037.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-40035,GitHub_M,cvelistV5/cves/2023/40xxx/CVE-2023-40035.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-40025,GitHub_M,cvelistV5/cves/2023/40xxx/CVE-2023-40025.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-40020,GitHub_M,cvelistV5/cves/2023/40xxx/CVE-2023-40020.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-40014,GitHub_M,cvelistV5/cves/2023/40xxx/CVE-2023-40014.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-39984,Hitachi,cvelistV5/cves/2023/39xxx/CVE-2023-39984.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-39983,Moxa,cvelistV5/cves/2023/39xxx/CVE-2023-39983.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-39982,Moxa,cvelistV5/cves/2023/39xxx/CVE-2023-39982.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-39981,Moxa,cvelistV5/cves/2023/39xxx/CVE-2023-39981.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-39980,Moxa,cvelistV5/cves/2023/39xxx/CVE-2023-39980.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-39979,Moxa,cvelistV5/cves/2023/39xxx/CVE-2023-39979.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-39971,Joomla,cvelistV5/cves/2023/39xxx/CVE-2023-39971.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-39965,GitHub_M,cvelistV5/cves/2023/39xxx/CVE-2023-39965.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-39948,GitHub_M,cvelistV5/cves/2023/39xxx/CVE-2023-39948.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-39553,apache,cvelistV5/cves/2023/39xxx/CVE-2023-39553.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-39531,GitHub_M,cvelistV5/cves/2023/39xxx/CVE-2023-39531.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-39519,GitHub_M,cvelistV5/cves/2023/39xxx/CVE-2023-39519.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-39518,GitHub_M,cvelistV5/cves/2023/39xxx/CVE-2023-39518.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-39516,GitHub_M,cvelistV5/cves/2023/39xxx/CVE-2023-39516.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-39514,GitHub_M,cvelistV5/cves/2023/39xxx/CVE-2023-39514.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-39511,GitHub_M,cvelistV5/cves/2023/39xxx/CVE-2023-39511.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-39508,apache,cvelistV5/cves/2023/39xxx/CVE-2023-39508.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-39440,sap,cvelistV5/cves/2023/39xxx/CVE-2023-39440.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-39439,sap,cvelistV5/cves/2023/39xxx/CVE-2023-39439.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-39438,sap,cvelistV5/cves/2023/39xxx/CVE-2023-39438.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-39437,sap,cvelistV5/cves/2023/39xxx/CVE-2023-39437.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-39436,sap,cvelistV5/cves/2023/39xxx/CVE-2023-39436.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-39424,Bitdefender,cvelistV5/cves/2023/39xxx/CVE-2023-39424.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-39423,Bitdefender,cvelistV5/cves/2023/39xxx/CVE-2023-39423.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-39382,huawei,cvelistV5/cves/2023/39xxx/CVE-2023-39382.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-39381,huawei,cvelistV5/cves/2023/39xxx/CVE-2023-39381.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-39379,jpcert,cvelistV5/cves/2023/39xxx/CVE-2023-39379.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-39374,INCD,cvelistV5/cves/2023/39xxx/CVE-2023-39374.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-39373,INCD,cvelistV5/cves/2023/39xxx/CVE-2023-39373.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-39372,INCD,cvelistV5/cves/2023/39xxx/CVE-2023-39372.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-39371,INCD,cvelistV5/cves/2023/39xxx/CVE-2023-39371.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-39370,INCD,cvelistV5/cves/2023/39xxx/CVE-2023-39370.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-39369,INCD,cvelistV5/cves/2023/39xxx/CVE-2023-39369.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-39365,GitHub_M,cvelistV5/cves/2023/39xxx/CVE-2023-39365.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-39356,GitHub_M,cvelistV5/cves/2023/39xxx/CVE-2023-39356.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-39352,GitHub_M,cvelistV5/cves/2023/39xxx/CVE-2023-39352.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-39350,GitHub_M,cvelistV5/cves/2023/39xxx/CVE-2023-39350.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-39343,GitHub_M,cvelistV5/cves/2023/39xxx/CVE-2023-39343.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-39267,hpe,cvelistV5/cves/2023/39xxx/CVE-2023-39267.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-39266,hpe,cvelistV5/cves/2023/39xxx/CVE-2023-39266.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-39250,dell,cvelistV5/cves/2023/39xxx/CVE-2023-39250.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-39240,twcert,cvelistV5/cves/2023/39xxx/CVE-2023-39240.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-39239,twcert,cvelistV5/cves/2023/39xxx/CVE-2023-39239.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-39238,twcert,cvelistV5/cves/2023/39xxx/CVE-2023-39238.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-39237,twcert,cvelistV5/cves/2023/39xxx/CVE-2023-39237.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-39236,twcert,cvelistV5/cves/2023/39xxx/CVE-2023-39236.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-39214,Zoom,cvelistV5/cves/2023/39xxx/CVE-2023-39214.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-39213,Zoom,cvelistV5/cves/2023/39xxx/CVE-2023-39213.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-39212,Zoom,cvelistV5/cves/2023/39xxx/CVE-2023-39212.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-39209,Zoom,cvelistV5/cves/2023/39xxx/CVE-2023-39209.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-38741,ibm,cvelistV5/cves/2023/38xxx/CVE-2023-38741.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-38734,ibm,cvelistV5/cves/2023/38xxx/CVE-2023-38734.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-38733,ibm,cvelistV5/cves/2023/38xxx/CVE-2023-38733.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-38732,ibm,cvelistV5/cves/2023/38xxx/CVE-2023-38732.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-38698,GitHub_M,cvelistV5/cves/2023/38xxx/CVE-2023-38698.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-38695,GitHub_M,cvelistV5/cves/2023/38xxx/CVE-2023-38695.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
